"institution","consortium","contract_name","identifier","period_from","period_to","cost_type","euro","group_id"
"Leibniz-BIPS","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"publish",19260.0,"02c22vc57_sn2024deal_2024"
"Leibniz-BIPS","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"read",1489.64,"02c22vc57_sn2024deal_2024"
"Leibniz-BIPS","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"service fee",963.0,"02c22vc57_sn2024deal_2024"
"Leibniz-BIPS","Projekt DEAL Consortium","Wiley (DEAL) 2024-2028","wiley2024deal",2024,2024,"publish",5385.21,"02c22vc57_wiley2024deal_2024"
"Leibniz-BIPS","Projekt DEAL Consortium","Wiley (DEAL) 2024-2028","wiley2024deal",2024,2024,"read",1103.0,"02c22vc57_wiley2024deal_2024"
"Leibniz-BIPS","Projekt DEAL Consortium","Wiley (DEAL) 2024-2028","wiley2024deal",2024,2024,"service fee",107.0,"02c22vc57_wiley2024deal_2024"
"Leibniz-BIPS","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"publish",3898.01,"02c22vc57_els2023deal_2024"
"Leibniz-BIPS","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"read",5847.55,"02c22vc57_els2023deal_2024"
"Leibniz-BIPS","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"service fee",642.0,"02c22vc57_els2023deal_2024"
"Leibniz-BIPS","Projekt DEAL Consortium","Springer Nature (DEAL) 2020-2023","sn2020deal",2023,2023,"publish",16198.88,"02c22vc57_sn2020deal_2023"
"Leibniz-BIPS","Projekt DEAL Consortium","Springer Nature (DEAL) 2020-2023","sn2020deal",2023,2023,"read",1986.19,"02c22vc57_sn2020deal_2023"
"Leibniz-BIPS","Projekt DEAL Consortium","Wiley (DEAL) 2019-2023","wiley2019deal",2023,2023,"publish",6133.49,"02c22vc57_wiley2019deal_2023"
"Leibniz-BIPS","Projekt DEAL Consortium","Wiley (DEAL) 2019-2023","wiley2019deal",2023,2023,"read",5298.7,"02c22vc57_wiley2019deal_2023"
"Leibniz-BIPS","Projekt DEAL Consortium","Wiley (DEAL) 2019-2023","wiley2019deal",2022,2022,"publish",5160.54,"02c22vc57_wiley2019deal_2022"
"Leibniz-BIPS","Projekt DEAL Consortium","Wiley (DEAL) 2019-2023","wiley2019deal",2022,2022,"read",4458.19,"02c22vc57_wiley2019deal_2022"
"Leibniz-BIPS","Projekt DEAL Consortium","Springer Nature (DEAL) 2020-2023","sn2020deal",2022,2022,"publish",13612.5,"02c22vc57_sn2020deal_2022"
"Leibniz-BIPS","Projekt DEAL Consortium","Springer Nature (DEAL) 2020-2023","sn2020deal",2022,2022,"read",1986.19,"02c22vc57_sn2020deal_2022"
"Leibniz-BIPS","Projekt DEAL Consortium","Wiley (DEAL) 2019-2023","wiley2019deal",2022,2022,"publish",6571.6,"02c22vc57_wiley2019deal_2022"
"Leibniz-BIPS","Projekt DEAL Consortium","Wiley (DEAL) 2019-2023","wiley2019deal",2022,2022,"read",5677.18,"02c22vc57_wiley2019deal_2022"
