"institution","consortium","contract_name","identifier","period_from","period_to","cost_type","euro","group_id"
"Rostock U","German Academic Consortium, 45 participants, administered by Bayerische Staatsbibliothek","BMJ (BSB) 2023-2024","bmj2023gac",2024,2024,"publish",7083.54,"03zdwsf69_bmj2023gac_2024"
"Rostock U","German Academic Consortium, 45 participants, administered by Bayerische Staatsbibliothek","BMJ (BSB) 2023-2024","bmj2023gac",2024,2024,"read",4912.41,"03zdwsf69_bmj2023gac_2024"
"Rostock U","German Academic Consortium, 103 participants, administered by Bayerische Staatsbibliothek","CUP (BSB) 2022-2024","cam2022gac",2024,2024,"publish",1158.62,"03zdwsf69_cam2022gac_2024"
"Rostock U","German Academic Consortium, 103 participants, administered by Bayerische Staatsbibliothek","CUP (BSB) 2022-2024","cam2022gac",2024,2024,"read",10658.73,"03zdwsf69_cam2022gac_2024"
"Rostock U","ZB MED","Company of Biologists (ZB MED) 2024-2026","compbio2024zbmed",2024,2024,"publish and read",3788.87,"03zdwsf69_compbio2024zbmed_2024"
"Rostock U","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"publish",65295.68,"03zdwsf69_els2023deal_2024"
"Rostock U","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"read",97942.45,"03zdwsf69_els2023deal_2024"
"Rostock U","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"service fee",7490.0,"03zdwsf69_els2023deal_2024"
"Rostock U","German Academic Consortium, 129 participating institutions, administered by SUB Göttingen","Hogrefe (SUB Göttingen) 2024-2026","hogrefe2024gac",2024,2024,"publish",1892.89,"03zdwsf69_hogrefe2024gac_2024"
"Rostock U","German Academic Consortium, 129 participating institutions, administered by SUB Göttingen","Hogrefe (SUB Göttingen) 2024-2026","hogrefe2024gac",2024,2024,"read",1702.0,"03zdwsf69_hogrefe2024gac_2024"
"Rostock U","TIB Consortium","IOP (TIB) 2022-2025","iop2022tib",2024,2024,"publish",25415.22,"03zdwsf69_iop2022tib_2024"
"Rostock U","TIB Consortium","IOP (TIB) 2022-2025","iop2022tib",2024,2024,"read",8471.75,"03zdwsf69_iop2022tib_2024"
"Rostock U","German Academic Consortium, 19 participants, administered by Bayerische Staatsbibliothek","Karger (BSB) 2024-2026","kar2024gac",2024,2024,"publish",9727.06,"03zdwsf69_kar2024gac_2024"
"Rostock U","German Academic Consortium, 19 participants, administered by Bayerische Staatsbibliothek","Karger (BSB) 2024-2026","kar2024gac",2024,2024,"read",12078.16,"03zdwsf69_kar2024gac_2024"
"Rostock U","TIB Consortium","Portland Press (TIB) 2022-2024","portpress2022tib",2024,2024,"publish",1249.5,"03zdwsf69_portpress2022tib_2024"
"Rostock U","TIB Consortium","Portland Press (TIB) 2022-2024","portpress2022tib",2024,2024,"read",7003.15,"03zdwsf69_portpress2022tib_2024"
"Rostock U","TIB Consortium","SPIE (TIB) 2024-2026","spie2024tib",2024,2024,"publish and read",8865.88,"03zdwsf69_spie2024tib_2024"
"Rostock U","German academic consortium, administered by Max Planck Digital Library","Nature (MPDL) 2021-2024","sn2021gac",2024,2024,"publish",68823.19,"03zdwsf69_sn2021gac_2024"
"Rostock U","German academic consortium, administered by Max Planck Digital Library","Nature (MPDL) 2021-2024","sn2021gac",2024,2024,"read",33321.63,"03zdwsf69_sn2021gac_2024"
"Rostock U","TIB Consortium","RSC (TIB) 2024-2027","rsc2024tib",2024,2024,"publish and read",32061.58,"03zdwsf69_rsc2024tib_2024"
"Rostock U","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"publish",164231.71,"03zdwsf69_sn2024deal_2024"
"Rostock U","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"read",22395.24,"03zdwsf69_sn2024deal_2024"
"Rostock U","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"service fee",9202.0,"03zdwsf69_sn2024deal_2024"
"Rostock U","TIB Consortium","Trans Tech (TIB) 2024-2026","ttp2024tib",2024,2024,"publish",297.5,"03zdwsf69_ttp2024tib_2024"
"Rostock U","TIB Consortium","Trans Tech (TIB) 2024-2026","ttp2024tib",2024,2024,"read",4280.0,"03zdwsf69_ttp2024tib_2024"
"Rostock U","German Academic consortium, 79 participating institutions, administered by SUB Göttingen","Walter de Gruyter (SUB Göttingen) 2023-2024","degruy2023gac",2024,2024,"publish",918.68,"03zdwsf69_degruy2023gac_2024"
"Rostock U","German Academic consortium, 79 participating institutions, administered by SUB Göttingen","Walter de Gruyter (SUB Göttingen) 2023-2024","degruy2023gac",2024,2024,"read",11797.0,"03zdwsf69_degruy2023gac_2024"
"Rostock U","Projekt DEAL Consortium","Wiley (DEAL) 2024-2028","wiley2024deal",2024,2024,"publish",133115.28,"03zdwsf69_wiley2024deal_2024"
"Rostock U","Projekt DEAL Consortium","Wiley (DEAL) 2024-2028","wiley2024deal",2024,2024,"read",27264.57,"03zdwsf69_wiley2024deal_2024"
"Rostock U","Projekt DEAL Consortium","Wiley (DEAL) 2024-2028","wiley2024deal",2024,2024,"service fee",5778.0,"03zdwsf69_wiley2024deal_2024"
"Rostock U","German Academic Consortium, 45 participants, administered by Bayerische Staatsbibliothek","BMJ (BSB) 2023-2024","bmj2023gac",2023,2023,"publish",6985.79,"03zdwsf69_bmj2023gac_2023"
"Rostock U","German Academic Consortium, 45 participants, administered by Bayerische Staatsbibliothek","BMJ (BSB) 2023-2024","bmj2023gac",2023,2023,"read",4429.82,"03zdwsf69_bmj2023gac_2023"
"Rostock U","German Academic Consortium, 103 participants, administered by Bayerische Staatsbibliothek","CUP (BSB) 2022-2024","cam2022gac",2023,2023,"publish",182.51,"03zdwsf69_cam2022gac_2023"
"Rostock U","German Academic Consortium, 103 participants, administered by Bayerische Staatsbibliothek","CUP (BSB) 2022-2024","cam2022gac",2023,2023,"read",10751.41,"03zdwsf69_cam2022gac_2023"
"Rostock U","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2023,2023,"publish",20825.0,"03zdwsf69_els2023deal_2023"
"Rostock U","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2023,2023,"read",28087.5,"03zdwsf69_els2023deal_2023"
