"institution","consortium","contract_name","identifier","period_from","period_to","cost_type","euro","group_id"
"Wuppertal U","German Academic Consortium, 103 participants, administered by Bayerische Staatsbibliothek","CUP (BSB) 2022-2024","cam2022gac",2022,2022,"publish",378.23,"00613ak93_cam2022gac_2022"
"Wuppertal U","German Academic Consortium, 103 participants, administered by Bayerische Staatsbibliothek","CUP (BSB) 2022-2024","cam2022gac",2022,2022,"read",26595.42,"00613ak93_cam2022gac_2022"
"Wuppertal U","TIB Consortium","Royal Society of Chemistry (TIB) 2021-2023","rsc2021tib",2022,2022,"publish",8108.94,"00613ak93_rsc2021tib_2022"
"Wuppertal U","TIB Consortium","Royal Society of Chemistry (TIB) 2021-2023","rsc2021tib",2022,2022,"read",33947.31,"00613ak93_rsc2021tib_2022"
"Wuppertal U","Projekt DEAL Consortium","Springer Nature (DEAL) 2020-2023","sn2020deal",2022,2022,"publish",89750.01,"00613ak93_sn2020deal_2022"
"Wuppertal U","Projekt DEAL Consortium","Springer Nature (DEAL) 2020-2023","sn2020deal",2022,2022,"read",11004.49,"00613ak93_sn2020deal_2022"
"Wuppertal U","Projekt DEAL Consortium","Wiley (DEAL) 2019-2023","wiley2019deal",2022,2022,"publish",81253.91,"00613ak93_wiley2019deal_2022"
"Wuppertal U","Projekt DEAL Consortium","Wiley (DEAL) 2019-2023","wiley2019deal",2022,2022,"read",70195.14,"00613ak93_wiley2019deal_2022"
"Wuppertal U","German Academic Consortium, 116 participating institutions, administered by SUB Göttingen","Hogrefe (SUB Göttingen) 2021-2023","hogrefe2021gac",2022,2022,"publish",1931.8,"00613ak93_hogrefe2021gac_2022"
"Wuppertal U","German Academic Consortium, 116 participating institutions, administered by SUB Göttingen","Hogrefe (SUB Göttingen) 2021-2023","hogrefe2021gac",2022,2022,"read",2605.48,"00613ak93_hogrefe2021gac_2022"
"Wuppertal U","German Academic Consortium, 133 participants, administered by Bayerische Staatsbibliothek","Sage (BSB) 2021-2023","sage2021gac",2022,2022,"publish",37846.9,"00613ak93_sage2021gac_2022"
"Wuppertal U","German Academic Consortium, 20 participants, administered by Bayerische Staatsbibliothek","Karger (BSB) 2021-2023","kar2021gac",2022,2022,"publish",2614.01,"00613ak93_kar2021gac_2022"
"Wuppertal U","German Academic consortium, 66 participating institutions, administered by SUB Göttingen","Walter de Gruyter (SUB Göttingen) 2022-2022","degruy2022gac",2022,2022,"publish",1931.37,"00613ak93_degruy2022gac_2022"
"Wuppertal U","German Academic consortium, 66 participating institutions, administered by SUB Göttingen","Walter de Gruyter (SUB Göttingen) 2022-2022","degruy2022gac",2022,2022,"read",24598.23,"00613ak93_degruy2022gac_2022"
