institution,period,euro,doi,backlist_oa,publisher,book_title,isbn,isbn_print,isbn_electronic,license_ref
mau,2022,11147.02,,FALSE,Taylor & Francis,Ageism and Technology,9781003323686,,,
mau,2022, 2823.00,10.4324/9781003283324,FALSE,Routledge,"Sport, Performance and Sustainability",9781032254630,,,
