6;Institution;period;brutto;netto;origin doi;hybrid
;FU;2023;1.666,00;1.400,00;10.1116/5.0136828;no
;FU;2023;1.666,00;1.400,00;10.1063/5.0151406;no
;FU;2023;1.666,00;1.400,00;10.1063/5.0129620;no
;FU;2023;1.666,00;1.400,00;10.1063/5.0152695;no
;FU;2023;1.666,00;1.400,00;10.1063/5.0152367;no
;FU;2023;1.666,00;1.400,00;10.1063/5.0147314;no
