51;Institution;period;brutto;netto;origin doi;journal_full_title;hybrid
;FU;2022;5.579,37 €;4.688,55 €;10.1038/s41467-022-28754-2;Nature Communications;no
;FU;2022;2.029,41 €;1.705,39 €;10.1186/s13071-022-05266-y;Parasites & Vectors;no
;FU;2022;1.842,55 €;1.548,36 €;10.1186/s12864-021-08276-9;BMCGenomics;no
;FU;2022;2.001,37 €;1.681,82 €;10.1038/s41598-022-08933-3;Scientific reports;no
;FU;2022;1.862,25 €;1.564,92 €;10.1186/s12862-022-02007-8;BMC Ecology and Evolution;no
;FU;2022;2.001,37 €;1.681,82 €;10.1038/s41598-022-09603-0;Scientific reports;no
;FU;2022;2.001,37 €;1.681,82 €;10.1038/s41598-022-07920-y;Scientific reports;no
;FU;2022;3.300,82 €;2.773,80 €;10.1038/s42005-022-00883-6;Communications physics;no
;FU;2022;3.559,47 €;2.991,15 €;10.1038/s41534-021-00512-0;npj Quantum Information;no
;FU;2022;2.001,37 €;1.681,82 €;10.1038/s41598-022-09169-x;Scientific reports;no
;FU;2022;1.763,72 €;1.482,12 €;10.1186/s12859-021-04532-7;BMC Bioinformatics;no
;FU;2022;1.223,77 €;1.028,38 €;10.1186/s12544-022-00539-0;European Transport Research Review;no
;FU;2022;3.300,82 €;2.773,80 €;10.1038/s42004-022-00669-5;Communications chemistry;no
;FU;2022;1.933,69 €;1.624,95 €;10.1038/s41598-021-04557-1;Scientific reports;no
;FU;2022;2.001,37 €;1.681,82 €;10.1038/s41598-022-10705-y;Scientific reports;no
;FU;2022;2.368,10 €;1.990,00 €;10.1038/s43705-021-00085-1;ISME communications;no
;FU;2022;2.029,41 €;1.705,39 €;10.1186/s12917-022-03162-2;BMC Veterinary Research;no
;FU;2022;5.579,37 €;4.688,55 €;10.1038/s41467-022-29879-0;Nature Communications;no
;FU;2022;2.080,41 €;1.748,24 €;10.1186/s12985-022-01742-0;Virology Journal;no
;FU;2022;3.300,82 €;2.773,80 €;10.1038/s42005-022-00945-9;Communications physics;no
;FU;2022;1.763,72 €;1.482,12 €;10.1186/s40479-022-00182-0;Borderline Personality Disorder and Emotion Dysregulation;no
;FU;2022;2.080,41 €;1.748,24 €;10.1186/s12934-022-01777-6;Microbial Cell Factories;no
;FU;2022;2.549,52 €;2.142,45 €;10.1038/s43247-022-00377-x;communications earth & envionment;no
;FU;2022;1.180,48 €;992,00 €;10.1007/s40955-022-00205-x;Zeitschrift für Weiterbildungsforschung ;no
;FU;2022;1.180,48 €;992,00 €;10.1007/s40955-022-00203-z;Zeitschrift für Weiterbildungsforschung ;no
;FU;2022;2.212,97 €;1.859,64 €;10.1186/s12889-022-14034-7;BMC Public Health;no
;FU;2022;2.465,68 €;2.072,00 €;10.1186/s12915-022-01396-y;BMC Biology;no
;FU;2022;5.579,37 €;4.688,55 €;10.1038/s41467-022-32118-1;Nature Communications;no
;FU;2022;1.907,03 €;1.602,55 €;10.1186/s13561-022-00396-6;Health Economics Review;no
;FU;2022;1.825,45 €;1.533,99 €;10.1186/s13063-022-06757-0;Trials;no
;FU;2022;1.009,12 €;848,00 €;10.1186/s43591-022-00043-1;Microplastics and Nanoplastics;no
;FU;2022;1.907,03 €;1.602,55 €;10.1186/s12884-022-04865-y;BMC Pregnancy and Childbirth;no
;FU;2022;1.315,55 €;1.105,50 €;10.1140/epjqt/s40507-022-00138-x;EPJ Quantum Technology;no
;FU;2022;3.300,82 €;2.773,80 €;10.1038/s42003-022-03689-y;Communications Biology;no
;FU;2022;5.579,37 €;4.688,55 €;10.1038/s41467-022-31700-x;Nature Communications;no
;FU;2022;1.023,40 €;860,00 €;10.1186/s13063-022-06531-2;Trials;no
;FU;2022;2.029,38 €;1.705,36 €;10.1186/s12917-022-03445-8;BMC Veterinary Research;no
;FU;2022;1.223,76 €;1.028,37 €;10.1186/s12544-022-00561-2;European Transport Research Review;no
;FU;2022;5.390,70 €;4.530,00 €;10.1038/s41467-021-26088-z;Nature Communications;no
;FU;2022;3.189,20 €;2.680,00 €;10.1038/s42003-021-02876-7;Communications Biology;no
;FU;2022;5.390,70 €;4.530,00 €;10.1038/s41467-021-26679-w;Nature Communications;no
;FU;2022;1.933,69 €;1.624,95 €;10.1038/s41598-021-02468-9;Scientific Reports;no
;FU;2022;1.842,55 €;1.548,36 €;10.1186/s12936-021-03961-2;Malaria Journal;no
;FU;2022;1.763,72 €;1.482,12 €;10.1186/s12859-021-04309-y;BMC Bioinformatics;no
;FU;2022;2.138,14 €;1.796,76 €;10.1186/s12889-021-11582-2;BMC Public Health;no
;FU;2022;3.451,00 €;2.900,00 €;10.1038/s41467-021-24401-4;Nature Communications;no
;FU;2022;2.256,38 €;1.896,12 €;10.1186/s12263-021-00694-4;Genes & Nutrition;no
;FU;2022;3.189,20 €;2.680,00 €;10.1038/s42003-021-02582-4;Communications Biology;no
;FU;2022;1.933,69 €;1.624,95 €;10.1038/s41598-021-98333-w;Scientific Reports;no
;FU;2022;5.390,70 €;4.530,00 €;10.1038/s41467-021-25592-6;Nature Communications;no
;FU;2022;1.933,69 €;1.624,95 €;10.1038/s41598-021-97191-w;Scientific Reports;no
