"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"FU Berlin",2024,4522,"10.25162/9783515137928",FALSE,"Franz Steiner Verlag","Eine trostlose Wirklichkeit","978-3-515-13792-8",NA,"978-3-515-13792-8",NA,TRUE,FALSE
"FU Berlin",2024,2118.01,NA,FALSE,"Iudicium","Zur Rolle von Mehrdeutigkeiten in der Literaturdidaktik. Deutsch als Fremd- und Zweitsprache","978-3-86205-741-2","978-3-86205-741-2","978-3-86205-882-2",NA,FALSE,FALSE
"FU Berlin",2024,5000,"10.14361/9783839472354",FALSE,"transcript Verlag","Handbuch Queere Zeitgeschichten II","978-3-8376-7235-0","978-3-8376-7235-0","978-3-8394-7235-4","https://creativecommons.org/licenses/by-nc/4.0",TRUE,FALSE
"FU Berlin",2024,6000,"10.61050/3689300029",FALSE,"edition text + kritik","Franz Kafka","978-3-689-30002-9","978-3-689-30002-9","978-3-689-30003-6",NA,FALSE,FALSE
"FU Berlin",2024,5997.6,"10.1007/978-3-662-68409-2",FALSE,"Springer Berlin Heidelberg","Biologiedidaktische Nature of Science-Forschung: Zukunftsweisende Praxis","978-3-662-68408-5","978-3-662-68408-5","978-3-662-68409-2","https://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"FU Berlin",2024,3616.6,NA,FALSE,"wbg Academic","Theorie des Nomadischen","978-3-534-64037-9","978-3-534-64037-9","978-3-534-64057-7",NA,FALSE,FALSE
"FU Berlin",2024,4212.6,"10.14361/9783839472927",FALSE,"transcript Verlag","Philosophy and Jewish Thought","978-3-8376-7292-3","978-3-8376-7292-3","978-3-8394-7292-7","http://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"FU Berlin",2024,4165,"10.55309/e5kg83m7",FALSE,"Kulturverlag Kadmos","»Der König, mein Bruder…«. ›Framing‹, Selbstbespiegelung und Selbstvergewisserung in der Historiographie­geschichte altorientalistischer Fächer","978-3-86599-565-0","978-3-86599-565-0",NA,NA,TRUE,FALSE
"FU Berlin",2024,5000,"10.1515/9783839474082",FALSE,"transcript Verlag","Das Auto und die ökologische Katastrophe","978-3-8394-7408-2",NA,"978-3-8394-7408-2","http://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"FU Berlin",2024,5355,"10.31267/978-3-7574-0129-0",FALSE,"Berlin Schwabe","Zeiten der Alltäglichkeit - Eine schwer fassbare Erfahrung in den Künsten und der Philosophie","978-3-7574-0129-0","978-3-7574-0129-0",NA,"https://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,FALSE
"FU Berlin",2024,2500,"10.25162/9783515137928",FALSE,"Franz Steiner Verlag","Eine trostlose Wirklichkeit","978-3-515-13792-8",NA,"978-3-515-13792-8",NA,TRUE,FALSE
"FU Berlin",2024,4403,"10.25162/9783515133005",FALSE,"Franz Steiner Verlag","Öffentlicher Raum im urbanen China","978-3-515-13300-5",NA,"978-3-515-13300-5",NA,TRUE,FALSE
"FU Berlin",2024,4998,"10.13173/9783447121804",FALSE,"Harrassowitz Verlag","Logbuch Wissensgeschichte. Abschlusspublikation SFB 980","978-3-447-12180-4","978-3-447-12180-4",NA,NA,TRUE,FALSE
"FU Berlin",2025,3450,"10.17169/refubium-43706",FALSE,"wbg Academic","Atractivismo","978-3-534-64089-8",NA,"978-3-534-64089-8",NA,FALSE,FALSE
"FU Berlin",2024,8449,"10.1515/9783110750065",FALSE,"De Gruyter","Polnische Bürgermeister und der Holocaust","978-3-11-075006-5",NA,"978-3-11-075006-5","http://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"FU Berlin",2024,6000,"10.1515/9783111369099",FALSE,"De Gruyter","Ethnicity as Desire","978-3-11-136909-9",NA,"978-3-11-136909-9","http://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"FU Berlin",2024,6000,"10.14361/9783839474235",FALSE,"transcript Verlag","Radikale Verletzbarkeit","978-3-8394-7423-5",NA,"978-3-8394-7423-5",NA,FALSE,FALSE
"FU Berlin",2024,6000,"10.1515/9783839470398",FALSE,"transcript Verlag","Ästhetiken des Engagements","978-3-8394-7039-8",NA,"978-3-8394-7039-8","http://creativecommons.org/licenses/by/4.0",TRUE,FALSE
