institution;year_of_publication;origin_doi;refubium_doi;backlist _oa;isbn;e_isbn;epub;titel;fi_price in Euro;brutto in Euro;Originalpreis in brutto in Euro;Bemerkung 
FU;2025;10.1163/9789004689329;https://refubium.fu-berlin.de/handle/fub188/46430;False;978-90-04-68931-2;978-90-04-68932-9;;Social Codicology;5.042,02;6.000,00;6.000,00;finanziert in 2023
FU;2025;10.1515/9783111167237;https://refubium.fu-berlin.de/handle/fub188/46438;False;978-3-11-116650-6;978-3-11-116723-7;978-3-11-116749-7;Latin America’s Contested Pasts in Telenovelas and TV Series;4.201,68;5.000,00;8.330,00;finanziert in 2024
