"Institution","year_of_publication","Originalpreis brutto in Euro","origin_doi","refubium_doi","backlist_oa","isbn","e_isbn","epub","titel"
"FU ",2020,"6,000.00","10.1515/9783110657746","http://dx.doi.org/10.17169/refubium-27935","FALSE","978-3-11-065364-9","978-3-11-065774-6","978-3-11-065374-8","Empire of Liberty"
"FU ",2020,"6,290.00","10.25162/9783515127554","http://dx.doi.org/10.17169/refubium-28226","FALSE","978-3-515-12749-3","978-3-515-12755-4",,"La guerre et la paix dans la poésie épique en France (1500–1800)"
"FU ",2020,"6,000.00","10.14361/9783839451656","http://dx.doi.org/10.17169/refubium-28531","FALSE","978-3-8376-5165-2","978-3-8394-5165-6",,"Baustelle Elektromobilität"
"FU ",2020,"6,000.00","10.1515/9783110639445","http://dx.doi.org/10.17169/refubium-28462","FALSE","978-3-11-063935-3","978-3-11-063944-5",,"Topografien des 20. Jahrhunderts"
"FU ",2020,"6,960.00","10.14361/9783839450451","http://dx.doi.org/10.17169/refubium-28745","FALSE","978-3-8376-5045-7","978-3-8394-5045-1",,"Moscheeleben in Deutschland"
