"Institution","year_of_publication","Originalpreis brutto in Euro","origin_doi","refubium_doi","backlist _oa","isbn","e_isbn","epub","titel"
"FU ",2021,"6,000.00","10.1515/9783110707151","http://dx.doi.org/10.17169/refubium-28495","FALSE",,"978-3-11-070715-1",,"Sterben dürfen im Krankenhaus"
"FU ",2021,"6,960.00","10.1515/9783110667189","http://dx.doi.org/10.17169/refubium-29654","FALSE",,"978-3-11-066718-9",,"Der Teufel und seine poietische Macht in literarischen Texten vom Mittelalter zur Moderne"
"FU ",2021,"6,000.00","10.14361/9783839455302","http://dx.doi.org/10.17169/refubium-29070","FALSE",,"978-3-8394-5530-2",,"Die Kunst des Büchermachens"
"FU ",2021,"6,000.00","10.1515/9783110719253","http://dx.doi.org/10.17169/refubium-30183","FALSE",,"978-3-11-071925-3",,"Der Kampf um Chinas kollektives Gedächtnis"
"FU ",2021,"6,727.74","10.1017/9781108942713","http://dx.doi.org/10.17169/refubium-30587","FALSE",,"978-1-108-94271-3",,"Encounters between Foreign Relations Law and International Law"
"FU ",2021,"6,000.00","10.14361/9783839456682","http://dx.doi.org/10.17169/refubium-30668","FALSE",,"978-3-8394-5668-2",,"Robuste Langzeit-Governance bei der Endlagersuche"
"FU ",2021,"6,765.15","10.14361/9783839457290","http://dx.doi.org/10.17169/refubium-32197","FALSE",,"978-3-8394-5729-0",,"The Wealthy, the Brilliant, the Few"
"FU ",2021,"6,000.00","10.1515/9783110691597","http://dx.doi.org/10.17169/refubium-31947","FALSE",,"978-3-11-069159-7",,"Qualität in der Inhaltserschließung"
"FU ",2021,"6,000.00","10.14361/9783839457023","http://dx.doi.org/10.17169/refubium-32126","FALSE",,"978-3-8394-5702-3",,"Mediale Affektökonomie"
"FU ",2021,"3,570.00","10.14361/9783839457399","http://dx.doi.org/10.17169/refubium-31494","FALSE",,"978-3-8394-5739-9",,"Nichtstun als politische Praxis"
"FU ",2021,"6,154.68","wartet auf Erscheinen, Transkript ",,"FALSE",,,,"Jazz 1959 : Eine Musikgeschichte in 17 Annäherungen"
"FU ",2021,"6,932.29","wartet auf Erscheinen, Edinburgh Press",,"FALSE",,,,"The Books of Burhan al-din: Literacy and Book Ownership in Mamluk Jerusalem"
"FU ",2021,"6,402.20","wartet auf Erscheinen, Open Books Publ. ",,"FALSE",,,,"Arab Media Systems"
