9;Institution;period;brutto;netto;origin doi;hybrid;;;
;FU;2023;1.936,13;1.764,85;10.1371/journal.pone.0292954;no;;;
;FU;2023;2.100,17;1.764,85;10.1371/journal.pone.0290181;no;;;
;FU;2023;2.097,53;1.762,63;10.1371/journal.pone.0290554;no;;;
;FU;2023;2.710,17;2.277,45;10.1371/journal.pntd.0011554;no;;;
;FU;2023;2.100,17;1.764,85;10.1371/journal.pone.0292969;no;;;
;FU;2023;1.923,92;1.616,74;10.1371/journal.pone.0283371;no;;;
;FU;2023;1.923,92;1.616,74;10.1371/journal.pone.0281521;no;;;
;FU;2023;1.923,92;1.616,74;10.1371/journal.pone.0286117;no;;;
;FU;2023;2.003,12;1.683,29;10.1371/journal.pone.0277609;no;;;
;FU;2023;5.826,25;4.896,01;10.1371/journal.pbio.3002186;no;;;
;FU;2023;1.922,66;1.615,68;10.1371/journal.pone.0280543;no;;;
;FU;2023;1.864,23;1.566,58;10.1371/journal.pone.0280759;no;;;
;FU;2023;1.984,22;1.667,41;10.1371/journal.pone.0281387;no;;;
;FU;2023;1.923,92;1.616,74;10.1371/journal.pone.0281521;no;;;
;FU;2023;1.864,23;1.566,58;10.1371/journal.pone.0283699;no;;;
;FU;2023;1.923,92;1.616,74;10.1371/journal.pone.0284271;no;;;
;FU;2023;1.923,92;1.616,74;10.1371/journal.pone.0284570;no;;;
;FU;2023;2.122,73;1.783,81;10.1371/journal.pone.0292634;no;;;
;FU;2023;2.122,73;1.783,81;10.1371/journal.pone.0294933;no;;;
;FU;2023;1.984,22;1.667,41;10.1371/journal.pone.0295999;no;;;
