"Institution","period","euro","doi","journal_title","year of publication","document ID","is_hybrid"
"FU Berlin",2016,1092.00," 10.1127/metz/2016/0661","Meteorologische Zeitschrift 2016: 0661",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000025745",FALSE
"FU Berlin",2016,1649.58,"10.3390/v8100275","Viruses 2016, 8, 275",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000025704",FALSE
"FU Berlin",2016,1386.35,"10.1038/srep34005","Scientific Reports 6, Article number: 34005",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000025553",FALSE
"FU Berlin",2016,1748.88,"10.3390/rs8080643","Remote Sens. - 8 (2016), 8, Artikel Nr. 643",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000025488",FALSE
"FU Berlin",2016,1456.56,"10.1002/ece3.2456","Ecology and Evolution 2016; 6: 7633–7644",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000025583",FALSE
"FU Berlin",2016,1820.70,"10.1002/ece3.2491","Ecology and Evolution 2016; 6: 7683–7689",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000025622",FALSE
"FU Berlin",2016,1820.70,"10.1002/ece3.2416","Ecology and Evolution 2016; 6: 8149–8158",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000025582",FALSE
"FU Berlin",2016,485.94,"10.3389/fpls.2016.01625","Frontiers in Plant Science 7:1625",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000025599",FALSE
"FU Berlin",2016,1606.50,"10.5194/cp-12-1645-2016","Climate of the Past: Vol. 12, Issue 8, 1645-1662, 2016",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000025444",FALSE
"FU Berlin",2016,1449.00,"10.1127/metz/2016/0582","Meteorologische Zeitschrift. - 25 (2016), 5, S. 531-541",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000025430",FALSE
"FU Berlin",2016,1386.35,"10.1038/srep30718","Scientific Reports. - 6 (2016), Artikel Nr. 30718",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000025147",FALSE
"FU Berlin",2016,748.56,"10.4236/ce.2016.714193","Social Sciences & Humanities / Creative Education Vol.7 No.14, August 2016",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000025054",FALSE
"FU Berlin",2016,1386.35,"10.1038/srep27999","Scientific Reports 6, Article number: 27999 (2016)",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000025052",FALSE
"FU Berlin",2016,1785.00,"10.5194/acp-16-8695-2016","Atmos. Chem. Phys., 16, 8695-8714, 2016",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000025066",FALSE
"FU Berlin",2016,500.00,"10.1038/ncomms11609","Nature Communications: 7, Article number: 11609",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000024949",FALSE
"FU Berlin",2016,1057.91,"10.1111/jvim.13953","Journal of Veterinary Internal Medicine, 2016",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_0000000024915",FALSE
"FU Berlin",2016,1593.18,"10.1016/j.nicl.2016.04.004","NeuroImage: Clinical 11 (2016) 578–587",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_0000000024786",FALSE
"FU Berlin",2016,1887.55,"10.1371/journal.ppat.1005666","PLoS Pathog 12(5): e1005666",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_0000000024766",FALSE
"FU Berlin",2016,1679.27,"10.3390/ijms17050659","International Journal of Molecular Sciences, 2016, 17(5), 659",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_0000000024558",FALSE
"FU Berlin",2016,1332.80,"10.3402/tellusa.v67.29184","Tellus A. - 67 (2015), Artikel Nr. 29184",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_0000000023826",FALSE
"FU Berlin",2016,1413.80,"10.1371/journal.pone.0152892","PLoS ONE. - 11 (2016), 4, Artikel Nr. e0152892",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_0000000024442",FALSE
"FU Berlin",2016,1347.00,"10.1371/journal.pone.0153825"," PLoS ONE. - 11 (2016), 4, Artikel Nr. e0153825",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_0000000024460",FALSE
"FU Berlin",2016,150.00,"10.2298/TSCI150922094T","Thermal Science, 2016",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_0000000024643",FALSE
"FU Berlin",2016,1525.09,"10.3389/fmicb.2016.00336","Front. Microbiol. - 7(2016), Artikel Nr.336",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_0000000024412",FALSE
"FU Berlin",2016,2000.00,"10.1186/s12958-016-0156-y","Reproductive Biology and Endocrinology. - 14 (2016), Artikel Nr. 22",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_0000000024477",FALSE
"FU Berlin",2016,1641.80,"10.1371/journal.pone.0147150","PLoS ONE. - 11 (2016), 1, Artikel Nr. e0147150",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_0000000024076",FALSE
"FU Berlin",2016,1479.68,"10.1371/journal.pone.0151051","PLoS ONE 11(3): e0151051",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_0000000024388",FALSE
"FU Berlin",2016,1895.00,"10.1186/s12950-016-0113-8","Journal of Inflammation. - 13 (2016), 1, Artikel Nr. 5",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000024141",FALSE
"FU Berlin",2016,1518.00,"10.3389/feart.2016.00031","Front. Earth Sci. - 4 (2016), Artikel Nr. 31",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000024433",FALSE
"FU Berlin",2016,1557.45,"10.3389/fpsyg.2016.00154","Front. Psychol. - 7 (2016), Artikel Nr. 154",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000024225",FALSE
"FU Berlin",2016,2000.00,"10.3389/fcimb.2016.00027","Frontiers in Cellular and Infection Microbiology. - 6 (2016), 27, S. 1-10",2015,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000024379",FALSE
"FU Berlin",2016,1475.47,"10.1371/journal.pone.0148158","14002/53101-000/08150000, S.Thieme, 24203",2016,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000024203",FALSE
"FU Berlin",2016,1560.02,"10.3389/feart.2015.00089","Frontiers in Earth Science. - 3 (2016), Artikel Nr. 89",2016,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000023795",FALSE
"FU Berlin",2016,1415.79,"10.1371/journal.pone.0148581","PLoS ONE 11(2): e0148581",2016,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000024126",FALSE
"FU Berlin",2016,1904.00,"10.3402/tellusa.v68.29464","Tellus A 2016, 68, 29464",2016,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000024125",FALSE
"FU Berlin",2016,2000.00,"10.3389/fpsyg.2016.00356","Frontiers in Psychology. - 7 (2016), Artikel Nr. 356",2016,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000024294",FALSE
"FU Berlin",2016,871.72,"10.3390/atmos7020015","Atmosphere. 2016; 7(2):15.",2016,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000024197",FALSE
"FU Berlin",2016,1425.33,"10.1371/journal.pone.0151733"," PLoS ONE 11(3): e0151733",2016,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000024391",FALSE
"FU Berlin",2016,1462.97,"10.1371/journal.pone.0147040","PLoS ONE. - 11 (2016), 1, Artikel Nr. e0147040",2016,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000023936",FALSE
"FU Berlin",2016,1346.73,"10.1371/journal.pone.0149190","PLOS ONE. - 11 (2016), 2, Artikel Nr. e0149190",2016,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000024018",FALSE
"FU Berlin",2016,2000.00,"10.1016/j.celrep.2015.12.011","Frontiers in Psychology, March 2016, Volume 7, Article 408",2016,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000023845",FALSE
"FU Berlin",2016,200.00,"no doi","sub\urban 2016, Band 4, Heft 2/3, Seiten 321-326",2016,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000026044",FALSE
"FU Berlin",2016,2142.00,"10.1186/s12862-016-0766-1","BMC Evolutionary Biology (2016) 16:202",2016,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000026037",FALSE
"FU Berlin",2016,321.76,"10.5539/jsd.v9n6p158","Journal of Sustainable Development. - 9 (2016), 6, Artikel Nr. 158",2016,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000026000",FALSE
