Institution;year_of_publication;Originalpreis brutto in Euro;origin_doi;refubium_doi;backlist _oa;isbn;e_isbn;epub;titel
FU ;2021;6.932,29;;https://refubium.fu-berlin.de/handle/fub188/38881;FALSE;978-1-4744-9206-5;9781-4-7449-208-9;9781-4-7449-209-6;Owning Books and Preserving Documents in Medieval Jerusalem
FU ;2021;6.402,20;10.11647/OBP.0238;https://refubium.fu-berlin.de/handle/fub188/38947;FALSE;978-1-80064-059-7;;978-1-80064-062-7;Arab Media Systems
