Institution;year_of_publication;Originalpreis brutto in Euro;origin_doi;refubium_doi;backlist _oa;isbn;e_isbn;epub;titel;;
FU;2020;5999,98;10.14361/9783839452233;http://dx.doi.org/10.17169/refubium-35583;FALSE;978-3-8376-5223-9;978-3-8394-5223-3;;Involvierte Autonomie: Künstlerische Praxis zwischen Engagement und Eigenlogik;;
FU;2022;6.000,00;no doi ;http://dx.doi.org/10.17169/refubium-39067;FALSE;978-1-48754780-6;978-1-48754783-7;978-1-48754781-3;Queer Lives Across the Wall;;
