117,"Institution","period","brutto (euro)","netto (euro)","origin_doi","is hybrid "
,"FU",2021,"1,918.58","1,612.25","10.1128/AEM.01204-20","no"
,"FU",2021,"1,130.76",950.22,"10.1016/j.isci.2020.101615","no"
,"FU",2021,"1,249.50","1,050.00","10.1016/j.qsa.2021.100022","no"
,"FU",2021,845.51,710.51,"10.4490/algae.2020.35.8.1","no"
,"FU",2021,"1,130.50",950.00,"10.2376/1439-0299-2020-13","no"
,"FU",2021,"1,977.73","1,661.96","10.1371/journal.pcbi.1008068","no"
,"FU",2021,"1,243.31","1,044.80","10.1021/acsomega.1c01058","no"
,"FU",2021,"1,345.30","1,130.50","10.2376/1439-0299-2020-35","no"
,"FU",2021,"1,998.72","1,679.60","10.1093/gbe/evab109","no"
,"FU",2021,"1,490.48","1,252.50","10.1088/1367-2630/ac08b4","no"
,"FU",2021,"1,255.45","1,055.00","10.1080/2331186X.2021.1956033","no"
,"FU",2021,863.20,725.38,"10.4142/jvs.2021.22.e64","no"
,"FU",2021,"2,017.37","1,695.27","10.1080/20008686.2021.1975530","no"
,"FU",2021,"2,017.37","1,695.27","10.2196/26397","no"
,"FU",2021,833.00,700.00,"10.36900/suburban.v9i3/4.724","no"
,"FU",2021,963.90,810.00,"10.3897/neobiota.69.67995","no"
,"FU",2021,"1,255.45","1,055.00","10.1080/2331186X.2021.1985687","no"
,"FU",2021,"1,682.02","1,413.46","10.1136/bmjgh-2021-007323","no"
,"FU",2021,"1,800.08","1,512.67","10.1109/ACCESS.2021.3121557","no"
,"FU",2021,297.50,250.00,"10.14512/rur.41","no"
,"FU",2021,"1,649.57","1,386.19","10.3389/fpls.2021.626709","no"
,"FU",2021,849.58,713.93,"10.3389/fcomm.2021.613167","no"
,"FU",2021,"1,985.32","1,668.34","10.3389/fpsyg.2021.631142","no"
,"FU",2021,"1,982.85","1,666.26","10.3389/fpls.2021.613488","no"
,"FU",2021,"1,987.42","1,670.10","10.3389/fpls.2021.616645","no"
,"FU",2021,"1,987.42","1,670.10","10.3389/fnhum.2021.581847","no"
,"FU",2021,"2,010.17","1,689.22","10.3389/fcell.2021.639231","no"
,"FU",2021,"1,992.64","1,674.49","10.3389/fpsyg.2021.629046","no"
,"FU",2021,865.64,727.43,"10.3389/feduc.2021.642107","no"
,"FU",2021,"1,996.72","1,677.92","10.3389/fchem.2021.669452","no"
,"FU",2021,"1,973.92","1,658.76","10.3389/fnbeh.2021.647224","no"
,"FU",2021,"1,972.25","1,657.35","10.3389/fvets.2021.668650","no"
,"FU",2021,"1,996.71","1,677.91","10.3389/fenvs.2021.650155","no"
,"FU ",2021,"1,972.25","1,657.35","10.3389/fgene.2021.662239","no"
,"FU ",2021,"1,975.84","1,660.37","10.3389/fenvs.2021.681934","no"
,"FU ",2021,"1,975.13","1,659.77","10.3389/fpsyg.2021.604526","no"
,"FU ",2021,"1,350.69","1,135.03","10.3389/fpsyt.2021.648367","no"
,"FU ",2021,"1,999.84","1,680.54","10.3389/fendo.2021.633785","no"
,"FU ",2021,"1,999.84","1,680.54","10.3389/fpsyg.2021.671421","no"
,"FU ",2021,"2,007.76","1,687.19","10.3389/fcell.2021.668915","no"
,"FU ",2021,"2,007.99","1,687.39","10.3389/fpubh.2021.653435","no"
,"FU ",2021,"1,695.24","1,424.57","10.3389/fchem.2021.685761","no"
,"FU ",2021,"1,695.24","1,424.57","10.3389/fgene.2021.683946","no"
,"FU ",2021,"2,022.38","1,699.48","10.3389/fenvs.2021.675803","no"
,"FU ",2021,"1,611.12","1,353.88","10.3389/fpubh.2021.660508","no"
,"FU ",2021,"2,026.70","1,703.11","10.3389/fnbeh.2021.690571","no"
,"FU ",2021,"1,711.07","1,437.87","10.3389/fcell.2021.679046","no"
,"FU ",2021,"2,065.91","1,736.06","10.3389/fmicb.2021.746795","no"
,"FU ",2021,"2,068.41","1,738.16","10.3389/fenvs.2021.765696","no"
,"FU ",2021,"1,359.62","1,142.54","10.3390/ph14020115","no"
,"FU ",2021,"1,618.45","1,360.04","10.3390/cryst11020151","no"
,"FU ",2021,"1,747.87","1,468.80","10.3390/su13031592","no"
,"FU ",2021,"1,747.87","1,468.80","10.3390/ph14020153","no"
,"FU",2021,"1,942.00","1,631.93","10.3390/vaccines9020166","no"
,"FU",2021,"1,359.62","1,142.54","10.3390/life11020101","no"
,"FU",2021,"1,456.68","1,224.10","10.3390/pr9020265","no"
,"FU",2021,"1,548.55","1,301.30","10.3390/ani11020549","no"
,"FU",2021,"2,322.78","1,951.92","10.3390/rs13050932","no"
,"FU",2021,"1,838.87","1,545.27","10.3390/su13052772","no"
,"FU",2021,"2,329.89","1,957.89","10.3390/rs13061215","no"
,"FU",2021,"1,941.49","1,631.50","10.3390/ijms22073719","no"
,"FU",2021,"1,844.38","1,549.90","10.3390/su13063580","no"
,"FU",2021,"1,833.59","1,540.83","10.3390/pharmaceutics13040469","no"
,"FU",2021,"1,078.33",906.16,"10.3390/molecules26082148","no"
,"FU",2021,"1,941.49","1,631.50","10.3390/vaccines9040385","no"
,"FU",2021,"1,802.71","1,514.88","10.3390/rs13102009","no"
,"FU",2021,"1,931.47","1,623.08","10.3390/v13061072","no"
,"FU",2021,"2,172.64","1,825.75","10.3390/cancers13102432","no"
,"FU",2021,"1,777.55","1,493.74","10.3390/antibiotics10050587","no"
,"FU",2021,"1,975.13","1,659.77","10.3390/ijms22105198","no"
,"FU",2021,"1,777.55","1,493.74","10.3390/pathogens10060669","no"
,"FU",2021,"1,975.13","1,659.77","10.3390/ijms22105329","no"
,"FU",2021,"1,777.55","1,493.74","10.3390/land10070667","no"
,"FU",2021,"1,097.26",922.07,"10.3390/ijms22115897","no"
,"FU",2021,"1,777.55","1,493.74","10.3390/ani11071848","no"
,"FU",2021,"2,172.64","1,825.75","10.3390/jcm10132961","no"
,"FU",2021,"1,382.59","1,161.84","10.3390/antibiotics10060615","no"
,"FU",2021,"1,777.55","1,493.74","10.3390/metabo11060366","no"
,"FU",2021,"1,662.14","1,396.76","10.3390/pharmaceutics13050601","no"
,"FU",2021,"1,994.59","1,676.13","10.3390/catal11050565","no"
,"FU",2021,"1,795.13","1,508.51","10.3390/ani11051317","no"
,"FU",2021,"1,396.16","1,173.24","10.3390/antibiotics10040468","no"
,"FU",2021,"2,216.26","1,862.40","10.3390/ijerph18094901","no"
,"FU",2021,"1,894.99","1,592.43","10.3390/su13094698","no"
,"FU",2021,"1,888.54","1,587.01","10.3390/v13091869","no"
,"FU",2021,"2,043.09","1,716.88","10.3390/biom11081166","no"
,"FU",2021,"2,043.09","1,716.88","10.3390/cells10082062","no"
,"FU",2021,"1,838.78","1,545.19","10.3390/ani11082158","no"
,"FU",2021,"1,135.16",953.92,"10.3390/cells10092175","no"
,"FU",2021,"1,838.78","1,545.19","10.3390/antibiotics10080928","no"
,"FU",2021,"2,043.08","1,716.87","10.3390/biom11091377","no"
,"FU",2021,"1,078.44",906.25,"10.3390/ijms22168746","no"
,"FU",2021,"2,043.08","1,716.87","10.3390/molecules26195728","no"
,"FU",2021,"1,838.80","1,545.21","10.3390/ani11102796","no"
,"FU",2021,"1,838.79","1,545.20","10.3390/ani11092522","no"
,"FU",2021,"1,430.23","1,201.87","10.3390/educsci11080432","no"
,"FU",2021,"1,838.80","1,545.21","10.3390/ani11102842","no"
,"FU",2021,"1,929.57","1,621.49","10.3390/ijms22168739","no"
,"FU",2021,"1,589.14","1,335.41","10.3390/atmos12101256","no"
,"FU",2021,"1,838.78","1,545.19","10.3390/plants10071458","no"
,"FU",2021,"1,940.94","1,631.04","10.3390/su13179930","no"
,"FU",2021,"2,043.09","1,716.88","10.3390/microorganisms9091828","no"
,"FU",2021,"1,588.92","1,335.23","10.3390/microorganisms9091829","no"
,"FU",2021,856.80,720.00,"10.17645/mac.v9i1.3469","no"
,"FU",2021,856.80,720.00,"10.17645/mac.v9i2.3749","no"
,"FU",2021,856.80,720.00,"10.17645/mac.v9i3.3988","no"
,"FU",2021,856.80,720.00,"10.17645/si.v9i3.4317","no"
,"FU",2021,856.80,720.00,"10.17645/pag.v9i3.4000","no"
,"FU",2021,856.80,720.00,"10.17645/mac.v9i4.4292","no"
,"FU",2021,"1,706.04","1,433.65","10.1371/journal.pone.0237944","no"
,"FU",2021,"2,017.05","1,695.00","10.1371/journal.pone.0241133","no"
,"FU",2021,"2,017.05","1,695.00","10.1371/journal.pone.0241981","no"
,"FU",2021,"1,374.45","1,155.00","10.5194/nhess-20-2857-2020","no"
,"FU",2021,"1,642.20","1,380.00","10.5194/egqsj-69-201-2020","no"
,"FU",2021,981.75,825.00,"10.5194/mr-1-197-2020","no"
,"FU",2021,"1,282.82","1,078.00","10.5194/amt-13-3909-2020","no"
,"FU",2021,"1,213.80","1,020.00","10.5194/egqsj-70-1-2021","no"
