31;Institution;period;brutto;netto;origin doi;journal_full_title;hybrid
;FU;2021;3.381,49 €;2.841,59 €;10.1038/s41534-021-00425-y;npj Quantum Information;no
;FU;2021;985,32 €;828,00 €;10.1186/s40309-021-00172-5;European Journal of Futures Research;no
;FU;2021;1.960,79 €;1.647,72 €;10.1186/s13071-021-04835-x;Parasites & Vectors;no
;FU;2021;1.837,00 €;1.543,70 €;10.1038/s41598-021-87500-8;Scientific Reports;no
;FU;2021;1.332,80 €;1.120,00 €;10.1186/s40104-021-00594-y;Journal of Animal Science and Biotechnology;no
;FU;2021;1.009,12 €;848,00 €;10.1186/s43591-021-00007-x;Microplastics and Nanoplastics;no
;FU;2021;985,32 €;828,00 €;10.1186/s13099-021-00437-1;Gut Pathogens;no
;FU;2021;3.029,74 €;2.546,00 €;10.1038/s42005-020-00503-1;Communications Physics;no
;FU;2021;3.451,00 €;2.900,00 €;10.1038/s41467-021-21264-7;Nature Communications;no
;FU;2021;1.009,12 €;848,00 €;10.1186/s43591-021-00004-0;Microplastics and Nanoplastics;no
;FU;2021;1.837,00 €;1.543,70 €;10.1038/s41598-020-80359-1;Scientific Reports;no
;FU;2021;1.837,00 €;1.543,70 €;10.1038/s41598-021-85027-6;Scientific Reports;no
;FU;2021;1.960,79 €;1.647,72 €;10.1186/s13071-021-04628-2;Parasites & Vectors;no
;FU;2021;3.451,00 €;2.900,00 €;10.1038/s41467-021-21212-5;Nature Communications;no
;FU;2021;1.960,79 €;1.647,72 €;10.1186/s13071-021-04593-w;Parasites & Vectors;no
;FU;2021;942,48 €;792,00 €;10.1186/s42409-021-00021-y;Measurement Instruments for the Social Sciences;no
;FU;2021;3.451,00 €;2.900,00 €;10.1038/s41467-021-22180-6;Nature Communications;no
;FU;2021;3.451,00 €;2.900,00 €;10.1038/s41467-021-21480-1;Nature Communications;no
;FU;2021;1.774,89 €;1.491,50 €;10.1038/s41598-020-70529-6;Scientific Reports;no
;FU;2021;3.451,00 €;2.900,00 €;10.1038/s41467-020-18087-3;Nature Communications;no
;FU;2021;1.774,89 €;1.491,50 €;10.1038/s41598-020-72955-y;Scientific Reports;no
;FU;2021;3.451,00 €;2.900,00 €;10.1038/s41467-020-19221-x;Nature Communications;no
;FU;2021;1.894,48 €;1.592,00 €;10.1186/s13071-020-04265-1;Parasites & Vectors;no
;FU;2021;3.451,00 €;2.900,00 €;10.1038/s41467-020-19852-0;Nature Communications;no
;FU;2021;1.774,89 €;1.491,50 €;10.1038/s41598-020-75019-3;Scientific Reports;no
;FU;2021;1.774,89 €;1.491,50 €;10.1038/s41598-020-79057-9;Scientific Reports;no
;FU;2021;999,60 €;840,00 €;10.1007/s41109-020-00339-2;Applied Network Science;no
;FU;2021;1.894,48 €;1.592,00 €;10.1186/s13071-020-04318-5;Parasites & Vectors;no
;FU;2021;1.774,89 €;1.491,50 €;10.1038/s41598-020-72282-2;Scientific Reports;no
;FU;2021;3.451,00 €;2.900,00 €;10.1038/s41467-020-20159-3;Nature Communications;no
;FU;2021;1.774,89 €;1.491,50 €;10.1038/s41597-020-00764-z;Scientific Data;no
