"Institution","period","brutto","netto","origin doi","hybrid"
"FU",2022,"1,309.00","1,100.00","10.17892/app.2021.00013.276","no"
"FU",2022,"1,309.00","1,100.00","10.17892/app.2021.00013.273","no"
"FU",2022,"1,309.00","1,100.00","10.17892/app.2021.00013.278","no"
"FU",2022,"1,169.18",982.50,"10.1016/j.chbr.2021.100142","no"
"FU",2022,"1,130.50",950.00,"10.2376/1439-0299-2021-23","no"
"FU",2022,"1,975.19","1,659.82","10.2196/32598","no"
"FU",2022,"1,104.69",928.31,"10.2113/2022/5729877","no"
"FU",2022,"1,725.50","1,450.00","10.1080/20008198.2022.2029333","no"
"FU",2022,"1,130.50",950.00,"10.2376/1439-0299-2021-25","no"
"FU",2022,"1,130.50",950.00,"10.2376/1439-0299-2021-13","no"
"FU",2022,"1,998.72","1,679.60","10.1093/scan/nsab126","no"
"FU",2022,838.95,705.00,"10.1080/17445647.2021.2020178","no"
"FU",2022,"1,169.18",982.50,"10.1016/j.urbmob.2022.100013","no"
"FU",2022,"1,880.20","1,580.00","10.1016/j.jik.2022.100192","no"
"FU",2022,"1,986.11","1,669.00","10.1093/gbe/evac100","no"
"FU",2022,773.50,650.00,"10.1553/giscience2022_01_s77","no"
"FU",2022,"1,040.35",874.24,"10.3168/jds.2021-21533","no"
"FU",2022,"1,130.50",950.00,"10.3168/jds.2021-20555","no"
"FU",2022,"1,130.50",950.00,"10.2376/1439-0299-2022-5","no"
"FU",2022,"1,785.00","1,500.00","10.36900/suburban.v10i2/3.762","no"
"FU",2022,"1,160.25",975.00,"10.1016/j.xpro.2022.101715","no"
"FU",2022,"2,006.34","1,686.00","10.1093/nar/gkac797","no"
"FU",2022,398.38,334.77,"10.5455/OVJ.2022.v12.i4.4","no"
"FU",2022,"1,859.96","1,562.99","10.7717/peerj.14202","no"
"FU",2022,"1,664.49","1,398.73","10.3168/jds.2022-22165","no"
"FU",2022,657.48,552.50,"10.3897/mbmg.6.85844","no"
"FU",2022,"1,156.60",971.93,"10.1039/D2RA05200H","no"
"FU",2022,576.61,484.55,"10.1107/S205698902201060X","no"
"FU",2022,"1,309.00","1,100.00","10.17892/app.2022.00015.324","no"
"FU",2022,"1,071.00",900.00,"10.5194/ejm-34-507-2022","no"
"FU",2022,258.23,217.00,"10.5194/asr-19-97-2022","no"
"FU",2022,"1,374.45","1,155.00","10.5194/soil-8-421-2022","no"
"FU",2022,"1,282.82","1,078.00","10.5194/nhess-22-2117-2022","no"
"FU",2022,"1,868.30","1,570.00","10.5194/hess-25-6479-2021","no"
"FU",2022,"1,557.71","1,309.00","10.5194/hess-25-6133-2021","no"
"FU",2022,"1,466.08","1,232.00","10.5194/npg-29-37-2022","no"
"FU",2022,"1,570.80","1,320.00","10.5194/egqsj-71-1-2022","no"
"FU",2022,"1,888.54","1,587.01","10.3390/cancers13246281","no"
"FU",2022,"1,824.16","1,532.91","10.3390/pharmaceutics13122128","no"
"FU",2022,"1,738.32","1,460.77","10.3390/ani12010109","no"
"FU",2022,"1,931.47","1,623.08","10.3390/ijms222413615","no"
"FU",2022,"1,931.47","1,623.08","10.3390/microorganisms9122617","no"
"FU",2022,"1,738.32","1,460.77","10.3390/ani11123555","no"
"FU",2022,"1,738.33","1,460.78","10.3390/ani11123462","no"
"FU",2022,"1,738.33","1,460.78","10.3390/ani11123463","no"
"FU",2022,"1,931.47","1,623.08","10.3390/nano12010125","no"
"FU",2022,"1,834.90","1,541.93","10.3390/su14010113","no"
"FU",2022,"1,834.90","1,541.93","10.3390/su14010340","no"
"FU",2022,"1,823.63","1,532.46","10.3390/land10111251","no"
"FU",2022,"1,823.63","1,532.46","10.3390/ani11123432","no"
"FU",2022,"1,621.07","1,362.24","10.3390/children8100941","no"
"FU",2022,"1,125.76",946.02,"10.3390/microorganisms9122489","no"
"FU",2022,"1,857.40","1,560.84","10.3390/v13112156","no"
"FU",2022,"1,621.05","1,362.23","10.3390/ani11123369","no"
"FU",2022,"1,999.20","1,680.00","10.3390/pharmaceutics14030477","no"
"FU",2022,"1,352.03","1,136.16","10.3390/antibiotics11020127","no"
"FU",2022,"1,352.03","1,136.16","10.3390/antibiotics11020152","no"
"FU",2022,"1,888.55","1,587.02","10.3390/v14020287","no"
"FU",2022,"1,931.48","1,623.09","10.3390/su14031830","no"
"FU",2022,"1,738.32","1,460.77","10.3390/ani12030378","no"
"FU",2022,"1,931.47","1,623.08","10.3390/microorganisms10030512","no"
"FU",2022,"1,352.02","1,136.15","10.3390/pathogens11020223","no"
"FU",2022,"1,738.32","1,460.77","10.3390/ani12050644","no"
"FU",2022,"1,999.20","1,680.00","10.3390/microorganisms10030652","no"
"FU",2022,"1,502.26","1,262.40","10.3390/antibiotics11030368","no"
"FU",2022,"1,931.47","1,623.08","10.3390/land11030372","no"
"FU",2022,"1,287.65","1,082.06","10.3390/microorganisms10030629","no"
"FU",2022,"1,233.99","1,036.97","10.3390/ijms23062936","no"
"FU",2022,"1,716.86","1,442.74","10.3390/app12083855","no"
"FU",2022,"1,641.75","1,379.62","10.3390/vetsci9040181","no"
"FU",2022,"1,502.26","1,262.40","10.3390/antibiotics11040484","no"
"FU",2022,"1,502.26","1,262.40","10.3390/pathogens11050490","no"
"FU",2022,"1,614.16","1,356.44","10.3390/antibiotics11060758","no"
"FU",2022,"1,037.67",871.99,"10.3390/appliedmath2020018","no"
"FU",2022,878.47,738.21,"10.3390/app12105057","no"
"FU",2022,"1,664.82","1,399.01","10.3390/microorganisms10071305","no"
"FU",2022,"2,140.48","1,798.72","10.3390/su14127181","no"
"FU",2022,"1,999.20","1,680.00","10.3390/ijms23137476","no"
"FU",2022,"1,498.34","1,259.11","10.3390/photonics9070465","no"
"FU",2022,"1,997.78","1,678.81","10.3390/toxins14070449","no"
