"Institution","year_of_publication","Originalpreis brutto in Euro","origin_doi","refubium_doi","backlist _oa","isbn","e_isbn","epub","titel"
"FU",2019,"6,690.00",,"http://dx.doi.org/10.17169/refubium-25846.2","FALSE","978-1-4744-5156-7","978-1-4744-5159-8","978-1-4744-5158-1","A monument to medieval Syrian book culture"
"FU",2019,"3,570.00","10.14361/9783839447628","http://dx.doi.org/10.17169/refubium-26042","FALSE","978-3-8376-4762-4","978-3-8394-4762-8",,"The politics of affective societies"
"FU",2020,"9,412.61","10.1007/978-3-030-37081-7","http://dx.doi.org/10.17169/refubium-26738","FALSE",,"978-3-030-37081-7",,"Stochastic Discounted Cash Flow"
"FU",2019,"9,912.70","10.1007/978-3-030-20103-6","http://dx.doi.org/10.17169/refubium-4065","FALSE","978-3-030-20102-9","978-3-030-20103-6",,"The Brownian motion"
"FU",2019,"8,778.00","10.24921/2020.94115939","http://dx.doi.org/10.17169/refubium-25695","FALSE","978-3-941159-38-9","978-3-941159-39-6",,"Fälle zum Verwaltungsrecht"
"FU",2020,"5,704.82","10.1007/978-3-030-21629-0","http://dx.doi.org/10.17169/refubium-26266","FALSE","978-3-030-21628-3","978-3-030-21629-0",,"Taking the EU to court"
"FU",2020,"5,800.00","10.14361/9783839445143","http://dx.doi.org/10.17169/refubium-27647","FALSE",,"978-3-8394-4514-3",,"Intersektionale Sozialforschung"
"FU",2020,"1,472.66",,"http://dx.doi.org/10.17169/refubium-26783","FALSE",,"978-1-78969-558-8",,"Approaches to the Analysis of Production Activity at Archaeological Sites"
"FU",2019,"2,975.00",,"http://dx.doi.org/10.17169/refubium-25808","FALSE",,"978-3-8394-4784-0",,"""Fremde, ferne Welt"""
"FU",2019,"5,972.61",,"http://dx.doi.org/10.17169/refubium-4222","FALSE","978-3-8376-4439-5","978-3-8394-4439-9",,"Affekt Macht Netz"
"FU",2020,"6,000.00","10.14361/9783839451694","http://dx.doi.org/10.17169/refubium-27479","FALSE","978-3-8376-5169-0","978-3-8394-5169-4",,"Flucht und Vertreibung in europäischen Museen"
