institution;apc;period;doi;currency;is_hybrid
Consejo Superior de Investigaciones Cientificas (CSIC);2438;01/01/2023;10.1007/s11033-022-08236-w;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);2438;01/01/2023;10.1007/s11104-023-05868-0;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);2438;01/01/2023;10.1007/s00382-022-06658-7;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);2438;01/01/2023;10.1007/s10592-023-01503-8;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);2438;01/01/2023;10.1007/s10530-023-03000-y;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);2438;01/01/2023;10.1007/s12526-023-01337-0;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);2438;01/01/2023;10.1617/s11527-023-02105-z;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);2438;01/01/2023;10.1007/s00338-023-02352-0;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);3371,45;01/01/2023;10.1007/s11104-023-05946-3;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);2438;01/01/2023;10.1007/s12237-023-01176-z;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);2438;01/01/2023;10.1007/s11224-023-02130-2;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);2438;01/01/2023;10.1007/s00248-023-02181-2;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);2438;01/01/2023;10.1007/s11356-023-25536-1;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);3371,45;01/01/2023;10.1007/s10661-023-10953-z;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);2438;01/01/2023;10.1007/s11627-023-10334-8;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);3371,45;01/01/2023;10.1007/s00217-023-04206-z;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);2438;01/01/2023;10.1007/s11192-023-04645-1;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);3371,45;01/01/2023;10.1007/s00586-023-07566-y;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);3371,45;01/01/2023;10.1007/s12652-023-04551-7;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);3371,45;01/01/2023;10.1007/s41208-023-00526-9;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);3371,45;01/01/2023;10.1007/s11160-023-09759-6;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);3371,45;01/01/2023;10.1007/s10592-023-01506-5;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);3371,45;01/01/2023;10.1007/s12520-023-01730-7;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);3371,45;01/01/2023;10.1007/s10530-023-03026-2;EUR;TRUE
Consejo Superior de Investigaciones Cientificas (CSIC);3371,45;01/01/2023;10.1007/s10971-023-06065-2;EUR;TRUE
