"Publisher","Journal abbreviation","DOI","institution","Year of APC payment","Currency","Amount before discount","Total Discount  Amount Applied","USD/ Article Net Price","euro","Issued amount","is_hybrid"
"Hindawi",,"10.1155/2018/1642684","Qatar National Library",2018,"USD","1,950.00",390.00,"1,560.00","1,344.52","1,560.00",FALSE
"Hindawi",,"10.1155/2018/2639081","Qatar National Library",2018,"USD","2,050.00",410.00,"1,640.00","1,413.47","1,640.00",FALSE
