Publisher;Request Type;Year of APC Payment;Journal Title;Journal Type is_hybrid (TRUE/FALSE);Instituation ;Article Status;DOI;Submitted to Open APC 
Elsevier ;Agreement;2021;IDCases;FALSCH;Qatar National Library Consortium;Published;https://doi.org/10.1016/j.idcr.2021.e01254;Yes - 3rd submission
Elsevier ;Agreement;2021;Energy Reports ;FALSCH;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.egyr.2021.08.122;Yes - 3rd submission
Elsevier ;Agreement;2021;IDCases;FALSCH;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.idcr.2021.e01344;Yes - 3rd submission
Elsevier ;Agreement;2021;Desalination ;WAHR;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.desal.2021.115451;Yes - 3rd submission
Elsevier ;Agreement;2021;Transportation Research Interdisciplinary Perspectives;FALSCH;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.trip.2021.100506;Yes - 3rd submission
Elsevier ;Agreement;2021;Building and Environment;WAHR;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.buildenv.2021.108595;Yes - 3rd submission
Elsevier ;Agreement;2021;IDCases ;FALSCH;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.idcr.2021.e01346;Yes - 3rd submission
Elsevier ;Agreement;2021;Energy Strategy Reviews;FALSCH;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.esr.2021.100768;Yes - 3rd submission
Elsevier ;Agreement;2021;Materials Letters;WAHR;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.matlet.2021.131353;Yes - 3rd submission
Elsevier ;Agreement;2021;Global Epidemiology ;FALSCH;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.gloepi.2021.100068;Yes - 3rd submission
Elsevier ;Agreement;2021;Surgery Open Science ;FALSCH;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.sopen.2021.11.006;Yes - 3rd submission
Elsevier ;Agreement;2021;Current Problems in Cardiology;WAHR;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.cpcardiol.2021.101071;Yes - 3rd submission
Elsevier ;Agreement;2021;Chemosphere;WAHR;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.chemosphere.2021.133099;Yes - 3rd submission
Elsevier ;Agreement;2021;Computers & Mathematics with Applications;WAHR;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.camwa.2021.11.016;Yes - 3rd submission
Elsevier ;Agreement;2021;Journal of Environmental Chemical Engineering;WAHR;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.jece.2021.106916;Yes - 3rd submission
Elsevier ;Agreement;2021;Renewable & Sustainable Energy Reviews;WAHR;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.rser.2021.111958;Yes - 3rd submission
Elsevier ;Agreement;2021;Technological Forecasting and Social Change;WAHR;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.techfore.2021.121415;Yes - 3rd submission
Elsevier ;Agreement;2021;Transportation Research Part D: Transport and Environment;WAHR;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.trd.2021.103129;Yes - 3rd submission
Elsevier ;Agreement;2021;Sensors and Actuators A: Physical;WAHR;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.sna.2021.113256;Yes - 3rd submission
Elsevier ;Agreement;2021;Desalination;WAHR;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.desal.2021.115489;Yes - 3rd submission
Elsevier ;Agreement;2021;Gene;WAHR;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.gene.2021.146101;Yes - 3rd submission
Elsevier ;Agreement;2021;Technology in Society;WAHR;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.techsoc.2021.101832;Yes - 3rd submission
Elsevier ;Agreement;2021;Case Studies in Thermal Engineering;FALSCH;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.csite.2021.101683;Yes - 3rd submission
Elsevier ;Agreement;2021;Heliyon;FALSCH;Qatar National Library Consortium;Published;https://doi.org/10.1016/j.heliyon.2021.e08545;Yes - 3rd submission
Elsevier ;Agreement;2021;Energy Reports;FALSCH;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.egyr.2021.11.239;Yes - 3rd submission
Elsevier ;Agreement;2021;Applied Surface Science;WAHR;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.apsusc.2021.152138;Yes - 3rd submission
Elsevier ;Agreement;2021;Energy Reports;FALSCH;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.egyr.2021.11.252;Yes - 3rd submission
Elsevier ;Agreement;2021;Applied Soft Computing;WAHR;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.asoc.2021.108287;Yes - 3rd submission
Elsevier ;Agreement;2021;Seminars in Cancer Biology;WAHR;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.semcancer.2021.12.003;Yes - 3rd submission
Elsevier ;Agreement;2021;Journal of Cleaner Production;WAHR;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.jclepro.2021.129786;Yes - 3rd submission
Elsevier ;Agreement;2021;Computer Science Review;WAHR;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.cosrev.2021.100439;Yes - 3rd submission
Elsevier ;Agreement;2021;Materials Today: Proceedings;WAHR;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.matpr.2021.11.574;Yes - 3rd submission
Elsevier ;Agreement;2021;Journal of Colloid and Interface Science;WAHR;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.jcis.2021.12.023;Yes - 3rd submission
Elsevier ;Agreement;2021;Ecological Indicators;FALSCH;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.ecolind.2021.108465;Yes - 3rd submission
Elsevier ;Agreement;2021;Biomedicine & Pharmacotherapy;FALSCH;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.biopha.2021.112553;Yes - 3rd submission
Elsevier ;Agreement;2021;Asian Journal of Psychiatry ;WAHR;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.ajp.2021.102969;Yes - 3rd submission
Elsevier ;Agreement;2021;Oral and Maxillofacial Surgery Cases ;FALSCH;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.omsc.2021.100241;Yes - 3rd submission
Elsevier ;Agreement;2021;Travel Medicine and Infectious Disease;WAHR;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.tmaid.2021.102246;Yes - 3rd submission
Elsevier ;Agreement;2021;Journal of Water Process Engineering ;WAHR;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.jwpe.2021.102527;Yes - 3rd submission
Elsevier ;Agreement;2021;Journal of Environmental Management;WAHR;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.jenvman.2021.114359;Yes - 3rd submission
Elsevier ;Agreement;2021;IDCases;FALSCH;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.idcr.2021.e01370;Yes - 3rd submission
Elsevier ;Agreement;2021;Operations Research Perspectives;FALSCH;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.orp.2021.100214;Yes - 3rd submission
Elsevier ;Agreement;2021;Results in Engineering;FALSCH;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.rineng.2021.100313;Yes - 3rd submission
Elsevier ;Agreement;2021;Journal of Materials Research and Technology;FALSCH;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.jmrt.2021.12.096;Yes - 3rd submission
Elsevier ;Agreement;2021;Energy Conversion and Management;WAHR;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.enconman.2021.115161;Yes - 3rd submission
Elsevier ;Agreement;2021;Energy Reports;FALSCH;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.egyr.2021.12.013;Yes - 3rd submission
Elsevier ;Agreement;2021;Biomedicine & Pharmacotherapy;FALSCH;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.biopha.2021.112574;Yes - 3rd submission
Elsevier ;Agreement;2021;Clinical Breast Cancer ;WAHR;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.clbc.2021.12.009;Yes - 3rd submission
Elsevier ;Agreement;2021;Energy;WAHR;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.energy.2021.123008;Yes - 3rd submission
Elsevier ;Agreement;2021;Journal of Cleaner Production;WAHR;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.jclepro.2021.130291;Yes - 3rd submission
Elsevier ;Agreement;2021;Energy Reports;FALSCH;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.egyr.2021.12.072;Yes - 3rd submission
Elsevier ;Agreement;2021;IDCases;FALSCH;Qatar National Library Consortium;Accepted;http://dx.doi.org/10.1016/j.idcr.2022.e01382;Yes - 3rd submission
Elsevier ;Agreement;2021;Desalination;WAHR;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.desal.2021.115535;Yes - 3rd submission
Elsevier ;Agreement;2021;Applied Surface Science;WAHR;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.apsusc.2022.152441;Yes - 3rd submission
Elsevier ;Agreement;2021;Applied Surface Science;WAHR;Qatar National Library Consortium;Published;http://dx.doi.org/10.1016/j.apsusc.2021.152376;Yes - 3rd submission
