"Publisher","Journal abbreviation","DOI","institution","Year of APC payment","Currency","Amount before discount","Total Discount  Amount Applied","euro","is_hybrid"
"Biomed Central",,"10.1186/s12967-018-1471-1","Qatar National Library",2018,"Euro","1,745.00",261.75,"1,483.25",FALSE
"Biomed Central",,"10.1140/epjds/s13688-018-0139-7","Qatar National Library",2018,"Euro","1,055.00",158.25,896.75,FALSE
"Biomed Central",,"10.1186/s13640-018-0298-2","Qatar National Library",2018,"Euro","1,155.00",173.25,981.75,FALSE
"Biomed Central",,"10.1186/s12964-017-0200-3","Qatar National Library",2018,"Euro","1,490.00",223.50,"1,266.50",FALSE

