Publisher;Request Type;Year of APC Payment;Journal Title;Journal Type is_hybrid (TRUE/FALSE);Instituation ;Article Status;DOI;Article Net Price In Euro;Submitted to Open APC 
Springer Nature;OAAF;2019;Scientific Reports;FALSCH;Qatar National Library Consortium;Published;10.1038/s41598-019-50033-2;1465.24;Yes - 3rd submission
Springer Nature;OAAF;2020;Scientific Reports;FALSCH;Qatar National Library Consortium;Published;https://doi.org/10.1038/s41598-020-61324-4;1578.82;Yes - 3rd submission
Springer Nature - OA;OAAF;2020;Sports Medicine - Open;FALSCH;Qatar National Library Consortium;Published;https://doi.org/10.1186/s40798-020-00262-x;1885.92;Yes - 3rd submission
Hindawi;OAAF;2021;Disease Markers;FALSCH;Qatar National Library Consortium;Published;https://doi.org/10.1155/2020/8892312;1622.31;Yes - 3rd submission
PLOS;OAAF;2021;PLOS One;FALSCH;Qatar National Library Consortium;Published;https://doi.org/10.1371/journal.pone.0247608;1407.77;Yes - 3rd submission
Sage;OAAF;2021;Clinical and Applied Thrombosis/Hemostasis;FALSCH;Qatar National Library Consortium;Accepted;10.1177/10760296211012093;1960.02;Yes - 3rd submission
Elsevier ;OAAF;2021;Energy Reports;FALSCH;Qatar National Library Consortium;Published;https://doi.org/10.1016/j.egyr.2021.03.036;1633.76;Yes - 3rd submission
Elsevier ;OAAF;2021;Heliyon;FALSCH;Qatar National Library Consortium;Published;https://doi.org/10.1016/j.heliyon.2021.e06866;1500.00;Yes - 3rd submission
Taylor & Francis;OAAF;2021;Journal of Drug Assessment;FALSCH;Qatar National Library Consortium;Published;10.1080/21556660.2021.1930548;849.51;Yes - 3rd submission
Elsevier;OAAF;2021;International Journal of Infectious Diseases;FALSCH;Qatar National Library Consortium;Published;https://doi.org/10.1016/j.ijid.2021.05.021;490.13;Yes - 3rd submission
Elsevier;OAAF;2021;Energy reports;FALSCH;Qatar National Library Consortium;Published;https://doi.org/10.1016/j.egyr.2021.05.032;1830.00;Yes - 3rd submission
Sage;OAAF;2021;Acta Radiologica Open;FALSCH;Qatar National Library Consortium;Published;10.1177/20584601211026808;694.42;Yes - 3rd submission
Elsevier ;OAAF;2021;Ain Shams Engineering;FALSCH;Qatar National Library Consortium;Published;10.1016/j.asej.2021.05.025;702.52;Yes - 3rd submission
Elsevier;OAAF;2021;Results in Engineering;FALSCH;Qatar National Library Consortium;Published;https://doi.org/10.1016/j.rineng.2021.100232;612.66;Yes - 3rd submission
Frontiers;OAAF;2021;Frontiers in Psychology;FALSCH;Qatar National Library Consortium;Published;10.3389/fpsyg.2021.720493;2409.80;Yes - 3rd submission
Sage;OAAF;2021;Journal of Low Frequency Noise, Vibration & Active Control;FALSCH;Qatar National Library Consortium;Accepted;10.1177/14613484211044627;1284.68;Yes - 3rd submission
Elsevier ;OAAF;2021;Annals of Medicine and Surgery;FALSCH;Qatar National Library Consortium;Published;10.1016/j.amsu.2021.102540;898.57;Yes - 3rd submission
Elsevier ;OAAF;2021;Cellular and Molecular Gastroenterology and Hepatology;FALSCH;Qatar National Library Consortium;Published;10.1016/j.jcmgh.2021.07.001;1633.76;Yes - 3rd submission
ACS Publications;OAAF;2021;ACS Omega;FALSCH;Qatar National Library Consortium;Accepted;10.1021/acsomega.1c03117;1021.10;Yes - 3rd submission
Elsevier ;OAAF;2021;Alexandria Engineering Journal;FALSCH;Qatar National Library Consortium;Published;10.1016/j.aej.2021.08.062;702.52;Yes - 3rd submission
Elsevier ;OAAF;2021;Annals of Medicine and Surgery;FALSCH;Qatar National Library Consortium;Published;10.1016/j.amsu.2021.102803;980.26;Yes - 3rd submission
American Chemical Society;OAAF;2021;ACS Omega;FALSCH;Qatar National Library Consortium;Accepted;10.1021/acsomega.1c03189;1021.10;Yes - 3rd submission
PLOS;OAAF;2021;PLOS one;FALSCH;Qatar National Library Consortium;Published;10.1371/journal.pone.0246476;1406.20;Yes - 3rd submission
IEEE;OAAF;2022;IEEE Access;FALSCH;Qatar National Library Consortium;Accepted;10.1109/ACCESS.2021.3127084;1143.63;Yes - 3rd submission
Frontiers;OAAF;2022;Frontiers in Public Health;FALSCH;Qatar National Library Consortium;Accepted;10.3389/fpubh.2021.779654;2168.82;Yes - 3rd submission
Elsevier ;OAAF;2022;Materials Research and Technology;FALSCH;Qatar National Library Consortium;Published;10.1016/j.jmrt.2022.02.045;1140.00;Yes - 3rd submission
Elsevier ;OAAF;2022;Energy Conversion and Management: X;FALSCH;Qatar National Library Consortium;Published;10.1016/j.ecmx.2022.100201;1470.39;Yes - 3rd submission
Elsevier ;OAAF;2022;Case Studies in Construction Materials;FALSCH;Qatar National Library Consortium;Published;10.1016/j.cscm.2022.e01008;571.82;Yes - 3rd submission
HBKU Press;OAAF;2022;HBKU Press ;FALSCH;Qatar National Library Consortium;Published;10.5339/connect.2021.spt.3;490.13;Yes - 3rd submission
HBKU Press;OAAF;2022;QScience Connect ;FALSCH;Qatar National Library Consortium;Published;10.5339/connect.2021.spt.2;490.13;Yes - 3rd submission
Sage;OAAF;2022;Cancer Control;FALSCH;Qatar National Library Consortium;Accepted;10.1177/10732748221106266;1030.06;Yes - 3rd submission
