"institution",,"Betrag EUR","DOI","Journal","ISSN.1","ISSN.2","Publisher","base.url","record.id","is_hybrid","opt_out"
"GFZ Potsdam",2020,3451.00,"10.1007/s11069-020-03902-3","Natural Hazards ","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5001222,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1007/s10712-020-09590-9","Surveys in Geophysics ","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5001680,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1007/s10498-020-09369-9","Aquatic Geochemistry ","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5000446,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1007/s10518-020-00796-1 ","Bulletin of Earthquake Engineering","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5001205,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1007/s00190-020-01354-y","Journal of Geodesy","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5001246,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00," 10.1007/s10950-020-09921-8"," Journal of Seismology","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5001741,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1007/s00126-020-00984-8","Mineralium Deposita","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5001869,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1007/s10518-020-00869-1 ","Bulletin of Earthquake Engineering ","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5001963,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1007/s10291-020-00992-1 ","GPS Solutions ","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5002613,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1007/s10518-020-00899-9 ","Bulletin of Earthquake Engineering ","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5002472,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1007/s10346-020-01485-5 ","Landslides ","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5002650,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1007/s13137-020-00160-0 ","GEM - International Journal on Geomathematics ","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5002721,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1007/s10518-020-00940-x ","Bulletin of Earthquake Engineering","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5002949,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1007/s10291-020-01035-5 ","GPS Solutions","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5003205,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1007/s00190-020-01441-0 ","Journal of Geodesy ","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5003358,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1007/s10291-020-01043-5","GPS Solutions","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5003492,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1007/s00024-020-02605-x ","Pure and Applied Geophysics ","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5003549,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1007/s00269-020-01122-6 ","Physics and Chemistry of Minerals","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5003610,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1007/s00603-020-02270-5","Rock Mechanics and Rock Engineering","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5003672,"TRUE","TRUE"
"GFZ Potsdam",2020,3451.00,"10.1007/s00531-020-01953-2","International Journal of Earth Sciences","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5003731,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1007/s10518-020-01004-w","Bulletin of Earthquake Engineering ","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5003829,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1007/s11205-020-02488-4","Social Indicators Research","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5005390,"TRUE","TRUE"
"GFZ Potsdam",2020,3451.00,"10.1007/s00190-020-01424-1","Journal of Geodesy","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5003972,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1007/s11069-020-04413-x ","Natural Hazards ","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5004063,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1007/s00531-020-01962-1","International Journal of Earth Sciences","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5004216,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1007/s00190-020-01361-z","Journal of Geodesy","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de  ",5001212,"TRUE","TRUE"
