"institution",,"Betrag EUR","DOI","Journal","ISSN.1","ISSN.2","Publisher","base.url","record.id","is_hybrid","opt_out"
"GFZ Potsdam",2020,3451.00,"10.1029/2019GL086577","Geophysical Research Letters","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",5000017,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1029/2019JA027514","Journal of Geophysical Research: Space Physics","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de  ",5000019,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1029/2019GL084220","Geophysical Research Letters","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de  ",4685889,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1029/2019TC005797","Tectonics","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de  ",5000192,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1002/esp.4720","Earth Surface Processes and Landforms","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de  ",4906915,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1029/2019TC005829","Tectonics","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de  ",5000697,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1029/2019TC005753","Tectonics","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de  ",5000369,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1029/2019GC008663","Geochemistry, Geophysics, Geosystems","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de  ",5000829,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1029/2019JB018900","Journal of Geophysical Research: Solid Earth","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de  ",5000834,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1029/2019GL086185","Geophysical Research Letters","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de  ",5000847,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1029/2019PA003713","Paleoceanography and Paleoclimatology","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de  ",5001179,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1029/2019GL086627","Geophysical Research Letters","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de  ",5001167,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1029/2019JC015960","Journal of Geophysical Research: Oceans","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de  ",5001180,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1029/2019JB018688","Journal of Geophysical Research: Solid Earth","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de  ",5001669,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1029/2019JA027422","Journal of Geophysical Research: Space Physics","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de  ",5001736,"TRUE","FALSE"
"GFZ Potsdam",2020,3451.00,"10.1029/2020GC008976","Geochemistry, Geophysics, Geosystems","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de  ",5001803,"TRUE","FALSE"
