"institution",,"Betrag EUR","DOI","Journal","ISSN.1","ISSN.2","Publisher","base.url","record.id","is_hybrid","opt_out"
"GFZ-Potsdam",2019,3402.11,"10.1002/hyp.13549","Hydrological Processes","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4444889,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1029/2018SW002141","Space Weather","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4444890,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1029/2019JB017764","Journal of Geophysical Research: Solid Earth","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4476894,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1029/2019JB017716","Journal of Geophysical Research: Solid Earth","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4476895,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1029/2019JB017765","Journal of Geophysical Research: Solid Earth","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4476893,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1002/esp.4710","Earth Surface Processes and Landforms","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4469907,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1029/2019GC008309","Geochemistry, Geophysics, Geosystems","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4448890,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1111/1365-2478.12853","Geophysical Prospecting","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4448889,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1029/2019WR025068","Water Resources Research","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4626890,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1029/2019WR026072","Water Resources Research","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4690891,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1029/2019GC008490","Geochemistry, Geophysics, Geosystems","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4670890,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1029/2019GC008430","Geochemistry, Geophysics, Geosystems","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4690892,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1029/2019JA027096","Journal of Geophysical Research: Space Physics","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4696890,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1029/2019RG000656","Reviews of Geophysics","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4754888,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1029/2018JC014768","Journal of Geophysical Research: Oceans","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4779888,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1029/2019GL084192","Geophysical Research Letters","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4861894,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1029/2019GC008340","Geochemistry, Geophysics, Geosystems","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4696889,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1029/2019JA027419","Journal of Geophysical Research: Space Physics","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4883900,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1029/2019JB018475","Journal of Geophysical Research: Solid Earth","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4883912,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1029/2019JB018474","Journal of Geophysical Research: Solid Earth","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4890888,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1029/2019WR026213","Water Resources Research","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4812890,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1029/2019JB017794","Journal of Geophysical Research: Solid Earth","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",5000265,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1029/2019JB018668","Journal of Geophysical Research: Solid Earth","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4942891,"TRUE","FALSE"
"GFZ-Potsdam",2019,3402.11,"10.1029/2019JD030634","Journal of Geophysical Research: Atmospheres","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de ",4883896,"TRUE","FALSE"
