"DOI","Institution","period"
"10.1007/s11422-016-9783-z","University of Leeds",2017
"10.1007/s11230-016-9674-4","University of Aberdeen",2017
"10.1007/s00165-016-0405-z","Newcastle University",2017
"10.1007/s10915-016-0351-1","University of Oxford",2017
"10.1007/s00158-016-1643-7","Swansea University",2017
"10.1007/s11406-016-9805-9","University College London",2017
"10.1007/s11469-016-9727-6","King's College London",2017
"10.1007/s00209-016-1834-3","University of Strathclyde",2017
"10.1007/s11162-017-9446-2","University of Cambridge",2017
"10.1007/s00268-016-3854-x","University of Manchester",2017
"10.1007/s00126-016-0707-3","University of Exeter",2017
"10.1007/s11266-016-9825-x","Brunel University",2017
"10.1007/s00391-016-1175-1","University College London",2017
"10.1007/s10803-016-3012-1","King's College London",2017
"10.1007/s00792-016-0910-2","University of St Andrews",2017
"10.1007/s10554-016-1059-x","Imperial College London",2017
"10.1007/s10551-016-3420-3","University of Hull",2017
"10.1007/s10762-016-0351-0","University College London",2017
"10.1007/s11023-016-9416-z","University of Southampton",2017
"10.1007/s10719-017-9761-z","University of Leeds",2017
"10.1007/s00023-016-0544-z","Queen Mary, University of London",2017
"10.1007/s00330-017-4736-9","University of Manchester",2017
"10.1007/s00029-017-0303-0","University of Cambridge",2017
"10.1007/s11098-017-0861-1","University of Cambridge",2017
"10.1007/s11562-016-0376-0","University of Cambridge",2017
"10.1007/s00415-016-8380-0","University College London",2017
"10.1007/s00382-017-3521-4","University of Reading",2017
"10.1617/s11527-016-0990-6","Sheffield Hallam University",2017
"10.1007/s11661-016-3944-2","University of Manchester",2017
"10.1007/s10633-017-9571-4","University of Bradford",2017
"10.1007/s00224-016-9745-6","University of Cambridge",2017
"10.1007/s10955-016-1708-4","Queen Mary, University of London",2017
"10.1007/s11277-017-3966-0","University of York",2017
"10.1007/s00021-017-0315-8","University of Oxford",2017
"10.1007/s11841-016-0563-8","University of Sheffield",2017
"10.1007/s40009-016-0527-0","University of Cambridge",2017
"10.1007/s00415-016-8338-2","University College London",2017
"10.1007/s00453-016-0255-3","University of Leeds",2017
"10.1007/s11032-016-0606-4","University of Liverpool",2017
"10.1007/s10784-016-9341-x","University of East Anglia",2017
"10.1007/s00213-016-4512-6","Queen Mary, University of London",2017
