DOI,Institution,period,is_hybrid
10.1007/s00009-017-0841-x,Queen's University of Belfast,2017,TRUE
10.1007/s00015-017-0266-3,University of Liverpool,2017,TRUE
10.1007/s00038-017-0965-6,University of St Andrews,2017,TRUE
10.1007/s00039-017-0404-0,University of Cambridge,2017,TRUE
10.1007/s00039-017-0408-9,University College London,2017,TRUE
10.1007/s00114-017-1453-9,Bournemouth University,2017,TRUE
10.1007/s00125-017-4226-2,University of Exeter,2017,TRUE
10.1007/s00125-017-4230-6,University of Cambridge,2017,TRUE
10.1007/s00125-017-4235-1,University of Leicester,2017,TRUE
10.1007/s00125-017-4242-2,Imperial College London,2017,TRUE
10.1007/s00125-017-4245-z,University of Manchester,2017,TRUE
10.1007/s00126-017-0716-x,Cardiff University,2017,TRUE
10.1007/s00127-017-1354-4,University of Oxford,2017,TRUE
10.1007/s00127-017-1359-z,University of Bristol,2017,TRUE
10.1007/s00127-017-1372-2,University of York,2017,TRUE
10.1007/s00138-017-0830-x,Cardiff University,2017,TRUE
10.1007/s00146-017-0690-y,Imperial College London,2017,TRUE
10.1007/s00146-017-0694-7,University of Birmingham,2017,TRUE
10.1007/s00146-017-0710-y,The Open University,2017,TRUE
10.1007/s00146-017-0712-9,University of Cambridge,2017,TRUE
10.1007/s00167-017-4494-x,Imperial College London,2017,TRUE
10.1007/s00170-017-0155-y,University of Birmingham,2017,TRUE
10.1007/s00170-017-0156-x,University of Warwick,2017,TRUE
10.1007/s00170-017-0175-7,Loughborough University,2017,TRUE
10.1007/s00170-017-0219-z,Kingston University,2017,TRUE
10.1007/s00182-017-0570-1,University of Kent,2017,TRUE
10.1007/s00199-017-1041-4,University of Nottingham,2017,TRUE
10.1007/s00199-017-1043-2,"Queen Mary, University of London",2017,TRUE
10.1007/s00203-017-1358-1,Newcastle University,2017,TRUE
10.1007/s00205-017-1104-5,University of Surrey,2017,TRUE
10.1007/s00213-017-4569-x,University of Cambridge,2017,TRUE
10.1007/s00213-017-4579-8,University of Cambridge,2017,TRUE
10.1007/s00213-017-4585-x,Keele University,2017,TRUE
10.1007/s00220-016-2814-5,University of Oxford,2017,TRUE
10.1007/s00220-017-2851-8,Aberystwyth University,2017,TRUE
10.1007/s00221-017-4917-4,Durham University,2017,TRUE
10.1007/s00221-017-4930-7,Leeds Beckett University,2017,TRUE
10.1007/s00221-017-4935-2,University of Lincoln,2017,TRUE
10.1007/s00223-016-0229-0,University of Sheffield,2017,TRUE
10.1007/s00223-017-0246-7,University of Oxford,2017,TRUE
10.1007/s00223-017-0265-4,University of Edinburgh,2017,TRUE
10.1007/s00256-017-2610-0,University of Oxford,2017,TRUE
10.1007/s00262-017-1977-z,University of Manchester,2017,TRUE
10.1007/s00268-017-3917-7,University of Edinburgh,2017,TRUE
10.1007/s00268-017-4007-6,King's College London,2017,TRUE
10.1007/s00276-017-1841-z,King's College London,2017,TRUE
10.1007/s00281-017-0620-6,University of Birmingham,2017,TRUE
10.1007/s00300-017-2106-3,University of Cambridge,2017,TRUE
10.1007/s00332-017-9367-4,Imperial College London,2017,TRUE
10.1007/s00334-017-0602-6,University College London,2017,TRUE
10.1007/s00338-017-1561-1,University of Exeter,2017,TRUE
10.1007/s00338-017-1572-y,University of Derby,2017,TRUE
10.1007/s00344-017-9692-8,University of Nottingham,2017,TRUE
10.1007/s00348-017-2313-2,University of Cambridge,2017,TRUE
