"Institution","DOI","period"
"Aberystwyth University","10.1007/s00500-015-1923-y","2015"
"Aberystwyth University","10.1007/s12371-015-0172-x","2016"
"Aberystwyth University","10.1007/s11217-016-9515-6","2016"
"Aberystwyth University","10.1007/s10993-016-9402-6","2016"
"Aberystwyth University","10.1007/s12686-016-0537-8","2016"
"Aberystwyth University","10.1007/s40279-016-0559-0","2016"
"Anglia Ruskin University","10.1007/s10803-015-2693-1","2016"
"Anglia Ruskin University","10.1007/s00221-016-4567-y","2016"
"Anglia Ruskin University","10.1007/s11525-016-9286-3","2016"
"Anglia Ruskin University","10.1007/s40318-016-0091-2","2016"
"Aston University","10.1007/s11096-015-0236-7","2016"
"Aston University","10.1007/s11187-015-9698-1","2016"
"Bangor University","10.1007/s10433-015-0359-7","2015"
"Bangor University","10.1007/s11104-015-2747-3","2015"
"Bangor University","10.1007/s00374-016-1092-x","2016"
"Bangor University","10.1007/s10347-016-0468-6","2016"
"Bangor University","10.1007/s10457-016-9912-4","2016"
"Bangor University","10.1007/s00300-016-1914-1","2016"
"Bangor University","10.1007/s11842-016-9331-4","2016"
"Bangor University","10.1007/s00267-016-0696-0","2016"
"Bangor University","10.1007/s12237-016-0103-3","2016"
"Bangor University","10.1007/s10113-016-0978-3","2016"
"Bangor University","10.1007/s10531-016-1131-9","2016"
"Bangor University","10.1007/s13127-016-0289-z","2016"
"Bournemouth University","10.3758/s13423-015-0995-0","2016"
"Bournemouth University","10.1007/s00394-015-1130-8","2016"
"Bournemouth University","10.1007/s10750-016-2641-x","2016"
"Bournemouth University","10.1007/s00227-015-2805-7","2016"
"Bournemouth University","10.1007/s40279-016-0476-2","2016"
"Bournemouth University","10.1007/s40869-016-0017-0","2016"
"Bournemouth University","10.1007/s12160-016-9784-x","2016"
"Bournemouth University","10.1007/s40722-016-0044-8","2016"
"Bournemouth University","10.1007/s12283-016-0202-1","2016"
"Brunel University","10.1007/s10609-015-9271-2","2016"
"Brunel University","10.1007/s10734-015-9976-5","2016"
"Brunel University","10.1007/s00412-015-0561-6","2016"
"Brunel University","10.1007/s10614-016-9567-2","2016"
"Brunel University","10.1007/s11192-016-1895-4","2016"
"Brunel University","10.1007/s00294-016-0589-z","2016"
"Brunel University","10.1007/s11837-016-1855-8","2016"
"Brunel University","10.1007/s00181-016-1075-7","2016"
"Brunel University","10.1007/s10270-016-0521-5","2016"
"Brunel University","10.1007/s11665-016-2070-z","2016"
"Cardiff Metropolitan University","10.1007/s40279-016-0474-4","2016"
"Cardiff University","10.1007/s10459-015-9652-7","2015"
"Cardiff University","10.1007/s10551-015-2940-6","2015"
"Cardiff University","10.1007/s11664-015-4180-z","2015"
"Cardiff University","10.1007/s00415-015-7974-2","2015"
"Cardiff University","10.1007/s11159-015-9516-7","2015"
