"DOI","Institution","period","is_hybrid"
"10.1007/s00259-017-3917-8","University College London",2018,TRUE
"10.1007/s11098-017-1026-y","University of Kent",2018,TRUE
"10.1007/s10583-018-9344-z","Manchester Metropolitan University",2018,TRUE
"10.1007/s12686-018-0983-6","Cardiff University",2018,TRUE
"10.1007/s12053-017-9609-1","University of Cambridge",2018,TRUE
"10.1007/s11205-018-1839-x","University College London",2018,TRUE
"10.1007/s10531-018-1514-1","University of Oxford",2018,TRUE
"10.1007/s00213-017-4826-z","Queen Mary, University of London",2018,TRUE
"10.1007/s12232-017-0288-1","University of East Anglia",2018,TRUE
"10.1007/s11276-017-1645-4","City University London",2018,TRUE
"10.1007/s12671-017-0856-1","University of Sussex",2018,TRUE
"10.1007/s11095-017-2298-9","Queen's University of Belfast",2018,TRUE
"10.1007/s11244-018-0891-8","Durham University",2018,TRUE
"10.1007/s11244-018-0894-5","Cardiff University",2018,TRUE
"10.1007/s11469-018-9880-1","Nottingham Trent University",2018,TRUE
"10.1007/s13665-018-0194-3","University of East Anglia",2018,TRUE
"10.1007/s41999-017-0023-1","University of Oxford",2018,TRUE
"10.1007/s00268-017-4395-7","Imperial College London",2018,TRUE
"10.1007/s11049-017-9384-x","Queen Mary, University of London",2018,TRUE
"10.1007/s10610-017-9365-y","Northumbria University",2018,TRUE
"10.1007/s11356-017-1125-5","University of Sussex",2018,TRUE
"10.1007/s00410-017-1435-0","University of Manchester",2018,TRUE
"10.1007/s00432-018-2579-7","University of Nottingham",2018,TRUE
"10.1007/s00395-018-0668-z","King's College London",2018,TRUE
"10.1007/s00421-018-3801-7","Edge Hill University",2018,TRUE
"10.1007/s10796-017-9821-8","University of Bristol",2018,TRUE
"10.1007/s12265-017-9779-4","King's College London",2018,TRUE
"10.1007/s10802-017-0379-1","University College London",2018,TRUE
"10.3758/s13414-017-1454-y","University of Liverpool",2018,TRUE
"10.1007/s11469-018-9874-z","University of Derby",2018,TRUE
"10.1007/s11244-018-0887-4","University College London",2018,TRUE
"10.1007/s12410-018-9441-9","University of Glasgow",2018,TRUE
"10.1007/s41233-017-0015-4","Newcastle University",2018,TRUE
"10.1007/s00024-018-1774-4","Imperial College London",2018,TRUE
"10.1007/s10640-018-0221-4","University of Cambridge",2018,TRUE
"10.1007/s10670-017-9961-8","London School of Economics and Political Science",2018,TRUE
"10.1007/s11205-017-1834-7","University of Oxford",2018,TRUE
"10.1007/s00265-017-2436-8","University of St Andrews",2018,TRUE
"10.1007/s00125-017-4532-8","University of Glasgow",2018,TRUE
"10.1007/s00222-017-0784-7","University College London",2018,TRUE
"10.1007/s00158-017-1883-1","University of Aberdeen",2018,TRUE
"10.1007/s10270-018-0658-5","University of York",2018,TRUE
"10.1007/s00394-017-1605-x","University of Reading",2018,TRUE
"10.1007/s10107-018-1233-0","University of Cambridge",2018,TRUE
"10.1007/s00220-018-3084-1","University of Oxford",2018,TRUE
"10.1007/s00296-018-3927-2","University of Liverpool",2018,TRUE
"10.1007/s00787-018-1107-2","University of Reading",2018,TRUE
"10.1007/s11009-017-9612-1","University College London",2018,TRUE
"10.1007/s11238-017-9651-7","University of Leeds",2018,TRUE
"10.1007/s10853-018-2057-2","University College London",2018,TRUE
"10.1007/s11244-018-0898-1","University of Manchester",2018,TRUE
"10.1007/s10703-017-0314-7","University of Kent",2018,TRUE
"10.1007/s00792-018-1001-3","Bangor University",2018,TRUE
"10.1007/s40472-018-0178-9","University of Cambridge",2018,TRUE
"10.1007/s10569-017-9807-3","University of Strathclyde",2018,TRUE
"10.1007/s11841-017-0636-3","University of Leeds",2018,TRUE
"10.1007/s10901-017-9587-9","Cardiff University",2018,TRUE
"10.1007/s10551-018-3794-5","Manchester Metropolitan University",2018,TRUE
"10.1007/s11214-018-0472-y","Queen Mary, University of London",2018,TRUE
"10.1007/s11229-018-1694-y","University College London",2018,TRUE
"10.1007/s11368-017-1911-1","University of Aberdeen",2018,TRUE
"10.1007/s10291-018-0700-7","University of Nottingham",2018,TRUE
"10.1007/s00405-018-4865-z","University of Cambridge",2018,TRUE
"10.1007/s00204-018-2152-9","University of Liverpool",2018,TRUE
"10.1007/s10230-018-0511-7","Liverpool John Moores University",2018,TRUE
"10.1007/s11749-017-0576-9","University of Leeds",2018,TRUE
"10.1007/s10854-017-8489-7","Loughborough University",2018,TRUE
"10.1007/s10914-017-9423-8","University of Liverpool",2018,TRUE
"10.1007/s13524-017-0640-9","University of St Andrews",2018,TRUE
"10.3758/s13421-018-0792-x","Durham University",2018,TRUE
"10.1007/s12105-017-0884-0","University of Sheffield",2018,TRUE
"10.1007/s11244-018-0890-9","University of Aberdeen",2018,TRUE
"10.1007/s11661-018-4466-x","University of Manchester",2018,TRUE
"10.1007/s11244-018-0893-6","Loughborough University",2018,TRUE
"10.1007/s41061-017-0182-z","University of York",2018,TRUE
"10.1007/s40592-017-0075-5","University of Oxford",2018,TRUE
"10.1007/s40641-018-0087-0","Bangor University",2018,TRUE
"10.1007/s40653-018-0203-2","University of Dundee",2018,TRUE
"10.1007/s12571-017-0760-5","Imperial College London",2018,TRUE
"10.1007/s10734-017-0227-9","University of West of Scotland",2018,TRUE
"10.1007/s11240-017-1370-9","Royal Botanic Gardens",2018,TRUE
"10.1007/s11027-017-9774-8","University of Leeds",2018,TRUE
