Institution;Period;Euro;doi;Publisher;Journal;issn.1;Date
Duisburg Essen U;2017;1165;10.1038/srep40355;Springer Nature;Scientific Reports;;Jan 17
Duisburg Essen U;2017;2178;10.1364/OE.25.002413;OSA;Optics Express;;Jan 17
Duisburg Essen U;2017;2157;10.1371/journal.pcbi.1005362;Public Library of Science;PLOS Computational Biology;;Jan 17
Duisburg Essen U;2017;1962;10.3389/fpsyg.2017.00188;Frontiers;Frontiers in psychology;;Jan 17
Duisburg Essen U;2017;704;10.1039/C6RA27505B;Royal Society of Chemistry (RSC);RSC Advances;;Feb 17
Duisburg Essen U;2017;1392;10.1088/1367-2630/aa60d4;IOP Publishing;New Journal of Physics;;Feb 17
Duisburg Essen U;2017;1297;10.1097/MD.0000000000005933;LWW;Medicine;;Feb 17
Duisburg Essen U;2017;2142;10.1186/s13071-017-2030-y;BioMed Central;Parasites and Vectors;;Feb 17
Duisburg Essen U;2017;2618;10.1007/s00430-017-0494-1;Springer;Medical Microbiology and Immunology;;Feb 17
Duisburg Essen U;2017;2360;10.3389/fimmu.2017.00152;Frontiers;Frontiers in Immunology;;Feb 17
Duisburg Essen U;2017;2700;10.1038/gt.2017.13;Springer Nature;Gene therapy;;Mrz 17
Duisburg Essen U;2017;1305;10.1038/s41598-017-00172-1;Springer Nature;Scientific Reports;;Mrz 17
Duisburg Essen U;2017;1487;10.1063/1.4979982 ;AIP Publishing;AIP Advances;;Mrz 17
Duisburg Essen U;2017;2577;10.1136/medethics-2016-103684 ;BMJ ;Journal of Medical Ethics;;Mrz 17
Duisburg Essen U;2017;2092;10.3389/fenvs.2017.00011;Frontiers;Frontiers in environmental science / Freshwater Science;;Mrz 17
Duisburg Essen U;2017;687;10.4236/psych.2017.85048;Scientific Research;Psychology;;Mrz 17
Duisburg Essen U;2017;1520;10.1136/bmjopen-2016-012794;BMJ ;BMJ Open;;Mrz 17
Duisburg Essen U;2017;1880;10.1111/jcmm.13105;Wiley;Journal of Cellular and Molecular Medicine;;Apr 17
Duisburg Essen U;2017;2015;10.1186/s12977-017-0352-7;BMC;Retrovirology;;Apr 17
Duisburg Essen U;2017;1136;10.12659/AOT.902595;International Scientific Information;Annals of Transplantation;;Apr 17
Duisburg Essen U;2017;2149;10.1155/2017/5383574;Hindawi;BioMed Research International;;Mai 17
Duisburg Essen U;2017;2142;10.1186/s12882-017-0580-z;BMC;BMC Nephrology;;Mai 17
Duisburg Essen U;2017;1553;10.1038/s41598-017-03402-8;Springer Nature;Scientific Reports;;Jun 17
Duisburg Essen U;2017;1586;10.1371/journal.pone.0178260;Public Library of Science;PLOS One;;Jun 17
Duisburg Essen U;2017;1646;10.1371/journal.pone.0177570;Public Library of Science;PLOS One;;Jun 17
Duisburg Essen U;2017;2800;10.1136/gutjnl-2017-313856;BMJ ;Gut;;Jun 17
Duisburg Essen U;2017;1242;10.3390/ijms18061266;MDPI;International Journal of Molecular Sciences;;Jun 17
Duisburg Essen U;2017;1329;10.1371/journal.pone.0181488;Public Library of Science;PLOS One;;Jul 17
Duisburg Essen U;2017;2447;10.2196/mhealth.8231;JMIR Publications;JMIR mHealth and uHealth;;Jul 17
Duisburg Essen U;2017;1821;10.1002/ece3.3192;Wiley;Ecology and Evolution;;Jul 17
Duisburg Essen U;2017;688;10.1039/C7RA04594H;Royal Society of Chemistry (RSC);RSC Advances;;Aug 17
Duisburg Essen U;2017;1969;10.3389/fpubh.2017.00210;Frontiers;Frontiers in Public Health ;;Aug 17
Duisburg Essen U;2017;1260;10.1186/s12983-017-0229-6;BioMed Central;Frontiers in Zoology;;Sep 17
Duisburg Essen U;2017;1260;10.1371/journal.pone.0185243;Public Library of Science;PLOS One;;Sep 17
Duisburg Essen U;2017;2942;10.2196/jmir.8743;JMIR Publications;Journal of Medical Internet Research;;Sep 17
Duisburg Essen U;2017;1305;10.1038/s41598-017-13333-z;Springer Nature;Scientific Reports;;Okt 17
Duisburg Essen U;2017;1867;10.1097/TXD.0000000000000738;LWW;Transplantation Direct;;Okt 17
Duisburg Essen U;2017;1283;10.1371/journal.pone.0186694;Public Library of Science;PLOS One;;Okt 17
Duisburg Essen U;2017;2106;10.3389/fimmu.2017.01333;Frontiers;Frontiers in Immunology;;Okt 17
Duisburg Essen U;2017;1556;10.3390/ijms18112338;MDPI;International Journal of Molecular Sciences;;Nov 17
Duisburg Essen U;2017;2654;10.1186/s13054-017-1888-6;BMC;Critical Care;;Dez 17
