"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"Duisburg-Essen U",2024,4760,"10.12907/978-3-593-45434-6",FALSE,"Campus Verlag","Hackathons","978-3-593-45434-4",NA,"978-3-593-45434-4","https://creativecommons.org/licenses/by/4.0/legalcode",TRUE,FALSE
"Duisburg-Essen U",2024,4500,"10.14361/9783839471067",FALSE,"transcript Verlag","Weltoffenheit, Toleranz und Gemeinsinn","978-3-8376-7106-3","978-3-8376-7106-3","978-3-8394-7106-7","http://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"Duisburg-Essen U",2024,3451,"10.14361/9783839471265",FALSE,"transcript Verlag","Ambiguität und Geschlecht in der Neuzeit","978-3-8376-7126-1","978-3-8376-7126-1","978-3-8394-7126-5","https://creativecommons.org/licenses/by-sa/4.0/",TRUE,TRUE
"Duisburg-Essen U",2024,4140,"10.14631/978-3-96317-969-3",FALSE,"Büchner-Verlag","Zwischen Weltrettung und Marktfähigkeit","978-3-96317-969-3",NA,"978-3-96317-969-3","https://creativecommons.org/licenses/by/4.0/",TRUE,FALSE
"Duisburg-Essen U",2024,4498.2,"10.25656/01:30094",FALSE,"Lebenshilfe-Verlag","MEIN.Profil - was ich kann!","978-3-88617-703-5",NA,NA,NA,FALSE,FALSE
"Duisburg-Essen U",2024,900,"10.30819/5855",FALSE,"Logos Verlag Berlin","Data Science and Reliable Machine Learning","978-3-8325-5855-0","978-3-8325-5855-0",NA,"https://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,FALSE
"Duisburg-Essen U",2024,3570,"10.31244/9783830998617",FALSE,"Waxmann Verlag","Lehrkräfteprofessionalisierung für die Vielfalt der Metropolregion Rhein-Ruhr","978-3-8309-4861-2","978-3-8309-4861-2",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,FALSE
"Duisburg-Essen U",2024,4500,"10.4324/9781003478935",FALSE,"Routledge","Understanding Public Debates","978-1-003-47893-5",NA,"978-1-003-47893-5","http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,TRUE
"Duisburg-Essen U",2024,4350.37,"10.56715/398634171",FALSE,"Verlag Westfälisches Dampfboot","Arbeit am Wohnen","978-3-89691-130-8","978-3-89691-130-8",NA,NA,TRUE,FALSE
"Duisburg-Essen U",2024,3999.99,"10.5771/9783495997871",FALSE,"Verlag Karl Alber","Ökonomie als Gesellschaftstheorie","978-3-495-99787-1","978-3-495-99787-1",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,FALSE
