Institution;Period;Euro;is_hybrid;doi;Publisher;Journal;issn.1;Date
Duisburg Essen U;2016;1165;FALSE;10.1038/srep13661;npg;Scientific Reports;;Jan 16
Duisburg Essen U;2016;2618;TRUE;10.1007/s00146-015-0629-0;Springer;AI & Society;;Jan 16
Duisburg Essen U;2016;1580;FALSE;10.1186/s12942-015-0031-7;Biomed Central;International Journal of Health Geographics;;Jan 16
Duisburg Essen U;2016;1276;FALSE;10.1371/journal.pone.0146409;PLoSOne;Public Library of Science;;Jan 16
Duisburg Essen U;2016;1220;FALSE;10.1371/journal.pone.0149528;PLOS;PLOSOne;;Feb 16
Duisburg Essen U;2016;1785;FALSE;10.3389/fpsyg.2016.00368;Frontiers;Frontiers in Psychology: Personality and Social Psychology ;;Mrz 16
Duisburg Essen U;2016;1634;FALSE;10.1371/journal.pone.0151431;PLoSOne;Public Library of Science;;Mrz 16
Duisburg Essen U;2016;1365;FALSE;10.1371/journal.pone.0150112;PLoSOne;Public Library of Science;;Mrz 16
Duisburg Essen U;2016;1398;FALSE;10.1038/srep23352;npg;Scientific Reports;;Mrz 16
Duisburg Essen U;2016;1995;FALSE;10.1186/s40814-016-0057-z;Biomed Central;Pilot and Feasibility Studies;;Mrz 16
Duisburg Essen U;2016;544;FALSE;10.1155/2016/2032071;Hindawi ;International Journal of Palliative Care;;Mrz 16
Duisburg Essen U;2016;412;FALSE;10.3389/fpsyg.2016.00488;Frontiers;Frontiers in Psychology;;Mrz 16
Duisburg Essen U;2016;640;FALSE;10.1186/s13639-016-0029-7;Biomed Central;EURASIP Journal on Embedded Systems;;Apr 16
Duisburg Essen U;2016;3700;FALSE;10.1038/ncomms11381;npg;Nature communications;;Apr 16
Duisburg Essen U;2016;1170;FALSE;10.1088/1367-2630/18/4/043004;Iop Publishing;New Journal of physics;;Apr 16
Duisburg Essen U;2016;1327;FALSE;10.1371/journal.pone.0152961;PLOS;PLOSOne;;Apr 16
Duisburg Essen U;2016;400;FALSE;http://nbn-resolving.de/urn:nbn:de:101:1-201605302957 ;sub/urban e. V. ;sub/urban- Zeitschrift für kritische Stadtforschung;;Mai 16
Duisburg Essen U;2016;940;FALSE;10.1186/s40064-016-2201-x;Springer;SpringerPlus;;Mai 16
Duisburg Essen U;2016;1800;FALSE;10.1186/s13071-016-1576-4;Biomed Central;Parasites & Vectors;;Mai 16
Duisburg Essen U;2016;819;FALSE;10.3389/fimmu.2016.00173;Frontiers;Frontiers in Immunology;;Mai 16
Duisburg Essen U;2016;1364;FALSE;10.1161/JAHA.116.003393;Wiley;J AM Heart Assoc;;Mai 16
Duisburg Essen U;2016;1800;FALSE;10.1186/s12891-016-1044-5;Biomed Central;BMC Musculoskelet Disord.;;Mai 16
Duisburg Essen U;2016;1325;FALSE;10.1371/journal.pone.0155591;PLOS;PLOSOne;;Mai 16
Duisburg Essen U;2016;2325;FALSE;10.1186/s12915-016-0274-1;Biomed Central;BMC Biology;;Jun 16
Duisburg Essen U;2016;2618;TRUE;10.1007/s12665-016-5787-y;Springer Nature;Environmental Earth Sciences;;Jun 16
Duisburg Essen U;2016;1818;FALSE;10.1155/2016/5614086;Hindawi;BioMed Research International;;Jun 16
Duisburg Essen U;2016;924;FALSE;10.4172/2161-0932.1000387;;Gynecology & Obstetrics;;Jun 16
