institution;period;euro;doi;backlist_oa;book_title
Universität Siegen;2022;2975;10.31244/9783830995869;false;Beats. Bauen. Lernen.
Universität Siegen;2022;1960;10.35468/5926;false;Doing Lernbegleitung
