institution;period;euro;doi;is_hybrid;publisher;journal_full_title;issn;url
Empa - Swiss Federal Laboratories for Materials Science and Technology;2016;1836;10.5194/acp-16-3683-2016;FALSE;;;;
Empa - Swiss Federal Laboratories for Materials Science and Technology;2016;1801.16;10.3390/s16030326;FALSE;;;;
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2016;1299.24;10.1002/ecs2.1319;FALSE;;;;
Empa - Swiss Federal Laboratories for Materials Science and Technology;2016;1387.03;10.3390/polym8030075;FALSE;;;;
Empa - Swiss Federal Laboratories for Materials Science and Technology;2016;1478.45;10.1155/2016/4910536;FALSE;;;;
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2016;1829.99;10.1186/s12862-016-0643-y;FALSE;;;;
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2016;756;10.3391/ai.2016.11.3.05;FALSE;;;;
Empa - Swiss Federal Laboratories for Materials Science and Technology;2016;891.66;10.3390/polym8040124;FALSE;;;;
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2016;1829.99;10.1186/s12898-016-0079-7;FALSE;;;;
Empa - Swiss Federal Laboratories for Materials Science and Technology;2016;3996;10.1038/ncomms11507;FALSE;;;;
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2016;2195.72;10.1371/journal.pcbi.1004978;FALSE;;;;
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2016;1321.92;10.1002/ece3.2239;FALSE;;;;
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2016;3996;10.1038/ncomms12544;FALSE;;;;
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2016;3996;10.1038/ncomms11587;FALSE;;;;
Empa - Swiss Federal Laboratories for Materials Science and Technology;2016;2041.2;10.5194/amt-9-4737-2016;FALSE;;;;
Empa - Swiss Federal Laboratories for Materials Science and Technology;2016;2160;10.14573/altex.1605021;FALSE;;;;
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2016;1941.84;10.1111/eva.12446;FALSE;;;;
Empa - Swiss Federal Laboratories for Materials Science and Technology;2016;1387.03;10.3390/polym8120446;FALSE;;;;
Empa - Swiss Federal Laboratories for Materials Science and Technology;2016;1258.2;10.1038/srep40761;FALSE;;;;
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2016;1829.99;10.1186/s12862-016-0811-0;FALSE;;;;
Empa - Swiss Federal Laboratories for Materials Science and Technology;2016;1188.88;10.3390/rs8121017;FALSE;;;;
