"Institution","PubMed Central (PMC) ID","PubMed ID","DOI","Publisher","Journal","ISSN","is_hybrid","period","euro","Licence"
"Aston University","","","10.1016/j.jbusvent.2015.09.001","Elsevier","Journal of Business Venturing","0883-9026",TRUE,"2016","1375.66","CC BY-NC-ND"
"Cardiff University","","","10.1128/aem.03010-15","American Society for Microbiology","Applied and Environmental Microbiology","0099-2240",TRUE,"2016","2307.64","CC BY"
"Cardiff University","","","10.1016/j.apenergy.2015.12.005","Elsevier","Applied Energy","0306-2619",TRUE,"2016","3318.87","CC BY"
"Cardiff University","","","10.1016/j.apenergy.2015.12.022","Elsevier","Applied Energy","0306-2619",TRUE,"2016","3318.87","CC BY"
"Cardiff University","","","10.1002/chem.201504636","Wiley-Blackwell","Chemistry - A European Journal","0947-6539",TRUE,"2016","2753.78","None"
"Plymouth University","","26660067","10.1111/ejn.13145","Wiley-Blackwell","European Journal of Neuroscience","1460-9568",TRUE,"2016","1835.85","CC BY"
"Swansea University","","","10.1016/j.msea.2015.12.042","Elsevier","Materials Science and Engineering A: Structural Materials: Properties, Microstructures and Processing","0921-5093",TRUE,"2016","2777.45","CC BY"
"University of Glasgow","PMC4551283","26214018","10.1021/acs.accounts.5b00150","American Chemical Society","Accounts of Chemical Research","0001-4842","","2016","3788.91","CC BY"
"University of Glasgow","","","10.1021/acs.chemmater.5b03642","American Chemical Society","Chemistry of Materials","0897-4756","","2016","3806.84",""
"University of Glasgow","","26252745","10.1021/acs.nanolett.5b01953","American Chemical Society","Nano Letters","1530-6984","","2016","3763.92","CC BY"
"University of Glasgow","","26394175","10.1021/acs.orglett.5b02345","American Chemical Society","Organic Letters","1523-7060","","2016","3206.24",""
"University of Glasgow","","","10.1021/acsami.5b04465","American Chemical Society","ACS Applied Materials & Interfaces","1944-8244","","2016","3877.45","CC BY"
"University of Glasgow","","26175317","10.1021/jacs.5b05434","American Chemical Society","Journal of the American Chemical Society","0002-7863","","2016","3762.46","CC BY"
"University of Glasgow","","26477432","10.1021/jacs.5b08139","American Chemical Society","Journal of the American Chemical Society","0002-7863","","2016","3803.64","CC BY"
"University of Glasgow","","","10.1103/physrevb.91.224426","American Physical Society","Physical Review B","1098-0121","","2016","1598.93","CC BY"
"University of Glasgow","","26518871","10.1074/jbc.m115.687939","American Society for Biochemistry and Molecular Biology","Journal of Biological Chemistry","0021-9258","","2016","1895.93",""
"University of Glasgow","","","10.1136/bmjopen-2015-007925","BMJ","BMJ Open","2044-6055",FALSE,"2016","1404.43","CC BY-NC"
"University of Glasgow","","26196493","10.1016/j.cub.2015.05.052","Cell Press","Current Biology","0960-9822","","2016","3835.60","CC BY"
"University of Glasgow","","26320948","10.1016/j.cub.2015.07.070","Cell Press","Current Biology","0960-9822","","2016","4623.61","CC BY"
