institution;period;euro;doi;backlist_oa;book_title;isbn
University of Ferrara;2023;4.026,00;NA;FALSE;Anziani e diritto all’abitare. Bisogni, diritti e prospettive tra locale e universale;9,78884E+12
University of Ferrara;2023;1.066,00;NA;FALSE;Libri e lettori al tempo di Dante : la Biblioteca di Santa Croce in Firenze;9,78889E+12
