institution;period;euro;doi;is_hybrid;publisher;journal_full_title;issn/isbn;issn_print;issn_electronic;url;;;
"ENGEES - Ecole nationale du Génie de l&apos;Eau et de l&apos;Environnement de Strasbourg";2023;1.749;10.1371/journal.pone.0281096;FALSE;;;;;;;;;
"ENGEES - Ecole nationale du Génie de l&apos;Eau et de l&apos;Environnement de Strasbourg";2023;1.200;10.3391/ai.2023.18.2.105436;FALSE;;;;;;;;;
