"institution,""period"",""euro"",""doi"",""is_hybrid"",""opt_out"""
"Technische Hochschule Brandenburg,2022,""6086.98"",""10.1365/s35764-022-00393-8"",""TRUE"",""FALSE"""
"Technische Hochschule Brandenburg,2020,""5696.18"",""10.1365/s40702-020-00625-8"",""TRUE"",""FALSE"""
