Institution,Period,EURO,DOI
FZJ - ZB,2015,"1350,00",10.1371/JOURNAL.PONE.0117205
FZJ - ZB,2015,"1348,99",10.3390/molecules20010470
FZJ - ZB,2015,"1554,00",10.1111/1751-7915.12236
FZJ - ZB,2015,"1554,00",10.1111/1751-7915.12237
FZJ - ZB,2015,"798,02",10.1016/j.nme.2014.11.002
FZJ - ZB,2015,"1141,80",10.1371/journal.pone.0112873
FZJ - ZB,2015,"499,60",10.3390/rs70100725
FZJ - ZB,2015,"1080,00",10.1088/1367-2630/16/11/115005
FZJ - ZB,2015,"960,00",10.3389/fnint.2015.00003
FZJ - ZB,2015,"960,00",10.3389/fnsys.2015.00049
FZJ - ZB,2015,"2784,00",10.1111/j.1751-7915.2011.00310.x
FZJ - ZB,2015,"1304,06",10.3389/fnana.2015.00054
FZJ - ZB,2015,"1600,00",10.3389/fpsyg.2015.00441
FZJ - ZB,2015,"912,00",10.5194/acpd-15-7895-2015
FZJ - ZB,2015,"1152,00",10.5194/acpd-15-7735-2015
FZJ - ZB,2015,"812,00",10.5194/acpd-15-7239-2015
FZJ - ZB,2015,"1056,00",10.5194/acpd-15-4383-2015
FZJ - ZB,2015,"1464,00",10.5194/acpd-15-2791-2015
FZJ - ZB,2015,"1350,00",10.1371/journal.pone.0123790
FZJ - ZB,2015,"1350,00",10.1371/journal.pone.0126833
FZJ - ZB,2015,"1350,00",10.1371/journal.pone.0128390
FZJ - ZB,2015,"1350,00",10.1371/journal.pone.0127865
FZJ - ZB,2015,"1350,00",10.1371/journal.pone.0128553
