"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"FZJ - ZB",2015,3700,"10.1038/ncomms9610",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723",NA,TRUE,"26477940","PMC4634325",NA,NA,TRUE
"FZJ - ZB",2015,1277.28,"10.3389/fmolb.2015.00055",FALSE,"Frontiers Media SA","Frontiers in Molecular Biosciences","2296-889X",NA,"2296-889X",NA,TRUE,"26484348","PMC4589677",NA,NA,TRUE
"FZJ - ZB",2015,1277.28,"10.3389/fnana.2015.00118",FALSE,"Frontiers Media SA","Frontiers in Neuroanatomy","1662-5129",NA,"1662-5129",NA,TRUE,"26388744","PMC4558534",NA,NA,TRUE
"FZJ - ZB",2015,1702.91,"10.3389/fninf.2015.00022",FALSE,"Frontiers Media SA","Frontiers in Neuroinformatics","1662-5196",NA,"1662-5196",NA,TRUE,"26441628","PMC4563270",NA,NA,TRUE
"FZJ - ZB",2015,1747.9,"10.3389/fenrg.2015.00055",FALSE,"Frontiers Media SA","Frontiers in Energy Research","2296-598X",NA,"2296-598X",NA,TRUE,NA,NA,NA,NA,TRUE
"FZJ - ZB",2015,1310.92,"10.3389/fneur.2015.00215",FALSE,"Frontiers Media SA","Frontiers in Neurology","1664-2295",NA,"1664-2295",NA,TRUE,"26500606","PMC4598579",NA,NA,TRUE
"FZJ - ZB",2015,2250,"10.1371/journal.pcbi.1004490",FALSE,"Public Library of Science (PLoS)","PLOS Computational Biology","1553-7358",NA,"1553-7358","http://creativecommons.org/licenses/by/4.0/",TRUE,"26325661","PMC4556689",NA,NA,TRUE
"FZJ - ZB",2015,1208.78,"10.1371/journal.pone.0139710",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26436664","PMC4593648",NA,NA,TRUE
"FZJ - ZB",2015,1165,"10.1038/srep15382",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,TRUE,"26502825","PMC4621517",NA,NA,TRUE
"FZJ - ZB",2015,1165,"10.1038/srep15808",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,TRUE,"26510463","PMC4625158",NA,NA,TRUE
"FZJ - ZB",2015,1450,"10.5194/gmdd-8-7395-2015",FALSE,"Copernicus GmbH","Geoscientific Model Development Discussions","1991-962X",NA,"1991-962X","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
