Bibliothek,Jahr,Rechnungssumme,DOI,is_hybrid,Journal title,Publisher,ISSN,URL
FZJ-ZB,2017,"936,00",10.5194/acp-16-5793-2016,FALSE,Atmospheric Chemistry and Physics,Copernicus,,
FZJ-ZB,2017,"1.585,96",10.3389/fnana.2016.00091,FALSE,Frontiers in Neuroanatomy,Frontiers,,
FZJ-ZB,2017,"1.766,68",10.3389/fpls.2016.01935,FALSE,Frontiers in Plant Science,Frontiers,,
FZJ-ZB,2017,"1.585,96",10.3389/fenrg.2017.00001,FALSE,Frontiers in Energy Research,Frontiers,,
FZJ-ZB,2017,"1.678,00",10.1111/1751-7915.12708,FALSE,Microbial Biotechnology,Wiley,,
FZJ-ZB,2017,"1.786,46",10.3389/fnhum.2017.00171,FALSE,Frontiers in Human Neuroscience,Frontiers,,
FZJ-ZB,2017,"1.165,00",10.1038/ncomms13358,FALSE,Nature Communications,Nature Publishing Group,,
FZJ-ZB,2017,"2.025,00",10.1088/0029-5515/57/1/016020,TRUE,Nuclear Fusion,Institute of Physics (IOP),,
FZJ-ZB,2017,"3.548,77",10.1175/AMSMONOGRAPHS-D-16-0010.1,FALSE,AMS Meteorological Monographs,American Meteorological Society,,
FZJ-ZB,2017,"1.989,75",10.3389/fninf.2017.00034,FALSE,Frontiers in Neuroinformatics,Frontiers,,
FZJ-ZB,2017,"2.108,46",10.1371/journal.pcbi.1005179,FALSE,PLoS Computational Biology,Public Library of Science (PLoS),,
FZJ-ZB,2017,"1.560,00",10.1088/1367-2630/aa529d,FALSE,New Journal of Chemistry,Institute of Physics (IOP),,
FZJ-ZB,2017,"1.165,00",10.1038/srep41078,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"1.352,94",10.1016/j.nicl.2016.12.020,FALSE,NeuroImage: Clinical,Elsevier,,
FZJ-ZB,2017,"1.691,29",10.3389/fncom.2017.00041,FALSE,Frontiers in Computational Neuroscience,Frontiers,,
FZJ-ZB,2017,"1.786,46",10.3389/fninf.2017.00030,FALSE,Frontiers in Neuroinformatics,Frontiers,,
FZJ-ZB,2017,"450,98",10.1016/j.dib.2016.12.037,FALSE,Data in Brief,Elsevier,,
FZJ-ZB,2017,"2.618,00",10.1007/s00216-016-0174-9,TRUE,Analytical and Bioanalytical Chemistry,Springer,,
FZJ-ZB,2017,"190,33",10.2134/jeq2016.07.0276,TRUE,Journal of Environmental Quality,American Society of Agronomy,,
FZJ-ZB,2017,"469,75",10.1002/2016GL072007,TRUE,Geophysical Research Letters,Wiley,,
FZJ-ZB,2017,"631,37",10.1016/j.nme.2016.12.031,FALSE,Nuclear Materials and Energy,Elsevier,,
FZJ-ZB,2017,"1.766,68",10.3389/fpls.2016.02008,FALSE,Frontiers in Plant Science,Frontiers,,
FZJ-ZB,2017,"1.454,56",10.1364/OPTICA.4.000185,FALSE,Optica,Optical Society of America (OSA),,
FZJ-ZB,2017,"2.069,61",10.1063/1.4972538,TRUE,Physics of Plasmas,AIP Publishing LLC,,
FZJ-ZB,2017,"2.142,00",10.5194/acp-16-15301-2016,FALSE,Atmospheric Chemistry and Physics,Copernicus,,
FZJ-ZB,2017,"1.109,39",10.3390/e19010033,FALSE,Entropy,MDPI,,
FZJ-ZB,2017,"1.388,58",10.3390/s17010208,FALSE,Sensors,MDPI,,
FZJ-ZB,2017,"1.305,00",10.1038/srep42971,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"1.268,60",10.3390/rs9020103,FALSE,Remote Sensing,MDPI,,
FZJ-ZB,2017,"40,00",10.1051/epjconf/201612700013,FALSE,The European physical journal - 	Web of Conferences,EDP Sciences,,
FZJ-ZB,2017,"904,00",10.14814/phy2.13154,FALSE,Physiological Reports,Wiley,,
FZJ-ZB,2017,"790,00",10.1080/23746149.2017.1282834,FALSE,Advances in Physics: X,Taylor & Francis,,
FZJ-ZB,2017,"2.699,43",10.1103/PhysRevLett.118.087202,TRUE,Physical Review Letters,American Physical Society (APS),,
FZJ-ZB,2017,"1.755,00",10.1088/1741-4326/aa69dd,TRUE,Nuclear Fusion,Institute of Physics (IOP),,
FZJ-ZB,2017,"1.170,00",10.1088/1367-2630/aa59e8,FALSE,New Journal of Physics,Institute of Physics (IOP),,
