"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"FZJ - ZB",2015,798.02,"10.1016/j.nme.2014.11.002",FALSE,"Elsevier BV","Nuclear Materials and Energy","23521791","23521791",NA,"http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,NA,NA,NA,NA,FALSE
"FZJ - ZB",2015,1080,"10.1088/1367-2630/16/11/115005",FALSE,"IOP Publishing","New Journal of Physics","1367-2630",NA,"1367-2630",NA,TRUE,NA,NA,"ut:000346714200001",NA,TRUE
"FZJ - ZB",2015,1554,"10.1111/1751-7915.12236",FALSE,"Wiley-Blackwell","Microbial Biotechnology","17517915",NA,NA,"http://doi.wiley.com/10.1002/tdm_license_1",TRUE,"25488698","PMC4353339","ut:000350345300006",NA,FALSE
"FZJ - ZB",2015,1554,"10.1111/1751-7915.12237",FALSE,"Wiley-Blackwell","Microbial Biotechnology","17517915",NA,NA,"http://doi.wiley.com/10.1002/tdm_license_1",TRUE,"25488800","PMC4353348","ut:000350345300015",NA,FALSE
"FZJ - ZB",2015,2784,"10.1111/j.1751-7915.2011.00310.x",FALSE,"Wiley-Blackwell","Microbial Biotechnology","17517915",NA,NA,"http://doi.wiley.com/10.1002/tdm_license_1",TRUE,"22018023","PMC3815278","ut:000298098300012",NA,FALSE
"FZJ - ZB",2015,1141.8,"10.1371/journal.pone.0112873",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"25479443","PMC4257550","ut:000346907200012",NA,TRUE
"FZJ - ZB",2015,1350,"10.1371/journal.pone.0117205",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"25714553","PMC4340932","ut:000350168700030",NA,TRUE
"FZJ - ZB",2015,1350,"10.1371/journal.pone.0123790",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"25909987","PMC4409291","ut:000353376800045",NA,TRUE
"FZJ - ZB",2015,1350,"10.1371/journal.pone.0126833",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"25992797","PMC4439127","ut:000354921400079",NA,TRUE
"FZJ - ZB",2015,1350,"10.1371/journal.pone.0127865",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26024352","PMC4449029","ut:000355319400055",NA,TRUE
"FZJ - ZB",2015,1350,"10.1371/journal.pone.0128390",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26046789","PMC4457421","ut:000355652200066",NA,TRUE
"FZJ - ZB",2015,1350,"10.1371/journal.pone.0128553",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26046986","PMC4457900","ut:000355652200078",NA,TRUE
"FZJ - ZB",2015,1304.06,"10.3389/fnana.2015.00054",FALSE,"Frontiers Media SA","Frontiers in Neuroanatomy","1662-5129",NA,"1662-5129",NA,TRUE,"26029057","PMC4429588","ut:000356820000001",NA,TRUE
