institution;period (year);euro;doi;backlist_oa;book_title
Charles University;2021;8563,32;10.1515/9783110698510;FALSE;Perspectives on the Self
Charles University;2021;11348,18;10.5040/9781839022760;FALSE;Screen Industries in East-Central Europe
Charles University;2021;2173,16;10.1007/978-3-030-78040-1_6;FALSE;Anthropological Perspectives on Environmental Communication
Charles University;2021;1968,03;10.5772/intechopen.98681;FALSE;Pelvic Floor Dysfunction - Symptoms, Causes, and Treatment   
Charles University;2021;738,32;10.1145/3487664.3487790;FALSE;iiWAS2021: The 23rd International Conference on Information Integration and Web Intelligence
