institution;period;euro;doi;backlist_oa;book_title;isbn
Charles University;2020;15442,72;10.1007/978-3-030-57562-5;FALSE;Cultural Convergence. The Dublin Gate Theatre, 1928–1960;9783030575625
Charles University;2020;10283,119;10.1163/9789004440791;FALSE;"""The Turk"" in the Czech Imagination (1870s-1923)";9789004440791
