institution,period (year),euro,doi,backlist_oa,book_title,isbn
Charles University,2022,12497.28,10.26530/20.500.12657/57705,FALSE,Central Europe and the Non-European World in the Long 19th Century,978-3-7329-9076-4
Charles University,2022,8483.85,10.1515/9783110753592,FALSE,Working at night: the temporal organisation of labour across political and economic regimes,978-3-11-075359-2
Charles University,2022,10258.33,,FALSE,Cultural Change in the Religious Landscape of Ancient Umbria between the 6th and the 1st Centuries BCE,978-90-04-54516-8
