institution;period; euro ;doi;backlist_oa;book_title
Albert-Ludwigs-Universit‰t Freiburg;2022; 8.330,00 Ä ;10.1007/978-3-658-38154-7;false;"
 Obstructions in Security-Aware Business Processes
"
Albert-Ludwigs-Universit‰t Freiburg;2022; 6.520,00 Ä ;10.5771/9783748909576 ;false;Die Aneignung von Bildern
Albert-Ludwigs-Universit‰t Freiburg;2022; 6.520,00 Ä ;10.5771/9783748909620 ;false;Reichweite und Rechtfertigung des einfachen Lichtbildschutzes gem. ß 72 UrhG
Albert-Ludwigs-Universit‰t Freiburg;2022; 6.520,00 Ä ;10.5771/9783748909699;false;Identit‰tsverwaltung in IKT-Systemen
Albert-Ludwigs-Universit‰t Freiburg;2022; 6.520,00 Ä ;10.5771/9783956507700;false;Reisetagebuch eines Ph‰nomenologen
Albert-Ludwigs-Universit‰t Freiburg;2022; 6.902,00 Ä ;10.5771/9783748923169;false;Legitimit‰t, Sicherheit, Autonomie
Albert-Ludwigs-Universit‰t Freiburg;2022; 6.902,00 Ä ;10.5771/9783748922650 ;false;Satire vor Gericht
Albert-Ludwigs-Universit‰t Freiburg;2022; 6.902,00 Ä ;10.5771/9783748921134 ;false;East meets West
Albert-Ludwigs-Universit‰t Freiburg;2022; 6.902,00 Ä ;10.5771/9783748924227 ;false;Resilience Engineering
Albert-Ludwigs-Universit‰t Freiburg;2022; 6.902,00 Ä ;10.5771/9783748925163 ;false;Strafrecht gegen Korruption im Sport
Albert-Ludwigs-Universit‰t Freiburg;2022; 6.902,00 Ä ;10.5771/9783748924821 ;false;Scrip Dividends
Albert-Ludwigs-Universit‰t Freiburg;2022; 6.902,00 Ä ;10.5771/9783748926894 ;false;Recht- und zweckm‰ﬂiges Handeln des Gesch‰ftsleiters bei der Abschlusserstellung
Albert-Ludwigs-Universit‰t Freiburg;2022; 6.902,00 Ä ;10.5771/9783748927693;false;Der Schutz personenbezogener Daten im Strafverfahren
Albert-Ludwigs-Universit‰t Freiburg;2022; 6.902,00 Ä ;10.5771/9783968218106 ;false;Franz Liszt under the Light of Progress
Albert-Ludwigs-Universit‰t Freiburg;2022; 6.902,00 Ä ;10.5771/9783748927716 ;false;Der stille Kommanditist in der Publikums-KG
Albert-Ludwigs-Universit‰t Freiburg;2022; 6.902,00 Ä ;10.5771/9783748927303 ;false;Gemeinsame Verantwortlichkeit unter der DSGVO
Albert-Ludwigs-Universit‰t Freiburg;2022; 6.902,00 Ä ;10.5771/9783748912453 ;false;Kreative Maschinen und Urheberrecht
Albert-Ludwigs-Universit‰t Freiburg;2022; 6.902,00 Ä ;10.5771/9783748912477 ;false;Die Kulanz in der Schadensversicherung
Albert-Ludwigs-Universit‰t Freiburg;2022; 6.902,00 Ä ;10.5771/9783748927112;false;Maﬂst‰be demokratischer Legitimation
Albert-Ludwigs-Universit‰t Freiburg;2022; 6.902,00 Ä ;10.5771/9783956508424 ;false;ÑIch habe nur eine Zeit, die Weltzeit.ì
