"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Freiburg U",2015,344.84,NA,FALSE,"African Journal of Food, Agriculture, Nutrition and Development","African Journal of Food, Agriculture, Nutrition and Development","1684-5374",NA,"1684-5374",NA,FALSE,NA,NA,NA,"http://www.ajol.info/index.php/ajfand/article/view/124804",FALSE
"Freiburg U",2015,1466.33,"10.1371/journal.pone.0136180",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26352137","PMC4564143",NA,NA,TRUE
"Freiburg U",2015,1454.78,"10.1371/journal.pone.0140101",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26439131","PMC4595133",NA,NA,TRUE
"Freiburg U",2015,1431.87,"10.1371/journal.pone.0138947",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26407178","PMC4583999",NA,NA,TRUE
"Freiburg U",2015,2012.54,"10.1364/OE.23.021264",FALSE,"Optical Society of America (OSA)","Optics Express","1094-4087",NA,"1094-4087",NA,TRUE,"26367975",NA,NA,NA,FALSE
"Freiburg U",2015,1386.35,"10.1038/srep15110",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,TRUE,"26461978","PMC4602198",NA,NA,TRUE
"Freiburg U",2015,1437.55,"10.1371/journal.pone.0140378",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26465598","PMC4605505",NA,NA,TRUE
"Freiburg U",2015,1437.55,"10.1371/journal.pone.0140116",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26448484","PMC4598083",NA,NA,TRUE
"Freiburg U",2015,1462.89,"10.1503/jpn.140290",FALSE,"Joule Inc.","Journal of Psychiatry & Neuroscience","11804882","11804882",NA,NA,FALSE,"26809225",NA,NA,NA,FALSE
"Freiburg U",2015,1524.4,"10.1088/1468-6996/16/1/015003",FALSE,"Informa UK Limited","Science and Technology of Advanced Materials","1468-6996","1468-6996","1878-5514",NA,TRUE,NA,NA,NA,NA,TRUE
"Freiburg U",2015,1386.35,"10.1038/srep14624",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,TRUE,"26416689","PMC4586757",NA,NA,TRUE
"Freiburg U",2015,250,"10.12854/erde-146-16",FALSE,"Gesellschaft für Erdkunde zu Berlin","DIE ERDE: Journal of the Geographical Society of Berlin","0013-9998","0013-9998",NA,NA,FALSE,NA,NA,NA,NA,TRUE
"Freiburg U",2015,250,"10.12854/erde-146-8",FALSE,"Gesellschaft für Erdkunde zu Berlin","DIE ERDE: Journal of the Geographical Society of Berlin","0013-9998","0013-9998",NA,NA,FALSE,NA,NA,NA,NA,TRUE
"Freiburg U",2015,1502.24,"10.1371/journal.pone.0144264",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"26656955","PMC4681481",NA,NA,TRUE
"Freiburg U",2015,1542.57,"10.1371/journal.pone.0143887",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"26624894","PMC4666627",NA,NA,TRUE
"Freiburg U",2015,988.19,"10.3390/f6114245",FALSE,"MDPI AG","Forests","1999-4907",NA,"1999-4907",NA,TRUE,NA,NA,NA,NA,TRUE
"Freiburg U",2015,916.71,"10.1364/OME.6.000264",FALSE,"Optical Society of America (OSA)","Optical Materials Express","2159-3930",NA,"2159-3930",NA,TRUE,NA,NA,NA,NA,FALSE
"Freiburg U",2015,1386.35,"10.1038/srep17729",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,TRUE,"26631608","PMC4668554",NA,NA,TRUE
"Freiburg U",2015,1386.35,"10.1038/srep18145",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,TRUE,"26674854","PMC4682190",NA,NA,TRUE
"Freiburg U",2015,1926.82,"10.1097/MD.0000000000002325",FALSE,"Ovid Technologies (Wolters Kluwer Health)","Medicine","0025-7974","0025-7974",NA,NA,TRUE,"26705223","PMC4697989",NA,NA,TRUE
"Freiburg U",2015,1356.5,"10.5751/ES-07739-200313",FALSE,"Resilience Alliance, Inc.","Ecology and Society","1708-3087","1708-3087",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"Freiburg U",2015,1442.36,"10.1371/journal.pone.0136750",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26335924","PMC4559393",NA,NA,TRUE
"Freiburg U",2015,2380,"10.3389/fnins.2015.00043",FALSE,"Frontiers Media SA","Frontiers in Neuroscience","1662-453X",NA,"1662-453X",NA,TRUE,"25750612","PMC4335185",NA,NA,TRUE
"Freiburg U",2015,916.88,"10.3390/f6041274",FALSE,"MDPI AG","Forests","1999-4907",NA,"1999-4907",NA,TRUE,NA,NA,NA,NA,TRUE
"Freiburg U",2015,1421.81,"10.1371/journal.pone.0128400",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26053055","PMC4459704",NA,NA,TRUE
