institution,period,euro,doi,backlist_oa,publisher,book_title,isbn_1,isbn_2,isbn_3
lu,2023-04-01T00:00:00Z, 8486.19,10.1007/978-3-031-31479-7,FALSE,SpringerNature,Empty innovation,9783031314797,,
lu,2023-06-01T00:00:00Z, 4942.04,10.1007/978-3-031-33122-0,FALSE,SpringerNature,Nordic Perspectives on the Discourse of Things,,,
lu,2023-06-01T00:00:00Z,16033.79,10.1007/978-3-031-33246-3,FALSE,SpringerNature,The Future of Consumption / Bäckström et. al.,9783031332463,,
lu,2023-09-01T00:00:00Z, 7272.29,10.1007/978-3-031-36283-5,FALSE,SpringerNature,Music and the Cultural Production of Scale,9783031362835,,
lu,2023-08-01T00:00:00Z,13362.88,10.1007/978-3-031-40150-3,FALSE,SpringerNature,Civil Society Elites,9783031401503,,
lu,2023-11-01T00:00:00Z,16876.42,10.1007/978-3-031-46301-3,FALSE,SpringerNature,Children in Custody Disputes,9783031463013,,
lu,2023-11-01T00:00:00Z,16876.42,10.1007/978-3-031-46637-3,FALSE,SpringerNature,Transformations of European Welfare States and Social Rights,9783031466373,,
lu,2023-10-10T00:00:00Z,16346.38,10.1007/978-3-031-48799-6,FALSE,SpringerNature,Making Universities Matter,9783031487996,,
lu,2023-11-01T00:00:00Z,14592.13,10.1007/978-3-031-52334-2,FALSE,SpringerNature,"Conviviality in Burgaz: Living, Loving and Fighting on a Diverse Island of Istanbul",9783031523342,,
lu,2023-02-08T00:00:00Z,16940.76,10.1093/oso/9780192888044.001.0001,FALSE,Oxford University Press (OUP),Positive Obligations under the European Convention on Human Rights,9780191982156,,
lu,2023-03-01T00:00:00Z, 9979.92,10.1108/S1876-066X202337,FALSE,Emerald Publishing,Creating a Sustainable Competitive Position: Ethical Challenges for International Firms,9781804552490,,
lu,2023-01-16T00:00:00Z, 9818.43,10.1163/9789004540699,FALSE,Brill,Greek Inscriptions on the East Bank,9789004540699,,
lu,2023-10-11T00:00:00Z,16017.00,10.1201/9781032616681,FALSE,Taylor & Francis,Designing Sustainable Working Lives and Environments,9781032616681,,
lu,2023-04-01T00:00:00Z, 6290.49,10.3167/9781785331428,FALSE,Berghahn Books Inc,Sweden After Nazism,9781785331435,,
lu,2023-05-01T00:00:00Z, 1464.44,10.3726/978-3-653-03542-1,TRUE,Peter Lang Group AG,Chopin. The Preludes and Beyond,9783653035421,,
lu,2023-05-01T00:00:00Z, 1464.44,10.3726/978-3-653-05592-4,TRUE,Peter Lang Group AG,Questioning Schenkerism,9783653055924,,
lu,2023-05-18T00:00:00Z, 9102.30,10.3726/b21847,FALSE,Peter Lang Group AG,Nationalisation of the sacred,9781433197420,,
lu,2023-09-13T00:00:00Z,12077.08,10.4324/9781003121947,FALSE,Taylor & Francis,Targeting in International Law,9781003121947,,
lu,2023-04-01T00:00:00Z,11060.02,10.4324/9781003402688,FALSE,Taylor & Francis,"Creative Work: Conditions, Contexts and Practices",9781003402688,,
lu,2023-11-01T00:00:00Z, 5894.98,10.4324/9781032647463,FALSE,Taylor & Francis,what to do about conspiracy theories?,9781032647463,,
lu,2023-12-01T00:00:00Z,12587.99,10.7765/9789198740417,FALSE,The University of Manchester,Religious Enlightenment in the eighteenth-century Nordic countries,9789198740417,,
lu,2023-06-01T00:00:00Z,10922.76,,FALSE,Boydell and Brewer Inc,Rethinking the Public Fetus,9781648250712,,
lu,2023-12-01T00:00:00Z, 9138.53,,FALSE,Edinburgh University Press,The integrity of the Quran: Sunni and Shi‘i Historical Narratives,9781474462235,,
lu,2023-12-07T00:00:00Z,15946.08,,FALSE,SpringerNature,The Political Economy of Central Asian law: A Law and Society Analysis,9783031553417,,
lu,2023-02-01T00:00:00Z,13372.35,,FALSE,Rutgers The State University of NJ,Intoxication : An Ethnography of Effervescent Revelry,9781978831223,,
lu,2023-06-01T00:00:00Z,14336.12,,FALSE,Oxford University Press (OUP),Urban Lives,9780197761090,,
lu,2023-08-01T00:00:00Z,13713.32,,FALSE,The University of Oxford,Waste as a Critique,9780198907077,,
lu,2023-08-01T00:00:00Z,11697.70,,FALSE,Taylor & Francis,Vaccine Hesitancy in the Nordic Countries: Trust and Distrust During the COVID-19 Pandemic,9781032305998,,
lu,2023-09-01T00:00:00Z,12406.92,,FALSE,Taylor & Francis,Media Tactics in the Long Twentieth century,9781032618326,,
lu,2023-12-18T00:00:00Z, 5226.00,,FALSE,Utrikespolitiska Institutet,Peace and the Politics of Memory,9781526178336,,
