institution,period,euro,DOI,is_hybrid,opt_out,agreement
Hochschule Hannover,2025,NA,10.3168/jds.2024-25850,TRUE,FALSE,els2023deal
Hochschule Hannover,2025,NA,10.1016/j.idairyj.2025.106520,TRUE,FALSE,els2023deal
