institution,	period,	euro,	doi,	is_hybrid
TU Bergakademie Freiberg,	2023,	1904,	10.1002/open.202300019,	FALSE
TU Bergakademie Freiberg,	2023,	595,	10.1515/ncrs-2023-0004,	FALSE
TU Bergakademie Freiberg,	2023,	1394.54,	10.3389/frevc.2022.1106186,	FALSE
TU Bergakademie Freiberg,	2023,	336.6,	10.1107/S2414314623001177,	FALSE
TU Bergakademie Freiberg,	2023,	1546.83,	10.3390/bios13020262,	FALSE
TU Bergakademie Freiberg,	2023,	328.31,	10.1107/S2414314623003322,	FALSE
TU Bergakademie Freiberg,	2023,	551.95,	10.1107/S2056989023002141,	FALSE
TU Bergakademie Freiberg,	2023,	833,	10.1515/mgmc-2023-0001,	FALSE
TU Bergakademie Freiberg,	2023,	714,	10.1515/NCRS-2023-0109,	FALSE
TU Bergakademie Freiberg,	2023,	325.7,	10.1107/S2414314623003061,	FALSE
TU Bergakademie Freiberg,	2023,	1832.6,	https://doi.org/10.1016/j.jcpx.2023.100126,	FALSE
TU Bergakademie Freiberg,	2023,	1766.66,	10.3389/fnuen.2023.1188789,	FALSE
TU Bergakademie Freiberg,	2023,	1745.66,	https://doi.org/10.3390/jmmp7030097,	FALSE
TU Bergakademie Freiberg,	2023,	1999.2,	10.1002/celc.202300217,	FALSE
TU Bergakademie Freiberg,	2023,	2332.4,	10.1029/2023GL104580,	FALSE
TU Bergakademie Freiberg,	2023,	690.59,	10.1515/mgmc-2022-8044,	FALSE
TU Bergakademie Freiberg,	2023,	0,	10.1002/celc.202300385,	FALSE
TU Bergakademie Freiberg,	2023,	821.1,	10.1016/j.softx.2023.101486,	FALSE
TU Bergakademie Freiberg,	2023,	1904,	10.1002/open.202300075,	FALSE
TU Bergakademie Freiberg,	2023,	333.15,	10.1107/S2414314623007435,	FALSE
TU Bergakademie Freiberg,	2023,	1746.93,	10.3389/fnuen.2023.1236544,	FALSE
TU Bergakademie Freiberg,	2023,	1822.84,	10.1007/s42452-023-05466-w,	FALSE
TU Bergakademie Freiberg,	2023,	1807.41,	10.3389/fnuen.2023.1208582,	FALSE
