institution,	period,	euro,	doi,	is_hybrid
TU Bergakademie Freiberg,	2024,	714,	10.1515/NCRS-2024-0030,	FALSE
TU Bergakademie Freiberg,	2024,	1629.93,	10.3390/data9040057,	FALSE
TU Bergakademie Freiberg,	2024,	2143.9,	10.1038/s41598-024-54097-7,	FALSE
TU Bergakademie Freiberg,	2024,	2143.91,	10.1038/s41598-024-54387-0,	FALSE
TU Bergakademie Freiberg,	2024,	714,	10.1515/NCRS-2024-0057,	FALSE
TU Bergakademie Freiberg,	2024,	1401.34,	10.1177/1934578X241258352,	FALSE
TU Bergakademie Freiberg,	2024,	581.02,	10.1107/S2056989024002305, 	FALSE
TU Bergakademie Freiberg,	2024,	2500,	10.3390/ma17051023,	FALSE
TU Bergakademie Freiberg,	2024,	350.81,	10.1107/S2414314624002281,	FALSE
TU Bergakademie Freiberg,	2024,	1797.6,	10.1002/adsr.202400040,	FALSE
TU Bergakademie Freiberg,	2024,	714,	10.1515/NCRS-2024-0258,	FALSE
TU Bergakademie Freiberg,	2024,	1048.6,	10.1016/j.rcradv.2024.200225,	FALSE
TU Bergakademie Freiberg,	2024,	1557.92,	10.1016/j.oceram.2024.100634,	FALSE
TU Bergakademie Freiberg,	2024,	566.42,	10.1107/S205698902400882X, 	FALSE
TU Bergakademie Freiberg,	2024,	569.02,	10.1107/S2056989024007515,	FALSE
TU Bergakademie Freiberg,	2024,	1129.92,	10.1016/j.jmrt.2024.08.015,	FALSE
TU Bergakademie Freiberg,	2024,	361.69,	10.1107/S2414314624008630,	FALSE
TU Bergakademie Freiberg,	2024,	2430.48,	10.3390/min14121193,	FALSE
TU Bergakademie Freiberg,	2024,	1557.92,	10.1016/j.oceram.2024.100668,	FALSE
TU Bergakademie Freiberg,	2024,	832.8,	10.1007/s43621-024-00486-x,	FALSE
TU Bergakademie Freiberg,	2024,	598.62,	10.1107/S2056989024009976,	FALSE
TU Bergakademie Freiberg,	2024,	598.62,	10.1107/S2056989024009988,	FALSE
TU Bergakademie Freiberg,	2024,	582.96,	10.1107/S2056989024009800,	FALSE
TU Bergakademie Freiberg,	2024,	2395.71,	10.3390/gels10120768,	FALSE
TU Bergakademie Freiberg,	2024,	2072.58,	10.3390/recycling9060120,	FALSE
TU Bergakademie Freiberg,	2024,	1609.28,	10.1016/j.heliyon.2024.e41024,	FALSE
