institution,	period,	euro,	doi,	is_hybrid
TU Berakadamie Freiberg,	2021,	1336.32,	 10.1002/open.202000268,	false
TU Berakadamie Freiberg,	2021,	994.63,	 10.1039/D0RA09700D, 	false
TU Berakadamie Freiberg,	2021,	1586.22,	10.3390/met11030378,	false
TU Berakadamie Freiberg,	2021,	1892.65,	10.3390/s21062144,	false
TU Berakadamie Freiberg,	2021,	1737.7,	10.3390/met11030521,	false
TU Berakadamie Freiberg,	2021,	1931.47,	10.3390/s21072406,	false
TU Berakadamie Freiberg,	2021,	458.47,	10.1107/S205698902100788X,	false
TU Berakadamie Freiberg,	2021,	463.6,	10.1107/S2056989021009464,	false
TU Berakadamie Freiberg,	2021,	1352.03,	10.3390/cryst11050475,	false
TU Berakadamie Freiberg,	2021,	1039.0,	10.1039/D1RA03390E,	false
TU Berakadamie Freiberg,	2021,	804.77,	10.3390/ma14143963,	false
TU Berakadamie Freiberg,	2021,	1931.47,	10.3390/ma14154093,	false
TU Berakadamie Freiberg,	2021,	1931.47,	10.3390/biomedicines9080964,	false
TU Berakadamie Freiberg,	2021,	1738.33,	10.3390/met11091411,	false
TU Berakadamie Freiberg,	2021,	461.43,	10.1107/S2056989021010185,	false
TU Berakadamie Freiberg,	2021,	1931.47,	10.3390/en14206672,	false
TU Berakadamie Freiberg,	2021,	1352.03,	10.3390/jmmp5040106,	false
TU Berakadamie Freiberg,	2021,	1931.47,	10.3390/ma14216450,	false
TU Berakadamie Freiberg,	2021,	1931.47,	10.3390/app11219918,	false

