institution,institution_ror,period,euro,doi,is_hybrid,type,contract_primary_identifier,contract_invoice_id,gold-oa,vat,colour charge,cover charge,hybrid-oa,other,page charge,permission,publication charge,reprint,submission fee,payment fee
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s10853-022-06995-2,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s41999-022-00629-1,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00284-022-02813-9,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00347-022-01597-4,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s10909-022-02700-4,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00417-022-05620-x,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00066-022-01912-7,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00066-022-01921-6,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00208-022-02375-y,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00108-022-01315-x,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
