institution,institution_ror,period,euro,doi,is_hybrid,type,contract_primary_identifier,contract_invoice_id,gold-oa,vat,colour charge,cover charge,hybrid-oa,other,page charge,permission,publication charge,reprint,submission fee,payment fee
Duisburg-Essen U,https://ror.org/04mz5ra38,2022,11662.0,10.1007/978-3-658-38026-7,FALSE,book,NA,NA,11662.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duisburg-Essen U,https://ror.org/04mz5ra38,2022,1071.0,10.36202/9783826077760,FALSE,book,NA,NA,1071.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
