institution;period;euro;doi;publisher;journal;issn;url
Technische Universität Dortmund;2019;"170,04";10.1107/s2414314619002384;IUCr;IUCR Data;2414-3146;
Technische Universität Dortmund;2019;"1176,04";10.3390/catal9020190;MDPI;Catalysts;2073-4344;
Technische Universität Dortmund;2019;"810,03";10.1021/acsomega.8b03159;ACS;ACS Omega;2470-1343;
Technische Universität Dortmund;2019;"868,70";10.1016/j.rinp.2019.02.048;Elsevier;Results in physics;2211-3797;
Technische Universität Dortmund;2019;"1697,95";10.3390/ma12071040;MDPI;Materials;1996-1944;
Technische Universität Dortmund;2019;"1773,10";10.1038/s41598-019-42208-8;Springer;Scientific Reports;2045-2322;
Technische Universität Dortmund;2019;"1691,37";10.1364/OME.9.002797;OSA;Optical materials express;2159-3930;
Technische Universität Dortmund;2019;"400,00";10.36900/suburban.v7i1/2.473;sub\urban e.V.;sub\urban;2197-2567;
Technische Universität Dortmund;2019;"802,60";10.3390/geosciences9040189;MDPI;Geosciences;2076-3263;
Technische Universität Dortmund;2019;"1412,57";10.3390/met9050515;MDPI;Metals;2075-4701;
Technische Universität Dortmund;2019;"875,98";10.3389/feduc.2019.00034 ;Frontiers;Frontiers in Education-Educational Psychology;2504-284X;
Technische Universität Dortmund;2019;"1704,25";10.3390/ma12101646;MDPI;Materials;1996-1944;
Technische Universität Dortmund;2019;"1285,20";10.1016/j.heliyon.2019.e01773;Elsevier;Heliyon;2405-8440;
Technische Universität Dortmund;2019;"1136,45";10.1186/s40594-019-0177-0;Springer;International journal of STEM education;2196-7822;
Technische Universität Dortmund;2019;"250,00";10.2478/rara-2019-0012;ARL;Raumforschung und Raumordnung;1869-4179;
Technische Universität Dortmund;2019;"849,73";10.3390/pharmaceutics11060276;MDPI;Pharmaceutics;1999-4923;
Technische Universität Dortmund;2019;"2058,18";10.3389/fpsyg.2019.01730;Frontiers;Frontiers in Psychology;1664-1078;
Technische Universität Dortmund;2019;"805,43";10.3390/info10080245;MDPI;Information;2078-2489;
Technische Universität Dortmund;2019;"1739,72";10.3390/ma12152372;MDPI;Materials;1996-1944;
Technische Universität Dortmund;2019;"1745,16";10.3390/s19153414;MDPI;Sensors;1424-8220;
Technische Universität Dortmund;2019;"1569,86";10.3390/coatings9080519;MDPI;Coatings;2079-6412;
Technische Universität Dortmund;2019;"618,80";10.1016/j.dib.2019.104395;Elsevier;Data in Brief;2352-3409;
Technische Universität Dortmund;2019;"1497,72";10.3390/ma12182892;MDPI;Materials;1996-1944;
Technische Universität Dortmund;2019;"1757,38";10.3390/ijerph16193690;MDPI;International journal of environmental research and public health;1660-4601;
Technische Universität Dortmund;2019;"1562,11";10.3390/coatings9100603;MDPI;Coatings;2079-6412;
Technische Universität Dortmund;2019;"1128,19";10.3390/coatings9090588;MDPI;Coatings;2079-6412;
Technische Universität Dortmund;2019;"2017,36";10.3389/fchem.2019.00661;Frontiers;Frontiers in Chemistry;2296-2646;
Technische Universität Dortmund;2019;"1562,11";10.3390/coatings9100601;MDPI;Coatings;2079-6412;
Technische Universität Dortmund;2019;"1071,00";10.17645/up.v4i4.2237;Cogitatio;Urban planning;2183-7635;
Technische Universität Dortmund;2019;"979,49";10.3390/jmmp3040088;MDPI;Journal of manufacturing and materials processing;2504-4494;
Technische Universität Dortmund;2019;"1456,88";10.3390/en12214215;MDPI;Energies;1996-1073;
Technische Universität Dortmund;2019;"1458,87";10.3390/ma12223690;MDPI;Materials;1996-1944;
Technische Universität Dortmund;2019;"2433,55";10.1186/s13007-019-0542-5;BMC;Plant Methods;1746-4811;
Technische Universität Dortmund;2019;"990,08";10.1111/pbi.13193;Wiley;Plant Biotechnology Journal;1467-7652;
Technische Universität Dortmund;2019;"250,00";10.2478/rara-2019-0033;ARL/Sciendo;Raumforschung und Raumordnung;1869-4179;
Technische Universität Dortmund;2019;"1474,77";10.3390/ma13010247;MDPI;Materials;1996-1944;
Technische Universität Dortmund;2019;"1467,15";10.3390/ijms21010105 ;MDPI;International Journal of Molecular Sciences;1422-0067;
Technische Universität Dortmund;2019;"1071,00";10.17645/si.v8i2.2590;Cogitatio;Social inclusion;2183-2803;
