pos;institution_name;journal_title;eissn;doi;url;accepted;par_fee;initial_opt-out
1;Technische Universität Dortmund;ANGEWANDTE CHEMIE;1521-3757;10.1002/ange.202117565;https://doi.org/10.1002/ange.202117565;03.02.2022;1375;optin
2;Technische Universität Dortmund;CHEMPHYSCHEM;1439-7641;10.1002/cphc.202200729;https://doi.org/10.1002/cphc.202200729;19.10.2022;2750;optin
3;Technische Universität Dortmund;ZAMM - JOURNAL OF APPLIED MATHEMATICS AND MECHANICS;1521-4001;10.1002/zamm.202100538;https://doi.org/10.1002/zamm.202100538;02.11.2022;2750;optin
4;Technische Universität Dortmund;BRITISH JOURNAL OF MATHEMATICAL AND STATISTICAL PSYCHOLOGY;2044-8317;10.1111/bmsp.12273;https://doi.org/10.1111/bmsp.12273;12.04.2022;2750;optin
5;Technische Universität Dortmund;CHEMIE INGENIEUR TECHNIK;1522-2640;10.1002/cite.202200084;https://doi.org/10.1002/cite.202200084;14.09.2022;2750;optin
6;Technische Universität Dortmund;CHEMIE INGENIEUR TECHNIK;1522-2640;10.1002/cite.202100179;https://doi.org/10.1002/cite.202100179;30.01.2022;2750;optin
7;Technische Universität Dortmund;CE/PAPERS;2509-7075;10.1002/cepa.1737;https://doi.org/10.1002/cepa.1737;07.08.2022;2750;optin
8;Technische Universität Dortmund;PROCEEDINGS IN APPLIED MATHEMATICS & MECHANICS;1617-7061;10.1002/pamm.202200123;https://doi.org/10.1002/pamm.202200123;01.11.2022;2750;optin
9;Technische Universität Dortmund;CHEMSYSTEMSCHEM;2570-4206;10.1002/syst.202200033;https://doi.org/10.1002/syst.202200033;07.11.2022;2750;optin
10;Technische Universität Dortmund;PROCEEDINGS IN APPLIED MATHEMATICS & MECHANICS;1617-7061;10.1002/pamm.202200086;https://doi.org/10.1002/pamm.202200086;06.12.2022;2750;optin
11;Technische Universität Dortmund;CHEMISTRY - A EUROPEAN JOURNAL;1521-3765;10.1002/chem.202202935;https://doi.org/10.1002/chem.202202935;26.09.2022;2750;optin
