institution;period;euro;doi;is_hybrid;publisher;journal;issn;url
Technische Universität Dortmund;2021;2021,00;10.3390/pharmaceutics13020146;false;MDPI;Pharmaceutics;1999-4923;
Technische Universität Dortmund;2021;2021,00;10.3389/fpsyg.2021.601033;false;Frontiers;Frontiers in Psychology;1664-1078;
Technische Universität Dortmund;2021;2021,00;10.17645/up.v6i1.3613;false;Cogitatio;Urban planning;2183-7635;
Technische Universität Dortmund;2021;2021,00;10.3390/buildings11030101;false;MDPI;Buildings;2075-5309;
Technische Universität Dortmund;2021;1130,50;10.3389/feduc.2021.498661;false;Frontiers;Frontiers in Education;2504-284X;
Technische Universität Dortmund;2021;1115,74;10.3390/polym13101569;false;MDPI;Polymers;2073-4360;
Technische Universität Dortmund;2021;961,67;10.3389/feduc.2021.684595;false;Frontiers;Frontiers in Education;2504-284X;
Technische Universität Dortmund;2021;1931,47;10.3390/ma14123344;false;MDPI;Materials;1996-1944;
Technische Universität Dortmund;2021;1287,65;10.3390/ma14123394;false;MDPI;Materials;1996-1944;
Technische Universität Dortmund;2021;2124,61;10.3390/polym13132090;false;MDPI;Polymers;2073-4360;
Technische Universität Dortmund;2021;1834,90;10.3390/su13137133;false;MDPI;Sustainability;2071-1050;
Technische Universität Dortmund;2021;1738,33;10.3390/plants10081493;false;MDPI;Plants;2223-7747;
Technische Universität Dortmund;2021;1352,03;10.3390/jmmp5030082;false;MDPI;Journal of Manufacturing and Materials Processing;2504-4494;
Technische Universität Dortmund;2021;1834,90;10.3390/su13158568;false;MDPI;Sustainability;2071-1050;
Technische Universität Dortmund;2021;2988,41;10.3389/fpsyg.2021.717379;false;Frontiers;Frontiers in Psychology;1664-1078;
Technische Universität Dortmund;2021;1738,33;10.3390/coatings11091033;false;MDPI;Coatings;2079-6412;
Technische Universität Dortmund;2021;1352,03;10.3390/jmmp5030099;false;MDPI;Journal of Manufacturing and Materials Processing;2504-4494;
Technische Universität Dortmund;2021;2124,61;10.3390/polym13183198;false;MDPI;Polymers;2073-4360;
Technische Universität Dortmund;2021;1834,90;10.3390/su131910794;false;MDPI;Sustainability;2071-1050;
Technische Universität Dortmund;2021;1352,03;10.3390/jmmp5040109;false;MDPI;Journal of Manufacturing and Materials Processing;2504-4494;
Technische Universität Dortmund;2021;2115,88;10.1364/OE.433953;false;OSA;Optics Express;1094-4087;
Technische Universität Dortmund;2021;1834,90;10.3390/su132212751;false;MDPI;Sustainability;2071-1050;
Technische Universität Dortmund;2021;2637,58;10.1103/PhysRevResearch.3.043168;false;American Physical Society;Physical Review Research;2643-1564;
Technische Universität Dortmund;2021;987,85;10.3389/feduc.2021.701987;false;Frontiers;Frontiers in Education;2504-284X;
Technische Universität Dortmund;2021;1931,47;10.3390/ma14237324;false;MDPI;Materials;1996-1944;
Technische Universität Dortmund;2021;2653,70;10.1016/j.matdes.2021.110304;false;Elsevier;Materials & Design;0264-1275;
Technische Universität Dortmund;2021;3110,22;10.3389/fpsyg.2021.793796;false;Frontiers;Frontiers in Psychology;1664-1078;
Technische Universität Dortmund;2021;1545,18;10.3390/coatings12010032;false;MDPI;Coatings;2079-6412;
Technische Universität Dortmund;2021;1109,83;10.1103/PhysRevResearch.3.043232;false;American Physical Society;Physical Review Research;2643-1564;
Technische Universität Dortmund;2021;3451,00;10.1038/s41467-021-24188-4;false;SpringerNature;Nature Communications;2041-1723;
Technische Universität Dortmund;2021;5390,70;10.1038/s41467-021-25512-8;false;SpringerNature;Nature Communications;2041-1723;
Technische Universität Dortmund;2021;3058,30;10.1038/s43246-021-00198-z;false;SpringerNature;Communications materials;2662-4443;
Technische Universität Dortmund;2021;2010,05;10.1186/s12934-021-01650-y;false;SpringerNature;Microbial Cell Factories;1475-2859;
Technische Universität Dortmund;2021;3189,20;10.1038/s42005-021-00681-6;false;SpringerNature;Communications Physics;2399-3650;
