institution;period;euro;doi;is_hybrid;publisher;journal;issn;url
Technische Universität Dortmund;2020;824,73;10.3390/buildings10010018;false;MDPI;Buildings;2075-5309;
Technische Universität Dortmund;2020;1484,51;10.3390/ma13030497;false;MDPI;Materials;1996-1944;
Technische Universität Dortmund;2020;1976;10.1186/s12859-020-3361-9;false;SpringerNature;BMC Bioinformatics;1471-2105;
Technische Universität Dortmund;2020;1057,82;10.3389/feduc.2020.00003;false;Frontiers;Frontiers in education;2504-284X;
Technische Universität Dortmund;2020;1055,04;10.3389/feduc.2020.00007;false;Frontiers;Frontiers in Education-Educational Psychology;2504-284X;
Technische Universität Dortmund;2020;463,7;10.1163/21971927-bja10002;false;Brill;Triple Helix;2197-1927;
Technische Universität Dortmund;2020;1071;10.17645/si.v8i2.2578;false;Cogitatio;Social Inclusion;2183-2803;
Technische Universität Dortmund;2020;400;10.36900/suburban.v8i1/2.562;false;sub\urban e.V.;sub\urban;2197-2567;
Technische Universität Dortmund;2020;1239,98;10.3390/molecules25081881;false;MDPI;Molecules;1420-3049;
Technische Universität Dortmund;2020;848,54;10.3390/jmmp4020037;false;MDPI;Journal of Manufacturing and Materials Processing;2504-4494;
Technische Universität Dortmund;2020;1868,3;10.1038/s41598-020-65053-6;false;SpringerNature;Scientific reports;2045-2322;
Technische Universität Dortmund;2020;1029,41;10.3389/feduc.2020.00065;false;Frontiers;Frontiers in education;2504-284X;
Technische Universität Dortmund;2020;1689,67;10.3390/ma13092180;false;MDPI;Materials;1996-1944;
Technische Universität Dortmund;2020;1355,87;10.3390/met10050656;false;MDPI;Metals;2075-4701;
Technische Universität Dortmund;2020;1428;10.1088/1367-2630/ab7ede;false;IOP;New Journal of Physics;1367-2630;
Technische Universität Dortmund;2020;1669,12;10.3390/ma13112463;false;MDPI;Materials;1996-1944;
Technische Universität Dortmund;2020;1684,49;10.3390/ma13112486;false;MDPI;Materials;1996-1944;
Technische Universität Dortmund;2020;1694,85;10.3390/ma13102318;false;MDPI;Materials;1996-1944;
Technische Universität Dortmund;2020;842,25;10.3390/heritage3020027;false;MDPI;Heritage;2571-9408;
Technische Universität Dortmund;2020;386,75;10.1016/j.jajp.2020.100014;false;Elsevier;Journal of advanced joining processes;2666-3309;
Technische Universität Dortmund;2020;1725,08;10.1364/OME.396099;false;OSA;Optical Materials Express;2159-3930;
Technische Universität Dortmund;2020;1642,74;10.3390/ma13122680;false;MDPI;Materials;1996-1944;
Technische Universität Dortmund;2020;1501,83;10.3390/su12125014;false;MDPI;Sustainability;2071-1050;
Technische Universität Dortmund;2020;1334,95;10.3390/met10060845 ;false;MDPI;Metals;2075-4701;
Technische Universität Dortmund;2020;1914;10.5194/mr-1-115-2020;false;Copernicus;Magnetic resonance;2699-0016;
Technische Universität Dortmund;2020;889,97;10.3390/jmmp4030067;false;MDPI;Journal of Manufacturing and Materials Processing;2504-4494;
Technische Universität Dortmund;2020;981,4;10.1039/d0ra05406b;false;RSC;RSC Advances;2046-2069;
Technische Universität Dortmund;2020;1084,41;10.3390/ma13143156;false;MDPI;Materials;1996-1944;
Technische Universität Dortmund;2020;1301,3;10.3390/coatings10070689;false;MDPI;Coatings;2079-6412;
Technische Universität Dortmund;2020;813,31;10.3390/jcs4030091;false;MDPI;Journal of Composites Science;2504-477X;
Technische Universität Dortmund;2020;1868,3;10.1038/s41598-020-69544-4;false;SpringerNature;Scientific reports;2045-2322;
Technische Universität Dortmund;2020;1297,3;10.3390/coatings10080755;false;MDPI;Coatings;2079-6412;
Technische Universität Dortmund;2020;1020,8;10.1016/j.jmrt.2020.07.047;false;Elsevier;Journal of Materials Research and Technology;2238-7854;
Technische Universität Dortmund;2020;1292,6;10.3390/coatings10080769;false;MDPI;Coatings;2079-6412;
Technische Universität Dortmund;2020;1418,1;10.1088/1367-2630/abc083;false;IOP;New Journal of Physics;1367-2630;
Technische Universität Dortmund;2020;1934,59;10.3390/s20236948;false;MDPI;Sensors;1424-8220;
Technische Universität Dortmund;2020;1584,09;10.1371/journal.pone.0235595;false;PLoS;PLoS ONE;1932-6203;
Technische Universität Dortmund;2020;1828,32;10.3389/fpsyg.2020.561510;false;Frontiers;Frontiers in Psychology;1664-1078;
Technische Universität Dortmund;2020;1500,22;10.3390/app10196955;false;MDPI;Applied sciences;2076-3417;
Technische Universität Dortmund;2020;1154,63;10.1364/OSAC.399876;false;OSA;OSA Continuum;2578-7519;
Technische Universität Dortmund;2020;2320;10.1049/gtd2.12111;false;Wiley;IET Generation, Transmission & Distribution;1751-8695;
Technische Universität Dortmund;2020;1856;10.1002/open.202000317;false;Wiley;ChemistryOpen;2191-1363;
Technische Universität Dortmund;2020;2953,36;10.1038/s42005-020-00491-2;false;SpringerNature;Communications Physics;2399-3650;
Technische Universität Dortmund;2020;1197,12;10.1186/s41235-020-00253-2;false;SpringerNature;Cognitive Research: Principles and Implications;2365-7464;
Technische Universität Dortmund;2020;1730,14;10.1038/s41598-020-79686-0;false;SpringerNature;Scientific reports;2045-2322;
Technische Universität Dortmund;2020;1730,14;10.1038/s41598-020-74271-x;false;SpringerNature;Scientific reports;2045-2322;
