institution,period,euro,doi,is_hybrid,publisher,journal,issn,url
Technische Universität Dortmund,2017,"1190,00",10.1186/s13636-017-0103-7,FALSE,Springer,"EURASIP Journal on Audio, Speech, and Music Processing",1687-4722,
Technische Universität Dortmund,2017,"2070,87",10.3390/molecules22020296,FALSE,MDPI,Molecules,1420-3049,
Technische Universität Dortmund,2017,"830,88",10.3389/fpsyt.2017.00029,FALSE,Frontiers Media S.A,Frontiers in Psychiatry,1664-0640,
Technische Universität Dortmund,2017,"2365,67",10.3389/fpsyg.2017.00428,FALSE,Frontiers Media S.A,Frontiers in Psychiatry,1664-1078,
Technische Universität Dortmund,2017,"1426,04",10.1371/journal.pone.0170190,FALSE,Public Library of Science,PLoS one,1932-6203,
Technische Universität Dortmund,2017,"1897,60",10.1186/s13321-017-0213-3,FALSE,Springer,Journal of cheminformatics,1758-2946,
Technische Universität Dortmund,2017,"2142,00",10.1186/s12863-017-0519-1,FALSE,BioMed Central,BMC Genetics,1471-2156,
Technische Universität Dortmund,2017,"106,56",10.1107/S2414314617007994,FALSE,International Union of Crystallography,IUCrData,2414-3146,
Technische Universität Dortmund,2017,"1353,33",10.1088/1367-2630/aa6653,FALSE,IOP,New Journal of Physics,1367-2630,
Technische Universität Dortmund,2017,"1855,37",10.1155/2017/7907163,FALSE,Hindawi,Computational and Mathematical Methods in Medicine,1748-6718,
Technische Universität Dortmund,2017,"1392,30",10.1088/1367-2630/aa7727,FALSE,IOP,New Journal of Physics,1367-2630,
Technische Universität Dortmund,2017,"1563,91",10.3390/polym9060221,FALSE,MDPI,Polymers,2073-4360,
Technische Universität Dortmund,2017,"1630,30",10.3390/en10070869,FALSE,MDPI,energies,1996-1073,
Technische Universität Dortmund,2017,"2142,00",10.1186/s12859-017-1762-1,FALSE,BioMed Central,BMC Bioinformatics,1471-2105,
Technische Universität Dortmund,2017,"400,00",,FALSE,sub\urban e. V.,s u b u r b a n : zeitschrift für kritische stadtforschung,2197-2567,http://www.zeitschrift-suburban.de/sys/index.php/suburban/article/view/321
Technische Universität Dortmund,2017,"1507,80",10.1371/journal.pone.0184627,FALSE,Public Library of Science,PLOS One,1932-6203,
Technische Universität Dortmund,2017,"145,08",10.1107/s2414314617015395,FALSE,International Union of Crystallography,IUCrData,2414-3146,
Technische Universität Dortmund,2017,"1501,01",10.1021/acsomega.7b01588,FALSE,ACS,ACS omega,2470-1343,
Technische Universität Dortmund,2017,"1577,15",10.3389/fnhum.2017.00290,FALSE,Frontiers Media S.A,Frontiers in human neuroscience,1662-5161,
Technische Universität Dortmund,2017,"2142,00",10.1186/s12863-017-0586-3,FALSE,BioMed Central,BMC Genetics,1471-2156,
Technische Universität Dortmund,2017,"2698,84",10.1103/PhysRevX.7.021009,FALSE,APS,Physical Review X,2160-3308,
Technische Universität Dortmund,2017,"3037,87",10.1103/PhysRevX.7.031030,FALSE,APS,Physical Review X,2160-3308,
Technische Universität Dortmund,2017,"1566,28",10.3390/en10122147,FALSE,MDPI,Energies,1996-1073,
