institution,period,euro,doi,is_hybrid,publisher,journal,issn,url
Technische Universität Dortmund,2018,"775,45",10.1021/acsomega.7b01704,FALSE,American Chemical Society,,2470-1343,
Technische Universität Dortmund,2018,"1000,00",10.18564/jasss.3654,FALSE,JASSS,Journal of artificial societies and social simulation,1460-7425,
Technische Universität Dortmund,2018,"900,00",10.5334/joc.19,FALSE,European Society for Cognitive Psychology,Journal of Cognition,2514-4820,
Technische Universität Dortmund,2018,"684,42",10.1039/C8RA00334C,FALSE,RSC,RSC Advances,2046-2069,
Technische Universität Dortmund,2018,"1898,05",10.1186/s13321-018-0264-0,FALSE,Springer,Journal of Cheminformatics,1758-2946,
Technische Universität Dortmund,2018,"1487,55",10.3390/en11030581,FALSE,MDPI,Energies,1996-1073,
Technische Universität Dortmund,2018,"1876,86",10.3389/fpls.2018.00537,FALSE,Frontiers media,Frontiers in Plant Science,1664-462X,
Technische Universität Dortmund,2018,"163,65",10.1107/S2414314618006363,FALSE,International Union of Crystallography,IUCr Data,2414-3146,
Technische Universität Dortmund,2018,"2034,24",10.1364/OE.26.016393,FALSE,Optical Society of America (OSA),Optics Express,1094-4087,
Technische Universität Dortmund,2018,"1630,30",10.1038/s41598-018-26271-1,FALSE,Springer NPG,Scientific Reports,2045-2322,
Technische Universität Dortmund,2018,"1389,36",10.1080/23311886.2018.1482985,FALSE,Taylor and Francis,Cogent Social Sciences,2331-1886,
Technische Universität Dortmund,2018,"1566,52",10.3390/polym10070698,FALSE,MDPI,Polymers,2073-4360,
Technische Universität Dortmund,2018,"1745,00",10.1186/s12889-018-5977-5,FALSE,Springer,BMC Public Health,1471-2458,
Technische Universität Dortmund,2018,"1096,76",10.3390/met8090720,FALSE,MDPI,Metals,2075-4701,
Technische Universität Dortmund,2018,"1071,00",10.17645/si.v7i1.1605,FALSE,Cogitatio,Social Inclusion,2183-2803,
Technische Universität Dortmund,2018,"996,09",10.3390/met8100825,FALSE,MDPI,Metals,2075-4701,
Technische Universität Dortmund,2018,"0,00",10.3390/su10113904,FALSE,MDPI,Sustainability,2071-1050,
Technische Universität Dortmund,2018,"1502,47",10.3390/ma11112290,FALSE,MDPI,Materials,1996-1944,
Technische Universität Dortmund,2018,"1172,15",10.1186/s40604-018-0057-5,FALSE,Springer,Triple Helix,2197-1927,
Technische Universität Dortmund,2018,"1003,41",10.3389/feduc.2018.00115,FALSE,Frontiers media,Frontiers in Education,2504-284X,
Technische Universität Dortmund,2018,"1994,78",10.3389/fpsyg.2018.02631,FALSE,Frontiers media,Frontiers in Psychology,1664-1078,
Technische Universität Dortmund,2018,"868,70",10.1016/j.rinp.2018.12.074,FALSE,Elsevier,Results in Physics,2211-3797,
