pos;institution_name;journal_title;eissn;doi;url;published;accepted;par_fee;article_type;article_group;initial_opt-out
1;Technische Universität Dortmund;Environmental Earth Sciences;1866-6299;10.1007/s12665-022-10186-2;https://doi.org/10.1007/s12665-022-10186-2;31.01.2022;10.11.2021;2750;originalpaper;Research Article;optin
2;Technische Universität Dortmund;Social Psychology of Education;1573-1928;10.1007/s11218-022-09722-6;https://doi.org/10.1007/s11218-022-09722-6;29.09.2022;19.07.2022;2750;originalpaper;Research Article;optin
3;Technische Universität Dortmund;Urban Forum;1874-6330;10.1007/s12132-022-09476-6;https://doi.org/10.1007/s12132-022-09476-6;27.11.2022;11.11.2022;2750;originalpaper;Research Article;optin
4;Technische Universität Dortmund;Computational Mechanics;1432-0924;10.1007/s00466-022-02207-5;https://doi.org/10.1007/s00466-022-02207-5;27.09.2022;19.06.2022;2750;originalpaper;Research Article;optin
5;Technische Universität Dortmund;Acta Mechanica;1619-6937;10.1007/s00707-021-03129-8;https://doi.org/10.1007/s00707-021-03129-8;24.01.2022;11.12.2021;2750;originalpaper;Research Article;optin
6;Technische Universität Dortmund;Welding in the World;1878-6669;10.1007/s40194-022-01266-9;https://doi.org/10.1007/s40194-022-01266-9;28.02.2022;01.02.2022;2750;originalpaper;Research Article;optin
7;Technische Universität Dortmund;Electronic Markets;1422-8890;10.1007/s12525-022-00557-9;https://doi.org/10.1007/s12525-022-00557-9;14.06.2022;23.05.2022;2750;originalpaper;Research Article;optin
8;Technische Universität Dortmund;Current Psychology;1936-4733;10.1007/s12144-022-04067-x;https://doi.org/10.1007/s12144-022-04067-x;20.12.2022;21.11.2022;2750;originalpaper;Research Article;optin
9;Technische Universität Dortmund;Urban Ecosystems;1573-1642;10.1007/s11252-022-01268-x;https://doi.org/10.1007/s11252-022-01268-x;09.08.2022;08.07.2022;2750;originalpaper;Research Article;optin
10;Technische Universität Dortmund;Journal of Biomolecular NMR;1573-5001;10.1007/s10858-022-00405-0;https://doi.org/10.1007/s10858-022-00405-0;23.09.2022;07.09.2022;2750;originalpaper;Research Article;optin
11;Technische Universität Dortmund;Progress in Additive Manufacturing;2363-9520;10.1007/s40964-022-00274-x;https://doi.org/10.1007/s40964-022-00274-x;24.02.2022;31.01.2022;2750;originalpaper;Research Article;optin
12;Technische Universität Dortmund;Journal of Thermal Spray Technology;1544-1016;10.1007/s11666-022-01458-1;https://doi.org/10.1007/s11666-022-01458-1;31.08.2022;09.08.2022;2750;reviewpaper;Research Article;optin
13;Technische Universität Dortmund;Journal of Youth and Adolescence;1573-6601;10.1007/s10964-022-01639-9;https://doi.org/10.1007/s10964-022-01639-9;01.06.2022;18.05.2022;2750;originalpaper;Research Article;optin
14;Technische Universität Dortmund;Zeitschrift für Erziehungswissenschaft;1862-5215;10.1007/s11618-022-01085-0;https://doi.org/10.1007/s11618-022-01085-0;05.04.2022;08.11.2021;2750;originalpaper;Research Article;optin
15;Technische Universität Dortmund;Motivation and Emotion;1573-6644;10.1007/s11031-022-09957-y;https://doi.org/10.1007/s11031-022-09957-y;19.07.2022;28.05.2022;2750;originalpaper;Research Article;optin
16;Technische Universität Dortmund;Educational Studies in Mathematics;1573-0816;10.1007/s10649-022-10158-0;https://doi.org/10.1007/s10649-022-10158-0;09.08.2022;05.05.2022;2750;originalpaper;Research Article;optin
17;Technische Universität Dortmund;Synthese;1573-0964;10.1007/s11229-022-03748-1;https://doi.org/10.1007/s11229-022-03748-1;27.06.2022;17.05.2022;2750;originalpaper;Research Article;optin
18;Technische Universität Dortmund;Journal of Business Economics;1861-8928;10.1007/s11573-022-01103-x;https://doi.org/10.1007/s11573-022-01103-x;07.07.2022;07.06.2022;2750;originalpaper;Research Article;optin
19;Technische Universität Dortmund;Corpus Pragmatics;2509-9515;10.1007/s41701-022-00122-x;https://doi.org/10.1007/s41701-022-00122-x;03.06.2022;09.04.2022;2750;originalpaper;Research Article;optin
20;Technische Universität Dortmund;Educational Studies in Mathematics;1573-0816;10.1007/s10649-022-10171-3;https://doi.org/10.1007/s10649-022-10171-3;22.07.2022;07.07.2022;917;editorialnotes;Non Research Article;optin
21;Technische Universität Dortmund;The International Journal of Advanced Manufacturing Technology;1433-3015;10.1007/s00170-022-10697-z;https://doi.org/10.1007/s00170-022-10697-z;22.12.2022;09.12.2022;2750;originalpaper;Research Article;optin
22;Technische Universität Dortmund;Educational Technology Research and Development;1556-6501;10.1007/s11423-022-10105-z;https://doi.org/10.1007/s11423-022-10105-z;17.05.2022;09.03.2022;2750;originalpaper;Research Article;optin
23;Technische Universität Dortmund;Journal of Happiness Studies;1573-7780;10.1007/s10902-022-00537-y;https://doi.org/10.1007/s10902-022-00537-y;11.05.2022;17.04.2022;2750;originalpaper;Research Article;optin
24;Technische Universität Dortmund;Advances in Manufacturing;2195-3597;10.1007/s40436-021-00383-w;https://doi.org/10.1007/s40436-021-00383-w;15.02.2022;18.11.2021;2750;originalpaper;Research Article;optin
25;Technische Universität Dortmund;Experiments in Fluids;1432-1114;10.1007/s00348-022-03387-9;https://doi.org/10.1007/s00348-022-03387-9;02.02.2022;05.12.2021;2750;originalpaper;Research Article;optin
26;Technische Universität Dortmund;Machine Learning;1573-0565;10.1007/s10994-022-06218-4;https://doi.org/10.1007/s10994-022-06218-4;02.08.2022;02.07.2022;2750;originalpaper;Research Article;optin
27;Technische Universität Dortmund;International Journal of Material Forming;1960-6214;10.1007/s12289-022-01662-y;https://doi.org/10.1007/s12289-022-01662-y;24.02.2022;27.01.2022;2750;originalpaper;Research Article;optin
28;Technische Universität Dortmund;Beiträge zur Algebra und Geometrie / Contributions to Algebra and Geometry;2191-0383;10.1007/s13366-022-00657-9;https://doi.org/10.1007/s13366-022-00657-9;06.08.2022;15.07.2022;2750;originalpaper;Research Article;optin
29;Technische Universität Dortmund;Journal of Neurology;1432-1459;10.1007/s00415-021-10935-6;https://doi.org/10.1007/s00415-021-10935-6;27.01.2022;07.12.2021;2750;reviewpaper;Research Article;optin
30;Technische Universität Dortmund;Philosophy & Technology;2210-5441;10.1007/s13347-022-00510-w;https://doi.org/10.1007/s13347-022-00510-w;19.02.2022;20.11.2021;2750;originalpaper;Research Article;optin
31;Technische Universität Dortmund;Social Indicators Research;1573-0921;10.1007/s11205-022-02967-w;https://doi.org/10.1007/s11205-022-02967-w;18.07.2022;10.06.2022;2750;originalpaper;Research Article;optin
32;Technische Universität Dortmund;Zeitschrift für Erziehungswissenschaft;1862-5215;10.1007/s11618-022-01092-1;https://doi.org/10.1007/s11618-022-01092-1;06.05.2022;25.11.2021;2750;originalpaper;Research Article;optin
33;Technische Universität Dortmund;Applied Magnetic Resonance;1613-7507;10.1007/s00723-022-01511-w;https://doi.org/10.1007/s00723-022-01511-w;13.12.2022;09.11.2022;2750;reviewpaper;Research Article;optin
34;Technische Universität Dortmund;Journal of Mathematical Fluid Mechanics;1422-6952;10.1007/s00021-022-00707-1;https://doi.org/10.1007/s00021-022-00707-1;02.07.2022;30.05.2022;2750;originalpaper;Research Article;optin
35;Technische Universität Dortmund;Journal of Mathematical Fluid Mechanics;1422-6952;10.1007/s00021-022-00679-2;https://doi.org/10.1007/s00021-022-00679-2;26.03.2022;21.02.2022;2750;originalpaper;Research Article;optin
36;Technische Universität Dortmund;The Journal of Technology Transfer;1573-7047;10.1007/s10961-022-09948-8;https://doi.org/10.1007/s10961-022-09948-8;20.05.2022;02.05.2022;2750;originalpaper;Research Article;optin
37;Technische Universität Dortmund;Continuum Mechanics and Thermodynamics;1432-0959;10.1007/s00161-022-01143-2;https://doi.org/10.1007/s00161-022-01143-2;05.09.2022;04.08.2022;2750;originalpaper;Research Article;optin
38;Technische Universität Dortmund;MRS Advances;2059-8521;10.1557/s43580-022-00298-z;https://doi.org/10.1557/s43580-022-00298-z;15.06.2022;03.06.2022;2750;originalpaper;Research Article;optin
39;Technische Universität Dortmund;Corpus Pragmatics;2509-9515;10.1007/s41701-022-00124-9;https://doi.org/10.1007/s41701-022-00124-9;23.05.2022;04.04.2022;917;editorialnotes;Non Research Article;optin
