institution;period;euro;doi;is_hybrid;publisher;journal_full_title;issn;url;opt out;;
Eberhard Karls Universität Tübingen;2021;1553,56;10.1007/s10579-021-09550-8;TRUE;Springer Nature;;;;FALSE;;
Eberhard Karls Universität Tübingen;2021;1553,56;10.1007/s10714-020-02779-8;TRUE;Springer Nature;;;;FALSE;;
Eberhard Karls Universität Tübingen;2021;1553,56;10.1007/s00211-021-01233-4;TRUE;Springer Nature;;;;FALSE;;
Eberhard Karls Universität Tübingen;2021;1553,56;10.1007/s12549-021-00497-w;TRUE;Springer Nature;;;;FALSE;;
Eberhard Karls Universität Tübingen;2021;1553,56;10.1007/s12520-021-01289-1;TRUE;Springer Nature;;;;FALSE;;
Eberhard Karls Universität Tübingen;2021;1553,56;10.1007/s00023-021-01130-4;TRUE;Springer Nature;;;;FALSE;;
Eberhard Karls Universität Tübingen;2021;1553,56;10.1007/s11229-021-03145-0;TRUE;Springer Nature;;;;FALSE;;
Eberhard Karls Universität Tübingen;2021;1553,56;10.1007/s10543-021-00873-0;TRUE;Springer Nature;;;;FALSE;;
Eberhard Karls Universität Tübingen;2021;1553,56;10.1007/s12520-021-01363-8;TRUE;Springer Nature;;;;FALSE;;
Eberhard Karls Universität Tübingen;2021;1553,56;10.1007/s10838-021-09560-8;TRUE;Springer Nature;;;;FALSE;;
Eberhard Karls Universität Tübingen;2021;1553,56;10.1007/s10546-021-00608-2;TRUE;Springer Nature;;;;FALSE;;
Eberhard Karls Universität Tübingen;2021;1553,56;10.1007/s11222-021-09993-7;TRUE;Springer Nature;;;;FALSE;;
Eberhard Karls Universität Tübingen;2021;1553,56;10.1007/s00371-021-02183-6;TRUE;Springer Nature;;;;FALSE;;
Eberhard Karls Universität Tübingen;2021;1553,56;10.1007/s43681-021-00122-8;TRUE;Springer Nature;;;;FALSE;;
Eberhard Karls Universität Tübingen;2021;1553,56;10.1007/s11616-021-00657-0;TRUE;Springer Nature;;;;FALSE;;
Eberhard Karls Universität Tübingen;2021;1553,56;10.1007/s11525-021-09386-6;TRUE;Springer Nature;;;;FALSE;;
Eberhard Karls Universität Tübingen;2021;1553,56;10.1007/s11069-021-04811-9;TRUE;Springer Nature;;;;FALSE;;
Eberhard Karls Universität Tübingen;2021;1553,56;10.1007/s13364-021-00583-6;TRUE;Springer Nature;;;;FALSE;;
Eberhard Karls Universität Tübingen;2021;1553,56;10.1007/s13752-021-00374-x;TRUE;Springer Nature;;;;FALSE;;
Eberhard Karls Universität Tübingen;2021;1553,56;10.1007/s41060-021-00254-4;TRUE;Springer Nature;;;;FALSE;;
