"institution",,"Betrag EUR","DOI","Journal","ISSN.1","ISSN.2","Publisher","base.url","record.id","is_hybrid"
"PIK-Potsdam",2018,2052.75,"http://dx.doi.org/10.5194/tc-12-301-2018","The Cryosphere","NA","NA","Copernicus","http://edoc.gfz-potsdam.de/pik/",7433,FALSE
"PIK-Potsdam",2018,1606.50,"http://dx.doi.org/10.5194/gmd-11-665-2018","Geoscientific Model Development","NA","NA","Copernicus","http://edoc.gfz-potsdam.de/pik/",7855,FALSE
"PIK-Potsdam",2018,3700.00,"http://dx.doi.org/10.1038/s41467-018-02985-8","Nature Communications","NA","NA","Nature Publishing Group","http://edoc.gfz-potsdam.de/pik/",8063,FALSE
"PIK-Potsdam",2018,1517.25,"http://dx.doi.org/10.5194/tc-12-1969-2018","The Cryosphere","NA","NA","Copernicus","http://edoc.gfz-potsdam.de/pik/",8141,FALSE
"PIK-Potsdam",2018,2945.25,"http://dx.doi.org/10.5194/gmd-11-1343-2018","Geoscientific Model Development","NA","NA","Copernicus","http://edoc.gfz-potsdam.de/pik/",8101,FALSE
"PIK-Potsdam",2018,2409.75,"http://dx.doi.org/10.5194/gmd-11-1377-2018","Geoscientific Model Development","NA","NA","Copernicus","http://edoc.gfz-potsdam.de/pik/",8102,FALSE
"PIK-Potsdam",2018,1250.93,"http://dx.doi.org/10.1002/2017EF000628","Earth's Future","NA","NA","American Geophysical Union/Wiley","http://edoc.gfz-potsdam.de/pik/",7933,FALSE
"PIK-Potsdam",2018,2056.32,"http://dx.doi.org/10.5194/gmd-11-2789-2018","Geoscientific Model Development","NA","NA","Copernicus","http://edoc.gfz-potsdam.de/pik/",8157,FALSE
"PIK-Potsdam",2018,3850.00,"http://dx.doi.org/10.1038/s41467-018-04738-z","Nature Communications","NA","NA","Nature Publishing Group","http://edoc.gfz-potsdam.de/pik/",8131,FALSE
"PIK-Potsdam",2018,1485.12,"http://dx.doi.org/10.1088/1748-9326/aabb0e","Environmental Research Letters","NA","NA","IOP Publishing","http://edoc.gfz-potsdam.de/pik/",8052,FALSE
"PIK-Potsdam",2018,1138.83,"http://dx.doi.org/10.5194/cp-14-697-2018","Climate of the Past","NA","NA","Copernicus","http://edoc.gfz-potsdam.de/pik/",8132,FALSE
"PIK-Potsdam",2018,1370.00,"http://dx.doi.org/10.1038/s41598-018-30812-z","Scientific Reports (Nature)","NA","NA","Nature Publishing Group","http://edoc.gfz-potsdam.de/pik/",8173,FALSE
"PIK-Potsdam",2018,1199.52,"http://dx.doi.org/10.5194/tc-12-3229-2018","The Cryosphere","NA","NA","Copernicus","http://edoc.gfz-potsdam.de/pik/",8220,FALSE
"PIK-Potsdam",2018,1606.50,"http://dx.doi.org/10.5194/esd-9-849-2018","Earth System Dynamics","NA","NA","Copernicus","http://edoc.gfz-potsdam.de/pik/",7947,FALSE
"PIK-Potsdam",2018,2231.25,"http://dx.doi.org/10.5194/tc-12-3097-2018","The Cryosphere","NA","NA","Copernicus","http://edoc.gfz-potsdam.de/pik/",8059,FALSE
"PIK-Potsdam",2018,2180.00,"http://dx.doi.org/10.1038/s41612-018-0054-4","npj Climate and Atmospheric Science","NA","NA","Nature Publishing Group","http://edoc.gfz-potsdam.de/pik/",8246,FALSE
"PIK-Potsdam",2018,1456.56,"http://dx.doi.org/10.5194/tc-12-3931-2018","The Cryosphere","NA","NA","Copernicus","http://edoc.gfz-potsdam.de/pik/",7807,FALSE
"PIK-Potsdam",2018,1560.00,"http://dx.doi.org/10.1088/1367-2630/aab5e6","New Journal of Physics","NA","NA","IOP Publishing","http://edoc.gfz-potsdam.de/pik/",8233,FALSE
"PIK-Potsdam",2018,1032.42,"http://dx.doi.org/10.3390/su10061947","Sustainability","NA","NA","MDPI","http://edoc.gfz-potsdam.de/pik/",8144,FALSE
"PIK-Potsdam",2018,1606.50,"http://dx.doi.org/10.5194/esd-9-525-2018","Earth System Dynamics","NA","NA","Copernicus","http://edoc.gfz-potsdam.de/pik/",8094,FALSE
"PIK-Potsdam",2018,1370.00,"http://dx.doi.org/10.1038/s41598-018-27369-2","Scientific Reports (Nature)","NA","NA","Nature Publishing Group","http://edoc.gfz-potsdam.de/pik/",8175,FALSE
"PIK-Potsdam",2018,1485.12,"http://dx.doi.org/10.1088/1748-9326/aa9e3b","Environmental Research Letters","NA","NA","IOP Publishing","http://edoc.gfz-potsdam.de/pik/",7897,FALSE
"PIK-Potsdam",2018,1684.80,"http://dx.doi.org/10.1088/1748-9326/aaa9c4","Environmental Research Letters","NA","NA","IOP Publishing","http://edoc.gfz-potsdam.de/pik/",8025,FALSE
"PIK-Potsdam",2018,1404.00,"http://dx.doi.org/10.1088/1748-9326/aab2ba","Environmental Research Letters","NA","NA","IOP Publishing","http://edoc.gfz-potsdam.de/pik/",8040,FALSE
"PIK-Potsdam",2018,1620.00,"http://dx.doi.org/10.1088/1748-9326/aac3ec","Environmental Research Letters","NA","NA","IOP Publishing","http://edoc.gfz-potsdam.de/pik/",8118,FALSE
"PIK-Potsdam",2018,1800.00,"http://dx.doi.org/10.1088/1748-9326/aac4f1","Environmental Research Letters","NA","NA","IOP Publishing","http://edoc.gfz-potsdam.de/pik/",8121,FALSE
"PIK-Potsdam",2018,1109.60,"http://dx.doi.org/10.5751/ES-09728-230105","Ecology and Society","NA","NA","Resilience Alliance","http://edoc.gfz-potsdam.de/pik/",7891,FALSE
"PIK-Potsdam",2018,1170.00,"http://dx.doi.org/10.1088/1748-9326/aab4e5","Environmental Research Letters","NA","NA","IOP Publishing","http://edoc.gfz-potsdam.de/pik/",7939,FALSE
"PIK-Potsdam",2018,2052.75,"http://dx.doi.org/10.5194/gmd-11-429-2018","Geoscientific Model Development","NA","NA","Copernicus","http://edoc.gfz-potsdam.de/pik/",7916,FALSE
"PIK-Potsdam",2018,1800.00,"http://dx.doi.org/10.1088/1748-9326/aac63c","Environmental Research Letters","NA","NA","IOP Publishing","http://edoc.gfz-potsdam.de/pik/",8122,FALSE
"PIK-Potsdam",2018,1250.93,"http://dx.doi.org/10.1002/2017EF000632","Earth's Future","NA","NA","American Geophysical Union/Wiley","http://edoc.gfz-potsdam.de/pik/",7781,FALSE
"PIK-Potsdam",2018,1285.20,"http://dx.doi.org/10.5194/esd-9-479-2018","Earth System Dynamics","NA","NA","Copernicus","http://edoc.gfz-potsdam.de/pik/",8099,FALSE
"PIK-Potsdam",2018,1485.12,"http://dx.doi.org/10.1088/1748-9326/aa9938","Environmental Research Letters","NA","NA","IOP Publishing","http://edoc.gfz-potsdam.de/pik/",7817,FALSE
"PIK-Potsdam",2018,1281.88,"http://dx.doi.org/10.1371/journal.pone.0198748","PLoS ONE","NA","NA","Public Library of Science","http://edoc.gfz-potsdam.de/pik/",8135,FALSE
"PIK-Potsdam",2018,1050.00,"http://dx.doi.org/10.1038/sdata.2018.34","Nature Scientific Data","NA","NA","Nature Publishing Group","http://edoc.gfz-potsdam.de/pik/",8028,FALSE
"PIK-Potsdam",2018,1695.75,"http://dx.doi.org/10.5194/esd-9-627-2018","Earth System Dynamics","NA","NA","Copernicus","http://edoc.gfz-potsdam.de/pik/",8030,FALSE
"PIK-Potsdam",2018,1250.93,"http://dx.doi.org/10.1002/2017EF000781","Earth's Future","NA","NA","American Geophysical Union/Wiley","http://edoc.gfz-potsdam.de/pik/",8058,FALSE
"PIK-Potsdam",2018,1760.01,"http://dx.doi.org/10.5194/hess-22-911-2018","Hydrology and Earth System Sciences","NA","NA","Copernicus","http://edoc.gfz-potsdam.de/pik/",7896,FALSE
"PIK-Potsdam",2018,1590.70,"http://dx.doi.org/10.1016/j.ejrh.2018.05.003","Journal of Hydrology: Regional Studies","NA","NA","Elsevier","http://edoc.gfz-potsdam.de/pik/",8134,FALSE
"PIK-Potsdam",2018,1859.00,"http://dx.doi.org/10.1111/gcbb.12530","Global Change Biology Bioenergy","NA","NA","Wiley","http://edoc.gfz-potsdam.de/pik/",8156,FALSE
"PIK-Potsdam",2018,1250.93,"http://dx.doi.org/10.1029/2018EF000865","Earth's Future","NA","NA","American Geophysical Union/Wiley","http://edoc.gfz-potsdam.de/pik/",8188,FALSE
"PIK-Potsdam",2018,2356.20,"http://dx.doi.org/10.5194/gmd-11-1421-2018","Geoscientific Model Development","NA","NA","Copernicus","http://edoc.gfz-potsdam.de/pik/",7880,FALSE
"PIK-Potsdam",2018,2052.75,"http://dx.doi.org/10.5194/hess-22-2163-2018","Hydrology and Earth System Sciences","NA","NA","Copernicus","http://edoc.gfz-potsdam.de/pik/",8069,FALSE
"PIK-Potsdam",2018,309.40,"http://dx.doi.org/10.5194/asr-15-107-2018","Advnaces in Science and Research","NA","NA","Copernicus","http://edoc.gfz-potsdam.de/pik/",8100,FALSE
"PIK-Potsdam",2018,942.51,"http://dx.doi.org/10.1016/j.cliser.2018.07.001","Climate Services","NA","NA","Elsevier","http://edoc.gfz-potsdam.de/pik/",8178,FALSE
"PIK-Potsdam",2018,1005.38,"http://dx.doi.org/10.3390/su10103464","Sustainability","NA","NA","MDPI","http://edoc.gfz-potsdam.de/pik/",8207,FALSE
"PIK-Potsdam",2018,962.50,"http://dx.doi.org/10.1038/s41467-018-06525-2","Nature Communications","NA","NA","Nature Publishing Group","http://edoc.gfz-potsdam.de/pik/",8259,FALSE
"PIK-Potsdam",2018,3288.03,"http://dx.doi.org/10.1126/sciadv.aat4517","Science Advances","NA","NA","AAAS","http://edoc.gfz-potsdam.de/pik/",8204,FALSE
"PIK-Potsdam",2018,2150.00,"http://dx.doi.org/10.1080/02626667.2018.1446214","Hydrological Sciences Journal","NA","NA","Taylor&Francis","http://edoc.gfz-potsdam.de/pik/",8039,TRUE
